family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
copy,D_C_43022,chck_100M,43022,C,ALL,2000,3.6943634949835302,0.3831298776533022,4.077493372636832,3.750357879217002,0.08386055157881162
copy,D_C_43022,chck_100M,43022,C,domain_bnc_spoken,180,4.207294766732957,0.6913528090692125,4.89864757580217,3.469951886731288,0.2586349432461603
copy,D_C_43022,chck_100M,43022,C,domain_childes,642,2.460174947562654,0.29494369655147046,2.755118644114124,2.9929397646661324,0.11812191043229062
copy,D_C_43022,chck_100M,43022,C,domain_gutenberg,468,4.352561092917779,0.33593710363468426,4.688498196552463,3.8796254822984415,0.1793357513592787
copy,D_C_43022,chck_100M,43022,C,domain_open_subtitles,434,4.505105967199417,0.49441828001354937,4.999524247212967,3.9790014379507186,0.19099818106122263
copy,D_C_43022,chck_100M,43022,C,domain_simple_wiki,272,3.872660528388528,0.2953608156994927,4.168021344088021,4.1742301611410815,0.2530998802944663
copy,D_C_43022,chck_100M,43022,C,domain_switchboard,4,1.6008426620392129,0.08203914773184806,1.682881809771061,2.121488025431463,1.0607440127157315
copy,D_C_43022,chck_100M,43022,C,span_1,1000,3.760785346077121,0.5270865441237466,4.287871890200868,3.9557814371583677,0.12509279267234671
copy,D_C_43022,chck_100M,43022,C,span_4,1000,3.627941643889939,0.2391732111828578,3.8671148550727965,3.5317613086444526,0.11168409887373393
copy,D_C_43022,chck_80M,43022,C,ALL,2000,3.6549016409953476,0.4044440854005638,4.059345726395912,3.680002518906729,0.08228735789645901
copy,D_C_43022,chck_80M,43022,C,domain_bnc_spoken,180,4.101790014692556,0.7217821650485146,4.823572179741071,3.36474953487509,0.25079362290805
copy,D_C_43022,chck_80M,43022,C,domain_childes,642,2.4856900328946834,0.30706561745056543,2.792755650345249,2.9998879488919443,0.1183961333900921
copy,D_C_43022,chck_80M,43022,C,domain_gutenberg,468,4.260292435572223,0.3658053198344136,4.626097755406637,3.7853975707441627,0.17498006460685772
copy,D_C_43022,chck_80M,43022,C,domain_open_subtitles,434,4.457032058862843,0.5244199797689614,4.981452038631804,3.9246191123793412,0.18838774589853474
copy,D_C_43022,chck_80M,43022,C,domain_simple_wiki,272,3.8267390750972403,0.303904923049124,4.130643998146364,4.053697287330684,0.24579150132270874
copy,D_C_43022,chck_80M,43022,C,domain_switchboard,4,1.656569101731293,0.09348867938388139,1.7500577811151743,2.2677974687408597,1.1338987343704299
copy,D_C_43022,chck_80M,43022,C,span_1,1000,3.7359198040223873,0.5464526854156011,4.282372489437988,3.8845527203565964,0.1228403428732997
copy,D_C_43022,chck_80M,43022,C,span_4,1000,3.5738834779683084,0.2624354853855266,3.836318963353835,3.4614966929941384,0.10946213663002087
copy,D_C_43022,chck_90M,43022,C,ALL,2000,3.7112971542299213,0.3864156427881319,4.097712797018053,3.7598299058177242,0.08407235253245063
copy,D_C_43022,chck_90M,43022,C,domain_bnc_spoken,180,4.213371292926604,0.6916922150237952,4.905063507950399,3.4611757189810657,0.25798080632377907
copy,D_C_43022,chck_90M,43022,C,domain_childes,642,2.469641993220717,0.2991830014992754,2.768824994719992,3.0160345359776395,0.11903338835126451
copy,D_C_43022,chck_90M,43022,C,domain_gutenberg,468,4.374395805699747,0.3409162548868596,4.715312060586607,3.892124811747196,0.1799135330674377
copy,D_C_43022,chck_90M,43022,C,domain_open_subtitles,434,4.517944530475617,0.4958084942978857,5.013753024773503,3.9817046343904643,0.19112793864263947
copy,D_C_43022,chck_90M,43022,C,domain_simple_wiki,272,3.912385620165845,0.2982456260752529,4.210631246241098,4.173436061312636,0.2530517309199079
copy,D_C_43022,chck_90M,43022,C,domain_switchboard,4,1.625816026586108,0.09967395116109401,1.725489977747202,2.053929944649669,1.0269649723248344
copy,D_C_43022,chck_90M,43022,C,span_1,1000,3.7751170749770635,0.531799996505345,4.306917071482409,3.9586854834903478,0.12518462668074387
copy,D_C_43022,chck_90M,43022,C,span_4,1000,3.6474772334827787,0.24103128907091878,3.888508522553698,3.548704710115662,0.11221989627333064
