family,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
rewrite,43022,ALL,CminusR,5892,3,0.4922233595979484
rewrite,43022,ALL,RminusC,5892,3,-0.4922233595979484
rewrite,43022,ALL,RminusV,5892,3,-1.1048715335699664
rewrite,43022,ALL,VminusC,5892,3,0.6126481739720181
rewrite,43022,ALL,VminusR,5892,3,1.1048715335699664
rewrite,43022,token_nonoverlap,CminusR,2732,3,0.7517085695681751
rewrite,43022,token_nonoverlap,RminusC,2732,3,-0.7517085695681751
rewrite,43022,token_nonoverlap,RminusV,2732,3,-1.4353975957669631
rewrite,43022,token_nonoverlap,VminusC,2732,3,0.683689026198788
rewrite,43022,token_nonoverlap,VminusR,2732,3,1.4353975957669631
rewrite,43022,token_overlap,CminusR,3160,3,0.2678836147755878
rewrite,43022,token_overlap,RminusC,3160,3,-0.2678836147755878
rewrite,43022,token_overlap,RminusV,3160,3,-0.8191129253667407
rewrite,43022,token_overlap,VminusC,3160,3,0.551229310591153
rewrite,43022,token_overlap,VminusR,3160,3,0.8191129253667407
rewrite,43122,ALL,CminusR,5892,3,0.6357268306830816
rewrite,43122,ALL,RminusC,5892,3,-0.6357268306830816
rewrite,43122,ALL,RminusV,5892,3,-1.40318305521395
rewrite,43122,ALL,VminusC,5892,3,0.7674562245308684
rewrite,43122,ALL,VminusR,5892,3,1.40318305521395
rewrite,43122,token_nonoverlap,CminusR,2732,3,1.0433110410895625
rewrite,43122,token_nonoverlap,RminusC,2732,3,-1.0433110410895625
rewrite,43122,token_nonoverlap,RminusV,2732,3,-1.9370997941274066
rewrite,43122,token_nonoverlap,VminusC,2732,3,0.893788753037844
rewrite,43122,token_nonoverlap,VminusR,2732,3,1.9370997941274066
rewrite,43122,token_overlap,CminusR,3160,3,0.2833470639645676
rewrite,43122,token_overlap,RminusC,3160,3,-0.2833470639645676
rewrite,43122,token_overlap,RminusV,3160,3,-0.9415816214444682
rewrite,43122,token_overlap,VminusC,3160,3,0.6582345574799007
rewrite,43122,token_overlap,VminusR,3160,3,0.9415816214444682
