arm,group,late_mean_accuracy_pct,late_mean_stale_pick_pct_among_wrong_stale_available_not_gold,mean_prefix_words,mean_relevant_updates,mean_total_ops,n,n_checkpoints,seed
C,ALL,25.058997050147493,39.488178683936816,120.59041297935103,1.9960176991150442,7.359587020648967,6780,3,43122
C,rel0_total_ops_0,36.40350877192983,nan,61.473684210526315,0.0,0.0,304,3,43122
C,rel0_total_ops_1,39.559014267185475,nan,69.715953307393,0.0,1.0,257,3,43122
C,rel0_total_ops_10,42.592592592592595,nan,143.72222222222223,0.0,10.0,36,3,43122
C,rel0_total_ops_11,33.333333333333336,nan,148.96875,0.0,11.0,32,3,43122
C,rel0_total_ops_12,41.111111111111114,nan,157.36666666666667,0.0,12.0,30,3,43122
C,rel0_total_ops_2,41.35220125786164,nan,77.93867924528301,0.0,2.0,212,3,43122
C,rel0_total_ops_3,38.565891472868216,nan,85.88372093023256,0.0,3.0,172,3,43122
C,rel0_total_ops_4,36.89567430025445,nan,93.36641221374046,0.0,4.0,131,3,43122
C,rel0_total_ops_5,39.1025641025641,nan,100.5673076923077,0.0,5.0,104,3,43122
C,rel0_total_ops_6,48.10606060606061,nan,107.64772727272727,0.0,6.0,88,3,43122
C,rel0_total_ops_7,39.898989898989896,nan,117.81818181818181,0.0,7.0,66,3,43122
C,rel0_total_ops_8,34.92063492063492,nan,127.47619047619048,0.0,8.0,63,3,43122
C,rel0_total_ops_9,46.3768115942029,nan,134.91304347826087,0.0,9.0,46,3,43122
C,rel_eq0,39.30348258706468,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
C,rel_ge1,20.86912260609531,39.488178683936816,129.96087039511357,2.5831265508684864,8.527772475663294,5239,3,43122
C,rel_ge2,22.06332992849847,39.44731598377217,136.0349846782431,3.1179775280898876,9.274770173646578,3916,3,43122
C,rel_ge3,23.08176100628931,36.097324044273094,140.93735849056603,3.6520754716981134,9.80188679245283,2650,3,43122
C,rel_ge4,24.43661971830986,38.70013894993037,143.64225352112675,4.216901408450704,10.112676056338028,1420,3,43122
C,rel_updates_0,39.30348258706468,nan,88.73329007138221,0.0,3.388059701492537,1541,3,43122
C,rel_updates_1,17.334341143864954,42.676767676767675,111.98185941043084,1.0,6.316704459561603,1323,3,43122
C,rel_updates_2,19.931542917324908,44.01484789875673,125.77330173775671,2.0,8.171406003159557,1266,3,43122
C,rel_updates_3,21.51761517615176,32.584515846318425,137.81463414634146,3.0,9.44308943089431,1230,3,43122
C,rel_updates_4,24.100719424460433,40.75114419937715,142.931654676259,4.0,10.02158273381295,1112,3,43122
C,rel_updates_5,25.649350649350648,30.74226699226699,146.2077922077922,5.0,10.441558441558442,308,3,43122
C,total_ops_0,36.40350877192983,nan,61.473684210526315,0.0,0.0,304,3,43122
C,total_ops_1,33.7361530715005,nan,69.66465256797584,0.22356495468277945,1.0,331,3,43122
