overlap_bin,token_class,contrast,gain_T_vs_N_mean,gain_T_vs_N_seed_sd,gain_T_vs_U_mean,gain_T_vs_U_seed_sd,gain_U_vs_N_mean,gain_U_vs_N_seed_sd,gain_T_vs_N_mean_pairs,gain_T_vs_U_mean_pairs,gain_U_vs_N_mean_pairs
ALL,nonoverlap,RminusC,-0.2171304292915738,0.028540934972082776,-0.22811765980109397,0.05301333933670471,0.010987230509520114,0.04987515110479279,1200.0,1200.0,1200.0
ALL,nonoverlap,VminusC,0.03161450408575884,0.039849526203438436,0.03683693238622423,0.044721599997110555,-0.0052224283004653925,0.025495664462691144,1200.0,1200.0,1200.0
ALL,nonoverlap,VminusR,0.2487449333773327,0.06458110370604019,0.26495459218731815,0.08325905518926209,-0.016209658809985504,0.028014002318452476,1200.0,1200.0,1200.0
ALL,overlap,RminusC,0.1090419302193112,0.12158641209066771,0.09673517300682456,0.0996208411522855,0.012306757212486613,0.02707023451213881,1200.0,1200.0,1200.0
ALL,overlap,VminusC,0.23763880541943935,0.07055365454433404,0.23078194431042132,0.08184154979775188,0.0068568611090180365,0.015853352504972367,1200.0,1200.0,1200.0
ALL,overlap,VminusR,0.1285968752001281,0.053339723883606756,0.13404677130359674,0.023184991035204692,-0.005449896103468577,0.035507952935699666,1200.0,1200.0,1200.0
ALL,ALL,RminusC,-0.0540442495361313,0.053996359649969794,-0.06569124339713468,0.026714483403114872,0.011646993861003365,0.0382594302813875,1200.0,1200.0,1200.0
ALL,ALL,VminusC,0.13462665475259908,0.05388929197160892,0.13380943834832273,0.05741979786018622,0.0008172164042763224,0.016779364280638198,1200.0,1200.0,1200.0
ALL,ALL,VminusR,0.18867090428873037,0.011575779087615536,0.19950068174545743,0.03179238478807269,-0.010829777456727044,0.03139948464042158,1200.0,1200.0,1200.0
high,nonoverlap,RminusC,-0.34924432459297045,0.08417916191135319,-0.3700116018505974,0.10793763536379324,0.020767277257626927,0.025376141351769008,400.0,400.0,400.0
