comparison,column,k,n_common,events,net_gain_minus_loss,reconstructed_delta_pct_points,all_edge_touch_fraction,base_correct_edge_touch_fraction,loss_edge_touch_fraction,gain_edge_touch_fraction,loss_edge_fraction_minus_base_correct_edge_fraction,edge_loss_rate_given_base_correct,not_edge_loss_rate_given_base_correct,edge_gain_rate_given_base_wrong,not_edge_gain_rate_given_base_wrong,loss_rate_edge_minus_not_edge,anchor_payload_score,candidate_payload_score,payload_delta,stratum,n,both_correct,both_wrong,gain,loss,base_correct,base_wrong,loss_rate_given_base_correct,gain_rate_given_base_wrong
coherent_special_98097_minus_coherent86_s43022,Supplement,3,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",-58,-1.303181295515523,0.8731314679954005,0.877720207253886,0.9624060150375939,0.8461538461538461,0.08468580778370793,0.03778040141676505,0.01059322033898305,0.04708904109589041,0.05263157894736842,0.027187181077782,63.64,60.99,-2.6499999999999986,edge_and_interior,3694,2812,728,48,106,2918,776,0.0363262508567512,0.061855670103092786
coherent_special_98097_minus_coherent86_s43022,Supplement,3,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",-15,-1.303181295515523,0.8731314679954005,0.877720207253886,0.9624060150375939,0.8461538461538461,0.08468580778370793,0.03778040141676505,0.01059322033898305,0.04708904109589041,0.05263157894736842,0.027187181077782,63.64,60.99,-2.6499999999999986,edge_only,862,448,385,7,22,470,392,0.04680851063829787,0.017857142857142856
coherent_special_98097_minus_coherent86_s43022,Supplement,3,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",-73,-1.303181295515523,0.8731314679954005,0.877720207253886,0.9624060150375939,0.8461538461538461,0.08468580778370793,0.03778040141676505,0.01059322033898305,0.04708904109589041,0.05263157894736842,0.027187181077782,63.64,60.99,-2.6499999999999986,edge_touch,4556,3260,1113,55,128,3388,1168,0.03778040141676505,0.04708904109589041
coherent_special_98097_minus_coherent86_s43022,Supplement,3,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",5,-1.303181295515523,0.8731314679954005,0.877720207253886,0.9624060150375939,0.8461538461538461,0.08468580778370793,0.03778040141676505,0.01059322033898305,0.04708904109589041,0.05263157894736842,0.027187181077782,63.64,60.99,-2.6499999999999986,interior_only,662,467,180,10,5,472,190,0.01059322033898305,0.05263157894736842
coherent_special_98097_minus_coherent86_s43022,Supplement,3,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",5,-1.303181295515523,0.8731314679954005,0.877720207253886,0.9624060150375939,0.8461538461538461,0.08468580778370793,0.03778040141676505,0.01059322033898305,0.04708904109589041,0.05263157894736842,0.027187181077782,63.64,60.99,-2.6499999999999986,not_edge_touch,662,467,180,10,5,472,190,0.01059322033898305,0.05263157894736842
coherent_special_98097_minus_coherent86_s43022,Supplement,5,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",-23,-1.303181295515523,0.9925258719816021,0.9917098445595854,1.0,1.0,0.00829015544041456,0.03474399164054336,0.0,0.04811250925240563,0.0,0.03474399164054336,63.64,60.99,-2.6499999999999986,edge_and_interior,2664,2124,423,47,70,2194,470,0.03190519598906107,0.1
coherent_special_98097_minus_coherent86_s43022,Supplement,5,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",-45,-1.303181295515523,0.9925258719816021,0.9917098445595854,1.0,1.0,0.00829015544041456,0.03474399164054336,0.0,0.04811250925240563,0.0,0.03474399164054336,63.64,60.99,-2.6499999999999986,edge_only,2515,1571,863,18,63,1634,881,0.038555691554467565,0.02043132803632236
coherent_special_98097_minus_coherent86_s43022,Supplement,5,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",-68,-1.303181295515523,0.9925258719816021,0.9917098445595854,1.0,1.0,0.00829015544041456,0.03474399164054336,0.0,0.04811250925240563,0.0,0.03474399164054336,63.64,60.99,-2.6499999999999986,edge_touch,5179,3695,1286,65,133,3828,1351,0.03474399164054336,0.04811250925240563
coherent_special_98097_minus_coherent86_s43022,Supplement,5,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",0,-1.303181295515523,0.9925258719816021,0.9917098445595854,1.0,1.0,0.00829015544041456,0.03474399164054336,0.0,0.04811250925240563,0.0,0.03474399164054336,63.64,60.99,-2.6499999999999986,interior_only,39,32,7,0,0,32,7,0.0,0.0
coherent_special_98097_minus_coherent86_s43022,Supplement,5,5218,"{'both_correct': 3727, 'loss': 133, 'both_wrong': 1293, 'gain': 65}",0,-1.303181295515523,0.9925258719816021,0.9917098445595854,1.0,1.0,0.00829015544041456,0.03474399164054336,0.0,0.04811250925240563,0.0,0.03474399164054336,63.64,60.99,-2.6499999999999986,not_edge_touch,39,32,7,0,0,32,7,0.0,0.0
