comparison,column,k,n_common,events,net_gain_minus_loss,reconstructed_delta_pct_points,all_edge_touch_fraction,base_correct_edge_touch_fraction,loss_edge_touch_fraction,gain_edge_touch_fraction,loss_edge_fraction_minus_base_correct_edge_fraction,edge_loss_rate_given_base_correct,not_edge_loss_rate_given_base_correct,edge_gain_rate_given_base_wrong,not_edge_gain_rate_given_base_wrong,loss_rate_edge_minus_not_edge,anchor_payload_score,candidate_payload_score,payload_delta,stratum,n,both_correct,both_wrong,gain,loss,base_correct,base_wrong,loss_rate_given_base_correct,gain_rate_given_base_wrong
coherent86_s43022_minus_chck82,Supplement,3,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",-9,-0.19164430816404754,0.8731314679954005,0.8775193798449612,0.8378378378378378,0.8518518518518519,-0.03968154200712337,0.009128386336866903,0.012658227848101266,0.019827586206896553,0.02127659574468085,-0.0035298415112343627,62.9378112562002,63.64,0.7021887437998018,edge_and_interior,3694,2899,748,19,28,2927,767,0.009566108643662453,0.024771838331160364
coherent86_s43022_minus_chck82,Supplement,3,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",1,-0.19164430816404754,0.8731314679954005,0.8775193798449612,0.8378378378378378,0.8518518518518519,-0.03968154200712337,0.009128386336866903,0.012658227848101266,0.019827586206896553,0.02127659574468085,-0.0035298415112343627,62.9378112562002,63.64,0.7021887437998018,edge_only,862,466,389,4,3,469,393,0.006396588486140725,0.010178117048346057
coherent86_s43022_minus_chck82,Supplement,3,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",-8,-0.19164430816404754,0.8731314679954005,0.8775193798449612,0.8378378378378378,0.8518518518518519,-0.03968154200712337,0.009128386336866903,0.012658227848101266,0.019827586206896553,0.02127659574468085,-0.0035298415112343627,62.9378112562002,63.64,0.7021887437998018,edge_touch,4556,3365,1137,23,31,3396,1160,0.009128386336866903,0.019827586206896553
coherent86_s43022_minus_chck82,Supplement,3,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",-2,-0.19164430816404754,0.8731314679954005,0.8775193798449612,0.8378378378378378,0.8518518518518519,-0.03968154200712337,0.009128386336866903,0.012658227848101266,0.019827586206896553,0.02127659574468085,-0.0035298415112343627,62.9378112562002,63.64,0.7021887437998018,interior_only,662,468,184,4,6,474,188,0.012658227848101266,0.02127659574468085
coherent86_s43022_minus_chck82,Supplement,3,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",-2,-0.19164430816404754,0.8731314679954005,0.8775193798449612,0.8378378378378378,0.8518518518518519,-0.03968154200712337,0.009128386336866903,0.012658227848101266,0.019827586206896553,0.02127659574468085,-0.0035298415112343627,62.9378112562002,63.64,0.7021887437998018,not_edge_touch,662,468,184,4,6,474,188,0.012658227848101266,0.02127659574468085
coherent86_s43022_minus_chck82,Supplement,5,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",-10,-0.19164430816404754,0.9925258719816021,0.9917312661498708,1.0,1.0,0.008268733850129162,0.009640437727983325,0.0,0.020134228187919462,0.0,0.009640437727983325,62.9378112562002,63.64,0.7021887437998018,edge_and_interior,2664,2180,446,14,24,2204,460,0.010889292196007259,0.030434782608695653
coherent86_s43022_minus_chck82,Supplement,5,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",0,-0.19164430816404754,0.9925258719816021,0.9917312661498708,1.0,1.0,0.008268733850129162,0.009640437727983325,0.0,0.020134228187919462,0.0,0.009640437727983325,62.9378112562002,63.64,0.7021887437998018,edge_only,2515,1621,868,13,13,1634,881,0.00795593635250918,0.014755959137343927
coherent86_s43022_minus_chck82,Supplement,5,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",-10,-0.19164430816404754,0.9925258719816021,0.9917312661498708,1.0,1.0,0.008268733850129162,0.009640437727983325,0.0,0.020134228187919462,0.0,0.009640437727983325,62.9378112562002,63.64,0.7021887437998018,edge_touch,5179,3801,1314,27,37,3838,1341,0.009640437727983325,0.020134228187919462
coherent86_s43022_minus_chck82,Supplement,5,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",0,-0.19164430816404754,0.9925258719816021,0.9917312661498708,1.0,1.0,0.008268733850129162,0.009640437727983325,0.0,0.020134228187919462,0.0,0.009640437727983325,62.9378112562002,63.64,0.7021887437998018,interior_only,39,32,7,0,0,32,7,0.0,0.0
coherent86_s43022_minus_chck82,Supplement,5,5218,"{'both_correct': 3833, 'both_wrong': 1321, 'gain': 27, 'loss': 37}",0,-0.19164430816404754,0.9925258719816021,0.9917312661498708,1.0,1.0,0.008268733850129162,0.009640437727983325,0.0,0.020134228187919462,0.0,0.009640437727983325,62.9378112562002,63.64,0.7021887437998018,not_edge_touch,39,32,7,0,0,32,7,0.0,0.0
coherent86_s43022_minus_chck82,EWoK,3,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",0,0.05250721974271463,0.39301653977421896,0.39458464773922186,0.3893805309734513,0.3504273504273504,-0.005204116765770539,0.029313790806129246,0.029960920538428137,0.027461486939048894,0.03274450667815597,-0.0006471297322988914,50.05545332553276,50.02,-0.03545332553275671,edge_and_interior,2064,1009,1003,26,26,1035,1029,0.025120772946859903,0.025267249757045675
coherent86_s43022_minus_chck82,EWoK,3,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",-3,0.05250721974271463,0.39301653977421896,0.39458464773922186,0.3893805309734513,0.3504273504273504,-0.005204116765770539,0.029313790806129246,0.029960920538428137,0.027461486939048894,0.03274450667815597,-0.0006471297322988914,50.05545332553276,50.02,-0.03545332553275671,edge_only,930,448,449,15,18,466,464,0.03862660944206009,0.032327586206896554
coherent86_s43022_minus_chck82,EWoK,3,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",-3,0.05250721974271463,0.39301653977421896,0.39458464773922186,0.3893805309734513,0.3504273504273504,-0.005204116765770539,0.029313790806129246,0.029960920538428137,0.027461486939048894,0.03274450667815597,-0.0006471297322988914,50.05545332553276,50.02,-0.03545332553275671,edge_touch,2994,1457,1452,41,44,1501,1493,0.029313790806129246,0.027461486939048894
coherent86_s43022_minus_chck82,EWoK,3,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",7,0.05250721974271463,0.39301653977421896,0.39458464773922186,0.3893805309734513,0.3504273504273504,-0.005204116765770539,0.029313790806129246,0.029960920538428137,0.027461486939048894,0.03274450667815597,-0.0006471297322988914,50.05545332553276,50.02,-0.03545332553275671,interior_only,4624,2234,2245,76,69,2303,2321,0.029960920538428137,0.03274450667815597
coherent86_s43022_minus_chck82,EWoK,3,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",7,0.05250721974271463,0.39301653977421896,0.39458464773922186,0.3893805309734513,0.3504273504273504,-0.005204116765770539,0.029313790806129246,0.029960920538428137,0.027461486939048894,0.03274450667815597,-0.0006471297322988914,50.05545332553276,50.02,-0.03545332553275671,not_edge_touch,4624,2234,2245,76,69,2303,2321,0.029960920538428137,0.03274450667815597
coherent86_s43022_minus_chck82,EWoK,5,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",5,0.05250721974271463,0.7251247046468889,0.7287066246056783,0.8230088495575221,0.7521367521367521,0.09430222495184382,0.03354978354978355,0.01937984496124031,0.03197674418604651,0.027306967984934087,0.014169938588543242,50.05545332553276,50.02,-0.03545332553275671,edge_and_interior,1832,860,933,22,17,877,955,0.019384264538198404,0.023036649214659685
coherent86_s43022_minus_chck82,EWoK,5,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",-10,0.05250721974271463,0.7251247046468889,0.7287066246056783,0.8230088495575221,0.7521367521367521,0.09430222495184382,0.03354978354978355,0.01937984496124031,0.03197674418604651,0.027306967984934087,0.014169938588543242,50.05545332553276,50.02,-0.03545332553275671,edge_only,3692,1819,1731,66,76,1895,1797,0.04010554089709763,0.03672787979966611
coherent86_s43022_minus_chck82,EWoK,5,7618,"{'both_correct': 3691, 'both_wrong': 3697, 'loss': 113, 'gain': 117}",-5,0.05250721974271463,0.7251247046468889,0.7287066246056783,0.8230088495575221,0.7521367521367521,0.09430222495184382,0.03354978354978355,0.01937984496124031,0.03197674418604651,0.027306967984934087,0.014169938588543242,50.05545332553276,50.02,-0.03545332553275671,edge_touch,5524,2679,2664,88,93,2772,2752,0.03354978354978355,0.03197674418604651
