checkpoint,contrast,mean_gain_delta,norm_gain_delta,mean_a_nll_delta,mean_b_nll_delta
chck_100M,RminusC,0.4672188724415838,0.04734421576423142,-0.17963937566861649,0.2875794967729677
chck_80M,RminusC,0.5390612322649453,0.05262068786402063,-0.1975504105627934,0.3415108217021521
chck_90M,RminusC,0.4924570328754325,0.04904995424427083,-0.1871786663579638,0.3052783665174683
chck_100M,RSminusC,-0.17062231729466326,-0.027130373103039895,0.10235756865656631,-0.0682647486380974
chck_80M,RSminusC,-0.22968422319775605,-0.0354779849753557,0.13063475238826233,-0.09904947080949444
chck_90M,RSminusC,-0.20120597777720084,-0.02943522583133873,0.10923730764237888,-0.0919686701348219
chck_100M,RSminusR,-0.637841189736247,-0.07447458886727132,0.2819969443251828,-0.3558442454110651
chck_80M,RSminusR,-0.7687454554627013,-0.08809867283937634,0.3281851629510557,-0.4405602925116465
chck_90M,RSminusR,-0.6936630106526334,-0.07848518007560956,0.2964159740003427,-0.3972470366522902
chck_100M,VminusC,0.31991332637999736,0.007809912774411454,-0.004687467453244887,0.3152258589267518
chck_80M,VminusC,0.36332004278924135,0.012315584530660062,-0.020016935175100614,0.3433031076141413
chck_90M,VminusC,0.298086900961716,0.007057856472429069,-0.0031938735344329006,0.29489302742728274
chck_100M,VminusR,-0.1473055460615864,-0.03953430298981997,0.1749519082153716,0.027646362153784132
chck_80M,VminusR,-0.17574118947570394,-0.04030510333336057,0.1775334753876928,0.001792285911989211
chck_90M,VminusR,-0.19437013191371655,-0.04199209777184176,0.1839847928235309,-0.010385339090185575
