arm,checkpoint,n_records,elapsed_sec,device
D_C_43022,chck_80M,5892,3.98,cuda:0
D_C_43022,chck_90M,5892,2.68,cuda:0
D_C_43022,chck_100M,5892,2.59,cuda:0
D_R_43022,chck_80M,5892,2.59,cuda:0
D_R_43022,chck_90M,5892,2.5,cuda:0
D_R_43022,chck_100M,5892,2.25,cuda:0
D_V_43022,chck_80M,5892,2.62,cuda:0
D_V_43022,chck_90M,5892,2.59,cuda:0
D_V_43022,chck_100M,5892,2.42,cuda:0
D_RS_43022,chck_80M,5892,2.37,cuda:0
D_RS_43022,chck_90M,5892,2.32,cuda:0
D_RS_43022,chck_100M,5892,2.28,cuda:0
D_VS_43022,chck_80M,5892,2.28,cuda:0
D_VS_43022,chck_90M,5892,2.28,cuda:0
D_VS_43022,chck_100M,5892,2.35,cuda:0
