role2,checkpoint,token_class,n,T,U,N,U_minus_T,T_minus_N,U_minus_N,N_minus_T,N_minus_U
C,chck_100M,nonoverlap,2732,6.993866054545393,8.21616230764335,8.51449338729305,1.2222962530979569,-1.520627332747659,-0.2983310796497021,1.520627332747659,0.2983310796497021
C,chck_100M,overlap,3160,1.8140042501127442,8.132164333153021,8.330690187255298,6.318160083040277,-6.516685937142554,-0.19852585410227694,6.516685937142554,0.19852585410227694
C,chck_80M,nonoverlap,2732,7.019573019757474,8.203570285584304,8.523322044438471,1.183997265826829,-1.503749024680997,-0.31975175885416807,1.503749024680997,0.31975175885416807
C,chck_80M,overlap,3160,1.8888636783503667,8.147310993079497,8.35328935135769,6.25844731472913,-6.464425673007322,-0.2059783582781925,6.464425673007322,0.2059783582781925
C,chck_90M,nonoverlap,2732,7.008412266804974,8.23784578229283,8.541591042294446,1.229433515487855,-1.5331787754894721,-0.303745260001617,1.5331787754894721,0.303745260001617
C,chck_90M,overlap,3160,1.8262687445407486,8.15406363219571,8.3558023270641,6.327794887654961,-6.529533582523353,-0.20173869486839238,6.529533582523353,0.20173869486839238
R,chck_100M,nonoverlap,2732,7.359401078737242,7.9170296818374535,8.295450375828377,0.5576286031002121,-0.9360492970911366,-0.37842069399092443,0.9360492970911366,0.37842069399092443
R,chck_100M,overlap,3160,1.714229414577029,7.775442828047915,8.059864913829148,6.0612134134708855,-6.345635499252119,-0.2844220857812339,6.345635499252119,0.2844220857812339
R,chck_80M,nonoverlap,2732,7.658370611415685,7.919849038006135,8.290381183189348,0.26147842659045006,-0.632010571773663,-0.370532145183213,0.632010571773663,0.370532145183213
R,chck_80M,overlap,3160,1.829005271161892,7.8068594433842495,8.080152846407145,5.977854172222357,-6.251147575245253,-0.27329340302289606,6.251147575245253,0.27329340302289606
R,chck_90M,nonoverlap,2732,7.348074374212863,7.909568670230317,8.289066437870131,0.5614942960174534,-0.9409920636572675,-0.37949776763981413,0.9409920636572675,0.37949776763981413
R,chck_90M,overlap,3160,1.7100541466289116,7.771738002033273,8.052480827075948,6.061683855404362,-6.342426680447036,-0.2807428250426745,6.342426680447036,0.2807428250426745
RS,chck_100M,nonoverlap,2732,6.439181137114482,7.627281039387348,7.974270666410838,1.1880999022728653,-1.535089529296356,-0.3469896270234907,1.535089529296356,0.3469896270234907
RS,chck_100M,overlap,3160,1.8412144608607757,7.402607548704203,7.696829387234801,5.5613930878434275,-5.855614926374026,-0.2942218385305981,5.855614926374026,0.2942218385305981
RS,chck_80M,nonoverlap,2732,6.499352361545673,7.646018737498916,7.99599117488603,1.1466663759532432,-1.4966388133403574,-0.34997243738711414,1.4966388133403574,0.34997243738711414
RS,chck_80M,overlap,3160,1.981281859827113,7.412723217764501,7.723387036781428,5.431441357937388,-5.742105176954315,-0.3106638190169271,5.742105176954315,0.3106638190169271
RS,chck_90M,nonoverlap,2732,6.44252793137192,7.6496714679115225,7.996497065336123,1.2071435365396024,-1.5539691339642026,-0.34682559742460006,1.5539691339642026,0.34682559742460006
RS,chck_90M,overlap,3160,1.841354385077588,7.422264708360345,7.716968128610037,5.580910323282756,-5.875613743532449,-0.29470342024969215,5.875613743532449,0.29470342024969215
V,chck_100M,nonoverlap,2732,5.79277909138529,7.729071399602646,8.063812631870467,1.9362923082173564,-2.271033540485177,-0.33474123226782093,2.271033540485177,0.33474123226782093
V,chck_100M,overlap,3160,0.8866825202580625,7.751974564516192,8.013704029146929,6.86529204425813,-7.127021508888867,-0.26172946463073776,7.127021508888867,0.26172946463073776
V,chck_80M,nonoverlap,2732,5.908226781658689,7.717857215455004,8.046059181587328,1.8096304337963145,-2.137832399928638,-0.3282019661323237,2.137832399928638,0.3282019661323237
V,chck_80M,overlap,3160,0.9361734603195031,7.777186290290843,8.034417521238291,6.841012829971341,-7.0982440609187885,-0.2572312309474484,7.0982440609187885,0.2572312309474484
V,chck_90M,nonoverlap,2732,5.784575612933987,7.725446983929321,8.067833939026551,1.940871370995334,-2.283258326092563,-0.34238695509722905,2.283258326092563,0.34238695509722905
V,chck_90M,overlap,3160,0.8976406135894373,7.749425956557793,8.022557905372498,6.851785342968356,-7.12491729178306,-0.27313194881470376,7.12491729178306,0.27313194881470376
VS,chck_100M,nonoverlap,2732,6.120821498566897,7.370497808743972,7.762723273104725,1.2496763101770743,-1.6419017745378273,-0.392225464360753,1.6419017745378273,0.392225464360753
VS,chck_100M,overlap,3160,1.7000458694280853,7.364814819326282,7.602114667660922,5.664768949898197,-5.902068798232837,-0.2372998483346398,5.902068798232837,0.2372998483346398
VS,chck_80M,nonoverlap,2732,6.223774962374698,7.441480193648482,7.831666601708603,1.2177052312737842,-1.6078916393339056,-0.3901864080601215,1.6078916393339056,0.3901864080601215
VS,chck_80M,overlap,3160,1.8195843081195953,7.432228421769989,7.671990761751474,5.6126441136503935,-5.852406453631879,-0.23976233998148502,5.852406453631879,0.23976233998148502
VS,chck_90M,nonoverlap,2732,6.121943108091474,7.379712127588177,7.776929518943557,1.2577690194967022,-1.6549864108520826,-0.3972173913553804,1.6549864108520826,0.3972173913553804
VS,chck_90M,overlap,3160,1.6990238148308303,7.380769400330131,7.62104054072583,5.6817455854993,-5.922016725894999,-0.24027114039569905,5.922016725894999,0.24027114039569905
