role,checkpoint,token_class,n,T,U,N,A_T,A_U,G
ALN,chck_100M,nonoverlap,2730,6.907227170863786,8.139898089838688,8.397528905027816,1.4903017341640297,0.25763081518912706,1.2326709189749026
ALN,chck_100M,overlap,3170,1.7187284282195654,8.053297989434425,8.285444102016328,6.566715673796762,0.232146112581903,6.334569561214859
ALN,chck_80M,nonoverlap,2730,6.942376504772967,8.174270705541343,8.434358770232102,1.4919822654591348,0.26008806469075846,1.2318942007683764
ALN,chck_80M,overlap,3170,1.7928646819101213,8.107454416456953,8.326855775551895,6.533991093641773,0.2194013590949414,6.314589734546831
ALN,chck_90M,nonoverlap,2730,6.910278110390345,8.127378995704632,8.384070668086041,1.4737925576956963,0.2566916723814094,1.217100885314287
ALN,chck_90M,overlap,3170,1.7281261967159425,8.022423876759124,8.25710537326625,6.528979176550307,0.23468149650712683,6.29429768004318
OFF,chck_100M,nonoverlap,2730,6.767381535649245,8.102248920235551,8.462369846383062,1.6949883107338168,0.36012092614751107,1.334867384586306
OFF,chck_100M,overlap,3170,3.364556125276619,7.923783729257714,8.273071231305517,4.908515106028898,0.3492875020478027,4.559227603981095
OFF,chck_80M,nonoverlap,2730,6.836251943834099,8.120753690380699,8.476443072392064,1.6401911285579642,0.35568938201136424,1.2845017465466
OFF,chck_80M,overlap,3170,3.551935464835194,7.933697812953723,8.300903925907502,4.748968461072307,0.3672061129537784,4.381762348118529
OFF,chck_90M,nonoverlap,2730,6.7725280472592555,8.110510396040404,8.472653444290447,1.700125397031192,0.3621430482500448,1.3379823487811473
OFF,chck_90M,overlap,3170,3.408540952300553,7.931070004973843,8.282294286737859,4.873753334437306,0.3512242817640164,4.522529052673289
