overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,ALL,ALNminusOFF,gain_T_vs_U,1200,2.187503400169986,0.07153718284166431,0.7866666666666666
ALL,ALL,ALNminusOFF,gain_T_vs_N,1200,1.6596015963574042,0.07376700161581382,0.7183333333333334
ALL,ALL,ALNminusOFF,gain_U_vs_N,1200,-0.5279018038125811,0.03809911299859285,0.3283333333333333
ALL,nonoverlap,ALNminusOFF,gain_T_vs_U,1200,-0.32683333800044945,0.0526930700257905,0.4216666666666667
ALL,nonoverlap,ALNminusOFF,gain_T_vs_N,1200,-0.880575756974156,0.05280625565816092,0.31083333333333335
ALL,nonoverlap,ALNminusOFF,gain_U_vs_N,1200,-0.5537424189737067,0.04292163074125869,0.3491666666666667
ALL,overlap,ALNminusOFF,gain_T_vs_U,1200,4.701840138340421,0.13379307378544264,0.8275
ALL,overlap,ALNminusOFF,gain_T_vs_N,1200,4.199778949688965,0.1378671064209414,0.7941666666666667
ALL,overlap,ALNminusOFF,gain_U_vs_N,1200,-0.5020611886514559,0.06369144046688581,0.4033333333333333
high,ALL,ALNminusOFF,gain_T_vs_U,400,2.544311196797062,0.12635032027668508,0.815
high,ALL,ALNminusOFF,gain_T_vs_N,400,2.0431951600367513,0.12790112052521888,0.765
high,ALL,ALNminusOFF,gain_U_vs_N,400,-0.5011160367603104,0.0631480770355217,0.3175
high,nonoverlap,ALNminusOFF,gain_T_vs_U,400,-0.4236118341423571,0.0967404169915511,0.3925
high,nonoverlap,ALNminusOFF,gain_T_vs_N,400,-1.0209617362606027,0.09450239165606507,0.275
high,nonoverlap,ALNminusOFF,gain_U_vs_N,400,-0.5973499021182458,0.07155383220446847,0.32
high,overlap,ALNminusOFF,gain_T_vs_U,400,5.512234227736481,0.23515589875695983,0.87
high,overlap,ALNminusOFF,gain_T_vs_N,400,5.107352056334106,0.24002905285242973,0.8475
high,overlap,ALNminusOFF,gain_U_vs_N,400,-0.40488217140237487,0.10975106811405504,0.4225
low,ALL,ALNminusOFF,gain_T_vs_U,400,1.7190881272626575,0.1243042627395859,0.725
low,ALL,ALNminusOFF,gain_T_vs_N,400,1.1380986766218362,0.13297995475261412,0.6275
low,ALL,ALNminusOFF,gain_U_vs_N,400,-0.5809894506408212,0.06919932740118823,0.3325
low,nonoverlap,ALNminusOFF,gain_T_vs_U,400,-0.08505627323485289,0.08617849754757756,0.4725
low,nonoverlap,ALNminusOFF,gain_T_vs_N,400,-0.6979412768261197,0.0876838113747856,0.345
low,nonoverlap,ALNminusOFF,gain_U_vs_N,400,-0.6128850035912667,0.07811624782524612,0.3425
low,overlap,ALNminusOFF,gain_T_vs_U,400,3.5232325277601677,0.2308706625230304,0.7425
low,overlap,ALNminusOFF,gain_T_vs_N,400,2.9741386300697923,0.24821966957225433,0.71
low,overlap,ALNminusOFF,gain_U_vs_N,400,-0.5490938976903758,0.11426599173011127,0.4025
medium,ALL,ALNminusOFF,gain_T_vs_U,400,2.2991108764502375,0.11723570846833138,0.82
medium,ALL,ALNminusOFF,gain_T_vs_N,400,1.7975109524136255,0.11762843609936116,0.7625
medium,ALL,ALNminusOFF,gain_U_vs_N,400,-0.501599924036612,0.06539943611645044,0.335
medium,nonoverlap,ALNminusOFF,gain_T_vs_U,400,-0.4718319066241384,0.08933911747530333,0.4
medium,nonoverlap,ALNminusOFF,gain_T_vs_N,400,-0.9228242578357458,0.09132486869921931,0.3125
medium,nonoverlap,ALNminusOFF,gain_U_vs_N,400,-0.45099235121160747,0.07292740092820921,0.385
medium,overlap,ALNminusOFF,gain_T_vs_U,400,5.070053659524613,0.2169150308531523,0.87
medium,overlap,ALNminusOFF,gain_T_vs_N,400,4.517846162662997,0.2139426932563441,0.825
medium,overlap,ALNminusOFF,gain_U_vs_N,400,-0.5522074968616169,0.1066393747971619,0.385
