example_id,source,words,loss,n_masked,axis,axis_path,arm,relation,seed,description,checkpoint
920000000,bnc_spoken,160,3.1460471153259277,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000001,bnc_spoken,160,2.7211639881134033,28,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000002,bnc_spoken,160,2.054452896118164,20,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000003,bnc_spoken,160,3.3115274906158447,38,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000004,bnc_spoken,160,3.6727328300476074,32,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000005,bnc_spoken,160,3.386782169342041,22,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000006,bnc_spoken,160,3.6813719272613525,31,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000007,bnc_spoken,160,2.961054801940918,38,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000008,bnc_spoken,160,3.043644905090332,22,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000009,bnc_spoken,160,3.305623769760132,25,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000010,bnc_spoken,160,2.9134016036987305,35,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
920000011,bnc_spoken,160,4.478497505187988,29,strict_complement_ngram_3000,experiments/archive/relation_learning/data/strict_complement_ngram_axis/strict_complement_ngram_axis_3000_rows.jsonl,OFF43022,OFF,43022,official_lengthmatched no qwen-pair practice seed43022,chck_80M
