arm,relation,seed,checkpoint,n,mean_loss,elapsed_sec_since_model_load,device,loaded_class,total_params_loaded,adapter_params_loaded
OFF43022,OFF,43022,chck_80M,3000,3.157235927482446,163.15,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
OFF43022,OFF,43022,chck_90M,3000,3.101054723203182,169.01,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
OFF43022,OFF,43022,chck_100M,3000,3.094527994354566,155.72,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
ALN43022,ALN,43022,chck_80M,3000,3.055188357869784,153.58,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
ALN43022,ALN,43022,chck_90M,3000,2.99964114951094,159.97,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
ALN43022,ALN,43022,chck_100M,3000,2.9965123726526897,167.91,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
OFF43122,OFF,43122,chck_80M,3000,3.1571957790950935,236.16,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
OFF43122,OFF,43122,chck_90M,3000,3.1138858324488004,182.21,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
OFF43122,OFF,43122,chck_100M,3000,3.1123528026441734,172.29,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
ALN43122,ALN,43122,chck_80M,3000,3.0426143378317354,172.99,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
ALN43122,ALN,43122,chck_90M,3000,3.016881683866183,175.08,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
ALN43122,ALN,43122,chck_100M,3000,3.0127324930826824,183.84,cpu,transformers.models.deberta_v2.modeling_deberta_v2.DebertaV2ForMaskedLM,34467424,0
