group,contrast,role_a,role_b,n,delta_accuracy_pct,acc_a,acc_b,mean_relevant_updates,mean_total_ops,mean_prefix_words
ALL,ALNminusOFF,ALN,OFF,6780,3.333333333333332,25.781710914454276,22.448377581120944,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,ALNminusSEP,ALN,SEP,6780,5.884955752212388,25.781710914454276,19.896755162241888,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,ALNminusSHUF,ALN,SHUF,6780,4.35103244837758,25.781710914454276,21.430678466076696,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,SHUFminusOFF,SHUF,OFF,6780,-1.0176991150442483,21.430678466076696,22.448377581120944,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,SEPminusOFF,SEP,OFF,6780,-2.551622418879056,19.896755162241888,22.448377581120944,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,DUPminusOFF,DUP,OFF,6780,2.4188790560471993,24.867256637168143,22.448377581120944,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,ALNminusDUP,ALN,DUP,6780,0.9144542772861328,25.781710914454276,24.867256637168143,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,DUPminusALN,DUP,ALN,6780,-0.9144542772861328,24.867256637168143,25.781710914454276,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,SHUFminusSEP,SHUF,SEP,6780,1.5339233038348077,21.430678466076696,19.896755162241888,1.9960176991150442,7.359587020648967,120.59041297935103
ALL,SEPminusSHUF,SEP,SHUF,6780,-1.5339233038348077,19.896755162241888,21.430678466076696,1.9960176991150442,7.359587020648967,120.59041297935103
rel0_total_ops_0,ALNminusOFF,ALN,OFF,304,9.53947368421052,36.18421052631579,26.644736842105267,0.0,0.0,61.473684210526315
rel0_total_ops_0,ALNminusSEP,ALN,SEP,304,13.157894736842103,36.18421052631579,23.026315789473685,0.0,0.0,61.473684210526315
rel0_total_ops_0,ALNminusSHUF,ALN,SHUF,304,10.19736842105263,36.18421052631579,25.986842105263158,0.0,0.0,61.473684210526315
