endpoint,word,child_aoa,model_aoa_word_count,model_aoa_log10_word_count,n_subword_tokens,n_model_points,n_child_points,first_word_count,last_word_count,threshold,best_perf,ceiling
dense_seed62065,ankle,-2.46180297130791,21345643.2694684,7.329309247177958,2,18,16,1000000.0,89168037.0,-16.518800569730967,-13.629480083783468,-19.408121055678468
dense_seed62065,arm,-1.5192091314497425,5319226.0376814455,6.725848445825741,1,18,16,1000000.0,89168037.0,-8.892760287303712,-8.08146004676819,-9.704060527839234
dense_seed62065,asleep,-1.46091278772187,17567052.26572653,7.244698893417324,1,18,16,1000000.0,89168037.0,-7.016507774805376,-4.328955021771518,-9.704060527839234
dense_seed62065,aunt,-1.4287787552296292,8372883.004060454,6.922875022768554,1,18,16,1000000.0,89168037.0,-8.806906353015686,-7.9097521781921385,-9.704060527839234
dense_seed62065,baby,-1.440473709865766,12448912.02520287,7.0951313978496335,1,18,16,1000000.0,89168037.0,-8.31638415351906,-6.928707779198885,-9.704060527839234
dense_seed62065,bad,-1.276928269655372,5430163.376408168,6.734812896330126,1,18,16,1000000.0,89168037.0,-8.025821055550361,-6.34758158326149,-9.704060527839234
dense_seed62065,ball,-0.7603570844515516,9022089.27900605,6.955307120388364,1,18,16,1000000.0,89168037.0,-8.13108959056833,-6.5581186532974245,-9.704060527839234
dense_seed62065,bath,-0.5281629323024715,14702998.146054594,7.167405902470794,1,18,16,1000000.0,89168037.0,-9.005722509403014,-8.307384490966797,-9.704060527839234
dense_seed62065,bathroom,-0.5190702223656797,44485855.8334025,7.648221950083531,1,18,16,1000000.0,89168037.0,-8.474986835601042,-7.24591314336285,-9.704060527839234
dense_seed62065,beach,-1.050828904789142,19191236.218298506,7.283102951050909,1,18,16,1000000.0,89168037.0,-8.25081725631305,-6.797573984786868,-9.704060527839234
dense_seed62065,beads,-1.5543126150183681,32969751.583483685,7.518115674885686,1,18,16,1000000.0,89168037.0,-8.783198963726004,-7.862337399612773,-9.704060527839234
dense_seed62065,bed,-0.3976256109868187,8521664.826708516,6.930524448572063,1,18,16,1000000.0,89168037.0,-8.438257281560684,-7.172454035282135,-9.704060527839234
dense_seed62065,bedroom,0.16326872498446734,10995665.88914735,7.041221535036096,1,18,16,1000000.0,89168037.0,-9.087005251724506,-8.46994997560978,-9.704060527839234
dense_seed62065,better,-0.6520994464877465,5003455.182484415,6.699270014026521,1,18,16,1000000.0,89168037.0,-7.79760219015577,-5.891143852472306,-9.704060527839234
dense_seed62065,bib,-0.3431513364892942,29389035.173774786,7.468185328652279,1,18,16,1000000.0,89168037.0,-8.94666845259963,-8.189276377360025,-9.704060527839234
dense_seed62065,big,-0.23761259787432465,5023273.548378097,6.70098682882974,1,18,16,1000000.0,89168037.0,-8.025039194602753,-6.346017861366272,-9.704060527839234
dense_seed62065,bird,0.1068888731377661,24063135.603403624,7.381352218453831,1,18,16,1000000.0,89168037.0,-8.462546136681224,-7.221031745523215,-9.704060527839234
dense_seed62065,black,0.15509388795648218,5070561.492077492,6.705056053891281,1,18,16,1000000.0,89168037.0,-8.125378866572166,-6.546697205305099,-9.704060527839234
dense_seed62065,block,0.15344586141634403,11620693.991501324,7.065232065031901,1,18,16,1000000.0,89168037.0,-9.047846923846986,-8.391633319854737,-9.704060527839234
dense_seed62065,blue,-0.03296138767741663,2031078.342410912,6.307726675261317,1,18,16,1000000.0,89168037.0,-8.919359873313692,-8.134659218788148,-9.704060527839234
dense_seed62065,boat,0.0700435381506591,3722115.5112351435,6.570789846794102,1,18,16,1000000.0,89168037.0,-8.959737901468063,-8.215415275096893,-9.704060527839234
dense_seed62065,book,0.11773142873483701,9453162.212158093,6.975577110262299,1,18,16,1000000.0,89168037.0,-7.62339192804345,-5.542723328247666,-9.704060527839234
dense_seed62065,boots,0.16409610762891896,57097073.237117894,7.756613847132953,1,18,16,1000000.0,89168037.0,-7.700971222002293,-5.697881916165352,-9.704060527839234
dense_seed62065,bottom,0.17107605400433273,10151996.84569424,7.006551474147937,1,18,16,1000000.0,89168037.0,-7.62741487481096,-5.5507692217826845,-9.704060527839234
dense_seed62065,bowl,0.11564246550890743,21382910.179503404,7.3300668116721095,1,18,16,1000000.0,89168037.0,-8.015977750797058,-6.327894973754883,-9.704060527839234
dense_seed62065,boy,0.08578804904733728,3004463.20500558,6.477766889673641,1,18,16,1000000.0,89168037.0,-8.256870566386963,-6.809680604934693,-9.704060527839234
dense_seed62065,bread,0.14134297991971426,12542851.59567755,7.098396283821571,1,18,16,1000000.0,89168037.0,-8.628953777332093,-7.553847026824951,-9.704060527839234
dense_seed62065,break,0.17507234603178698,9784170.751328656,6.990524023312032,1,18,16,1000000.0,89168037.0,-8.421657304544235,-7.139254081249237,-9.704060527839234
dense_seed62065,breakfast,0.21830133976092736,53069840.524976715,7.72484778257518,1,18,16,1000000.0,89168037.0,-8.873982296962524,-8.043904066085815,-9.704060527839234
dense_seed62065,bring,0.10271490410330142,20102371.390048042,7.303247292289373,1,18,16,1000000.0,89168037.0,-9.074098740596558,-8.444136953353881,-9.704060527839234
dense_seed62065,brother,0.14351633998770078,7632774.277509788,6.882682419268609,1,18,16,1000000.0,89168037.0,-7.342261092443253,-4.980461657047272,-9.704060527839234
dense_seed62065,bucket,0.1880633842014647,58313791.327519976,7.765771278414592,1,18,16,1000000.0,89168037.0,-9.072034053582932,-8.440007579326629,-9.704060527839234
dense_seed62065,build,0.15340030682210373,6587934.382154508,6.8187492648131185,1,18,16,1000000.0,89168037.0,-8.432037709731842,-7.160014891624451,-9.704060527839234
dense_seed62065,bus,0.15092450044818279,10972782.302861664,7.040316762995972,1,18,16,1000000.0,89168037.0,-8.895672260303284,-8.087283992767334,-9.704060527839234
dense_seed62065,buttocks,0.07675961718903267,5515915.400184593,6.74161759660556,3,18,16,1000000.0,89168037.0,-26.69370182329114,-24.275222063064575,-29.112181583517703
dense_seed62065,buy,0.18350043317364725,7111883.959288719,6.8519846618750195,1,18,16,1000000.0,89168037.0,-8.215450857658173,-6.7268411874771115,-9.704060527839234
dense_seed62065,cake,0.1453778093867211,26458501.27519439,7.42256524021629,1,18,16,1000000.0,89168037.0,-8.590781860132005,-7.477503192424774,-9.704060527839234
dense_seed62065,camera,0.07596402374217245,12210797.923877388,7.086744044175384,1,18,16,1000000.0,89168037.0,-9.048083564158762,-8.392106600478291,-9.704060527839234
dense_seed62065,candy,0.1322280546287577,33950898.22326139,7.530851268697393,1,18,16,1000000.0,89168037.0,-8.746919903610134,-7.789779279381037,-9.704060527839234
dense_seed62065,car,-0.21708346111225962,8873478.851021513,6.948093918546432,1,18,16,1000000.0,89168037.0,-8.427933047790313,-7.151805567741394,-9.704060527839234
dense_seed62065,careful,-0.11013362703118121,8338868.706730548,6.921107136039425,1,18,16,1000000.0,89168037.0,-7.860285340328003,-6.016510152816773,-9.704060527839234
dense_seed62065,carry,-0.21408481670494064,17183365.301623456,7.235108222871109,1,18,16,1000000.0,89168037.0,-8.674102531451965,-7.644144535064697,-9.704060527839234
dense_seed62065,cat,0.14451042651369503,5726973.354525633,6.757925162507531,1,18,16,1000000.0,89168037.0,-8.922256581563737,-8.140452635288238,-9.704060527839234
dense_seed62065,chair,-0.007379445394023183,37376523.57499433,7.572598904790055,1,18,16,1000000.0,89168037.0,-8.87932873227098,-8.054596936702728,-9.704060527839234
dense_seed62065,child,-0.1833300889717592,5524543.675131745,6.742296411306148,1,18,16,1000000.0,89168037.0,-7.582453154105927,-5.46084578037262,-9.704060527839234
dense_seed62065,chin,0.6354889871512641,62773989.26030439,7.797779728757221,1,18,16,1000000.0,89168037.0,-9.093194054145599,-8.482327580451965,-9.704060527839234
dense_seed62065,church,0.5131568151339683,14869681.637910152,7.172301670312205,1,18,16,1000000.0,89168037.0,-8.588190232295776,-7.472319936752319,-9.704060527839234
dense_seed62065,climb,0.7046882360267658,10866037.361951584,7.036071193985159,1,18,16,1000000.0,89168037.0,-9.22329680778482,-8.742533087730408,-9.704060527839234
dense_seed62065,clock,0.937637544354169,17687590.4132443,7.247668672847036,1,18,16,1000000.0,89168037.0,-8.319959258273478,-6.935857988707721,-9.704060527839234
dense_seed62065,close,0.36327853970840807,16875717.17126485,7.227262238208523,1,18,16,1000000.0,89168037.0,-8.888253019828582,-8.072445511817932,-9.704060527839234
dense_seed62065,closet,0.24943415750718786,1708279.5116808158,6.232558932189644,1,18,16,1000000.0,89168037.0,-9.585403762836243,-9.466746997833251,-9.704060527839234
dense_seed62065,coat,0.1504508678576387,11511823.373056429,7.061144117560288,1,18,16,1000000.0,89168037.0,-8.694562301118161,-7.685064074397087,-9.704060527839234
dense_seed62065,coffee,0.19053538756044192,11851483.060330173,7.073772700102796,1,18,16,1000000.0,89168037.0,-8.52563161112764,-7.347202694416046,-9.704060527839234
dense_seed62065,cold,0.30508895460632524,10012701.338326504,7.000551262100539,1,18,16,1000000.0,89168037.0,-8.530001984615112,-7.355943441390991,-9.704060527839234
dense_seed62065,comb,0.03843341719722422,10385006.477843907,7.016406771770587,1,18,16,1000000.0,89168037.0,-8.844760789743358,-7.98546105164748,-9.704060527839234
