arch,seed,checkpoint,contrast,n_tokens,n_pairs,gain_delta,true_source_delta,unrelated_source_delta,excess_true_cost,gain_delta_se,frac_excess_positive_tokens
D,43022,chck_100M,RminusC,2184,1393,-0.5199321448826828,0.22780614306479893,-0.29212600181788384,0.5199321448826828,0.04575750122252918,0.5911172161172161
D,43022,chck_100M,VminusC,2184,1393,0.5433535756536456,-1.0781325544460911,-0.5347789787924456,-0.5433535756536456,0.052523544349244645,0.4075091575091575
D,43022,chck_100M,VminusR,2184,1393,1.0632857205363284,-1.3059386975108902,-0.24265297697456178,-1.0632857205363284,0.05550171856773253,0.33653846153846156
D,43022,chck_80M,RminusC,2184,1393,-0.7230743984747234,0.4700029454796981,-0.25307145299502537,0.7230743984747234,0.04837967359005181,0.6222527472527473
D,43022,chck_80M,VminusC,2184,1393,0.5179374621227562,-1.0242783839813512,-0.5063409218585951,-0.5179374621227562,0.052163857577879315,0.40293040293040294
D,43022,chck_80M,VminusR,2184,1393,1.2410118605974796,-1.4942813294610493,-0.25326946886356977,-1.2410118605974796,0.05728648444012995,0.32875457875457875
D,43022,chck_90M,RminusC,2184,1393,-0.5219212253893565,0.21158052085653195,-0.31034070453282453,0.5219212253893565,0.04574441293636145,0.5897435897435898
D,43022,chck_90M,VminusC,2184,1393,0.5586903577142961,-1.1013328129636302,-0.542642455249334,-0.5586903577142961,0.05233837191878561,0.4024725274725275
D,43022,chck_90M,VminusR,2184,1393,1.0806115831036527,-1.312913333820162,-0.23230175071650938,-1.0806115831036527,0.054942110473126596,0.33516483516483514
D,43122,chck_100M,RminusC,2184,1393,-0.8514464394308391,0.577936297223516,-0.27351014220732306,0.8514464394308391,0.05485324314552708,0.6222527472527473
D,43122,chck_100M,VminusC,2184,1393,0.7513132878417582,-1.2334449181681577,-0.4821316303263995,-0.7513132878417582,0.0503546736920566,0.3804945054945055
D,43122,chck_100M,VminusR,2184,1393,1.6027597272725973,-1.8113812153916737,-0.20862148811907646,-1.6027597272725973,0.06113692275551674,0.27472527472527475
D,43122,chck_80M,RminusC,2184,1393,-0.7903722481724922,0.4630148580418081,-0.3273573901306841,0.7903722481724922,0.053136313217049036,0.6181318681318682
D,43122,chck_80M,VminusC,2184,1393,0.7152176490492758,-1.2126156187611172,-0.4973979697118414,-0.7152176490492758,0.050657537747677284,0.3823260073260073
D,43122,chck_80M,VminusR,2184,1393,1.5055898972217678,-1.6756304768029253,-0.17004057958115731,-1.5055898972217678,0.06001051991595675,0.2948717948717949
D,43122,chck_90M,RminusC,2184,1393,-0.8470446459163107,0.5517676641596158,-0.2952769817566949,0.8470446459163107,0.05493523639418428,0.6208791208791209
D,43122,chck_90M,VminusC,2184,1393,0.738238362280947,-1.2308487142472453,-0.49261035196629827,-0.738238362280947,0.05032142591572092,0.3804945054945055
D,43122,chck_90M,VminusR,2184,1393,1.5852830081972578,-1.782616378406861,-0.19733337020960331,-1.5852830081972578,0.06105097736150048,0.2760989010989011
