family,arch,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
copy,RBT,43022,ALL,CminusR,2000,5,0.0487106893506134
copy,RBT,43022,ALL,RminusC,2000,5,-0.0487106893506134
copy,RBT,43022,ALL,RminusV,2000,5,-0.05691720085004346
copy,RBT,43022,ALL,VminusC,2000,5,0.008206511499430058
copy,RBT,43022,ALL,VminusR,2000,5,0.05691720085004346
copy,RBT,43022,domain_bnc_spoken,CminusR,180,5,0.08971711285412312
copy,RBT,43022,domain_bnc_spoken,RminusC,180,5,-0.08971711285412312
copy,RBT,43022,domain_bnc_spoken,RminusV,180,5,-0.06261286895722153
copy,RBT,43022,domain_bnc_spoken,VminusC,180,5,-0.0271042438969016
copy,RBT,43022,domain_bnc_spoken,VminusR,180,5,0.06261286895722153
copy,RBT,43022,domain_childes,CminusR,642,5,0.03966809742136733
copy,RBT,43022,domain_childes,RminusC,642,5,-0.03966809742136733
copy,RBT,43022,domain_childes,RminusV,642,5,-0.06530165752059434
copy,RBT,43022,domain_childes,VminusC,642,5,0.025633560099227015
copy,RBT,43022,domain_childes,VminusR,642,5,0.06530165752059434
copy,RBT,43022,domain_gutenberg,CminusR,468,5,0.030277513166587063
copy,RBT,43022,domain_gutenberg,RminusC,468,5,-0.030277513166587063
copy,RBT,43022,domain_gutenberg,RminusV,468,5,-0.04426897717719404
copy,RBT,43022,domain_gutenberg,VminusC,468,5,0.013991464010606974
copy,RBT,43022,domain_gutenberg,VminusR,468,5,0.04426897717719404
copy,RBT,43022,domain_open_subtitles,CminusR,434,5,0.05691639693788669
copy,RBT,43022,domain_open_subtitles,RminusC,434,5,-0.05691639693788669
copy,RBT,43022,domain_open_subtitles,RminusV,434,5,-0.04978443166146631
copy,RBT,43022,domain_open_subtitles,VminusC,434,5,-0.007131965276420382
copy,RBT,43022,domain_open_subtitles,VminusR,434,5,0.04978443166146631
copy,RBT,43022,domain_simple_wiki,CminusR,272,5,0.05965509052552721
copy,RBT,43022,domain_simple_wiki,RminusC,272,5,-0.05965509052552721
copy,RBT,43022,domain_simple_wiki,RminusV,272,5,-0.06377173400319673
copy,RBT,43022,domain_simple_wiki,VminusC,272,5,0.004116643477669523
copy,RBT,43022,domain_simple_wiki,VminusR,272,5,0.06377173400319673
copy,RBT,43022,domain_switchboard,CminusR,4,5,0.17690069675445558
copy,RBT,43022,domain_switchboard,RminusC,4,5,-0.17690069675445558
copy,RBT,43022,domain_switchboard,RminusV,4,5,-0.24254621267318727
copy,RBT,43022,domain_switchboard,VminusC,4,5,0.06564551591873169
copy,RBT,43022,domain_switchboard,VminusR,4,5,0.24254621267318727
copy,RBT,43022,span_1,CminusR,1000,5,0.06814581050076522
copy,RBT,43022,span_1,RminusC,1000,5,-0.06814581050076522
copy,RBT,43022,span_1,RminusV,1000,5,-0.07574984197635204
copy,RBT,43022,span_1,VminusC,1000,5,0.0076040314755868145
copy,RBT,43022,span_1,VminusR,1000,5,0.07574984197635204
copy,RBT,43022,span_4,CminusR,1000,5,0.029275568200461576
copy,RBT,43022,span_4,RminusC,1000,5,-0.029275568200461576
copy,RBT,43022,span_4,RminusV,1000,5,-0.03808455972373487
copy,RBT,43022,span_4,VminusC,1000,5,0.008808991523273291
copy,RBT,43022,span_4,VminusR,1000,5,0.03808455972373487
