arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.33461856842041016,11,5.069105625152588,gutenberg,34715,18,5.403724193572998
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.07236361503601074,8,3.9450604915618896,open_subtitles,46093,11,4.0174241065979
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,0.40922093391418457,8,2.82173228263855,childes,9638,11,3.2309532165527344
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,0.7186212539672852,8,4.594368934631348,open_subtitles,38847,12,5.312990188598633
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,0.5232014656066895,28,5.846804618835449,gutenberg,25389,52,6.370006084442139
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,0.29782891273498535,8,2.85770583152771,gutenberg,23610,11,3.1555347442626953
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,0.044923245906829834,19,0.09153205156326294,childes,9850,31,0.13645529747009277
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,0.024251818656921387,28,1.504432201385498,gutenberg,33545,48,1.5286840200424194
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,0.4385514259338379,8,3.1154561042785645,gutenberg,27677,11,3.5540075302124023
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.13944768905639648,11,2.0903782844543457,gutenberg,31140,18,2.229825973510742
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.6837335824966431,8,1.358406662940979,open_subtitles,39267,11,2.042140245437622
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,5.777059316635132,8,1.8132636547088623,bnc_spoken,4664,10,7.590322971343994
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,1.4584465026855469,8,7.55926513671875,open_subtitles,42641,11,9.017711639404297
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,0.6639490127563477,9,4.4960432052612305,childes,16252,14,5.159992218017578
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,1.2467479705810547,9,8.775066375732422,childes,21179,14,10.021814346313477
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,0.14266061782836914,13,5.210963726043701,gutenberg,36547,21,5.35362434387207
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,0.0703592300415039,28,5.75886344909668,gutenberg,31372,53,5.829222679138184
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,0.17336702346801758,8,6.856254577636719,open_subtitles,48479,12,7.029621601104736
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,1.288011074066162,8,2.712531566619873,childes,8771,10,4.000542640686035
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,0.2583427429199219,8,4.12388801574707,gutenberg,35397,12,4.382230758666992
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,0.5409196615219116,8,1.7407218217849731,childes,21260,10,2.2816414833068848
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,0.8854284286499023,8,4.526437759399414,childes,13377,13,5.411866188049316
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,0.23507332801818848,11,2.8164710998535156,childes,10575,17,3.051544427871704
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,1.0715093612670898,8,2.8133578300476074,childes,16330,10,3.8848671913146973
RBT,RBT_C_43022,chck_80M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,0.5098495483398438,19,12.584768295288086,open_subtitles,47969,30,13.09461784362793
