arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.2625904083251953,11,4.586275100708008,gutenberg,34715,18,4.848865509033203
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.19622135162353516,8,5.329174995422363,open_subtitles,46093,11,5.525396347045898
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,0.9234375953674316,8,5.603035926818848,childes,9638,11,6.526473522186279
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,-0.044705867767333984,8,5.205130100250244,open_subtitles,38847,12,5.16042423248291
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,0.1647510528564453,28,8.071276664733887,gutenberg,25389,52,8.236027717590332
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,0.1308894157409668,8,5.308969974517822,gutenberg,23610,11,5.439859390258789
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,-0.11744403839111328,19,5.8145551681518555,childes,9850,31,5.697111129760742
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,0.03787875175476074,28,3.548598289489746,gutenberg,33545,48,3.586477041244507
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,0.5564374923706055,8,6.813981056213379,gutenberg,27677,11,7.370418548583984
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.09385395050048828,11,3.1407835483551025,gutenberg,31140,18,3.234637498855591
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.7080938816070557,8,3.662986993789673,open_subtitles,39267,11,4.3710808753967285
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,2.311526298522949,8,5.925418853759766,bnc_spoken,4664,10,8.236945152282715
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,0.6953248977661133,8,9.60590648651123,open_subtitles,42641,11,10.301231384277344
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,0.1615917682647705,9,3.4667906761169434,childes,16252,14,3.628382444381714
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,0.9967923164367676,9,7.898158550262451,childes,21179,14,8.894950866699219
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,0.4451627731323242,13,8.461159706115723,gutenberg,36547,21,8.906322479248047
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,0.04720592498779297,28,6.802640914916992,gutenberg,31372,53,6.849846839904785
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,0.5431733131408691,8,7.543912410736084,open_subtitles,48479,12,8.087085723876953
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,0.5289716720581055,8,6.095040798187256,childes,8771,10,6.624012470245361
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,0.3771944046020508,8,4.172924995422363,gutenberg,35397,12,4.550119400024414
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,0.43956613540649414,8,3.6714630126953125,childes,21260,10,4.111029148101807
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,0.9728083610534668,8,5.375274658203125,childes,13377,13,6.348083019256592
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,0.2679939270019531,11,4.139034271240234,childes,10575,17,4.4070281982421875
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,1.1080007553100586,8,8.37651538848877,childes,16330,10,9.484516143798828
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,0.1903095245361328,19,12.420476913452148,open_subtitles,47969,30,12.610786437988281
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,1.5837793350219727,8,8.78305721282959,gutenberg,37483,10,10.366836547851562
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.2731184959411621,13,2.9418959617614746,childes,14826,21,3.2150144577026367
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,0.6832304000854492,8,9.671426773071289,open_subtitles,40156,10,10.354657173156738
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,0.32560205459594727,9,4.832658767700195,childes,19420,14,5.158260822296143
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:126:27140,1,0.06635761260986328,11,4.37076473236084,gutenberg,27140,17,4.437122344970703
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:127:7181,1,2.211115837097168,8,3.0402650833129883,childes,7181,12,5.251380920410156
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:128:27695,1,0.7660789489746094,8,7.896293640136719,gutenberg,27695,12,8.662372589111328
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:129:1384,1,0.08037233352661133,12,5.4017815589904785,bnc_spoken,1384,19,5.48215389251709
RBT,RBT_R_43022,chck_70M,43022,R,heldout_natural_source_repeat,heldoutcopy:1:12:16004,1,-0.026028871536254883,15,2.8345799446105957,childes,16004,24,2.808551073074341
