arm,checkpoint,copy_pairs,elapsed_sec,entity_items,rewrite_pairs,scored_records
RBT_V_43022,chck_60M,2000,11.0,1221,5892,25552
RBT_V_43022,chck_70M,2000,9.74,1221,5892,25552
RBT_V_43022,chck_80M,2000,9.52,1221,5892,25552
RBT_V_43022,chck_90M,2000,9.54,1221,5892,25552
RBT_V_43022,chck_100M,2000,9.52,1221,5892,25552
RBT_C_43022,chck_60M,2000,9.55,1221,5892,25552
RBT_C_43022,chck_70M,2000,9.57,1221,5892,25552
RBT_C_43022,chck_80M,2000,9.79,1221,5892,25552
RBT_C_43022,chck_90M,2000,10.17,1221,5892,25552
RBT_C_43022,chck_100M,2000,10.1,1221,5892,25552
RBT_R_43022,chck_60M,2000,9.74,1221,5892,25552
RBT_R_43022,chck_70M,2000,9.81,1221,5892,25552
RBT_R_43022,chck_80M,2000,9.93,1221,5892,25552
RBT_R_43022,chck_90M,2000,9.93,1221,5892,25552
RBT_R_43022,chck_100M,2000,10.06,1221,5892,25552
