arch,arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,-0.7989587783813477,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,7.3678388595581055,6.568880081176758
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,0.05969357490539551,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,3.6370997428894043,3.6967933177948
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,overlap,0.18410682678222656,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,3.632927656173706,3.8170344829559326
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,overlap,0.2546977996826172,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,8.718195915222168,8.972893714904785
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:10:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,-0.14362382888793945,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,7.052042484283447,6.908418655395508
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:1:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,-0.5717964172363281,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,10.927431106567383,10.355634689331055
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:4:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,-0.005179405212402344,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,9.49148941040039,9.486310005187988
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1000:8:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,1.230961799621582,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,6.921963691711426,8.152925491333008
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:11:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,0.3480510711669922,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,11.570354461669922,11.918405532836914
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:12:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,1.0211892127990723,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,7.979650020599365,9.000839233398438
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:1:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,0.36803436279296875,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,8.58366584777832,8.951700210571289
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1001:8:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,-0.7131767272949219,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,8.38654613494873,7.673369407653809
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1002:0:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,1.273097038269043,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,7.315281867980957,8.58837890625
RBT,RBT_V_43022,chck_70M,43022,V,heldout_rewrite_content_conditioning,rewritecond:1002:18:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,0.36750221252441406,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,5.228014945983887,5.595517158508301
