family,role,checkpoint,group,n,mean_gain,mean_intact_nll,mean_control_nll,mean_true_source_nll,mean_unrelated_source_nll,mean_margin_full,mean_effect_no_initial_qbox,mean_effect_no_last_relevant_update,mean_effect_no_all_relevant_updates
copy,C,chck_100M,ALL,4000,0.5260619512926787,4.0503161807755825,4.576378132068261,,,,,,
copy,C,chck_60M,ALL,4000,0.2617514119744301,5.571381368204952,5.8331327801793815,,,,,,
copy,C,chck_70M,ALL,4000,0.3625490178260952,4.791870601396076,5.154419619222171,,,,,,
copy,C,chck_80M,ALL,4000,0.47747348228388,4.213195323822089,4.690668806105968,,,,,,
copy,C,chck_90M,ALL,4000,0.5245989203406498,4.069137222823687,4.593736143164337,,,,,,
copy,R,chck_100M,ALL,4000,0.3280692169740796,5.771707483939826,6.099776700913906,,,,,,
copy,R,chck_60M,ALL,4000,0.43540837198495863,5.800646483778953,6.236054855763912,,,,,,
copy,R,chck_70M,ALL,4000,0.4460612555295229,5.7236269392818215,6.169688194811344,,,,,,
copy,R,chck_80M,ALL,4000,0.36419747933745383,5.755540559738875,6.119738039076328,,,,,,
copy,R,chck_90M,ALL,4000,0.33514501313865186,5.76493842702359,6.1000834401622415,,,,,,
copy,RS,chck_100M,ALL,4000,0.33019862610194833,4.865292392804287,5.195491018906235,,,,,,
copy,RS,chck_60M,ALL,4000,0.3237601530700922,5.92551397138834,6.249274124458432,,,,,,
copy,RS,chck_70M,ALL,4000,0.24560272104106842,5.68861446950864,5.934217190549709,,,,,,
copy,RS,chck_80M,ALL,4000,0.29669422159250824,5.148552638658322,5.445246860250831,,,,,,
copy,RS,chck_90M,ALL,4000,0.3258064881516621,4.9063691506898035,5.232175638841465,,,,,,
copy,V,chck_100M,ALL,4000,0.5142549595427699,4.211473256381694,4.725728215924464,,,,,,
copy,V,chck_60M,ALL,4000,0.3578741131424904,5.868877919286489,6.22675203242898,,,,,,
copy,V,chck_70M,ALL,4000,0.36241562546230854,5.336038119925186,5.698453745387495,,,,,,
copy,V,chck_80M,ALL,4000,0.4489795270022005,4.478547344304621,4.927526871306822,,,,,,
copy,V,chck_90M,ALL,4000,0.5099431160651148,4.245015927340836,4.75495904340595,,,,,,
rewrite,C,chck_100M,ALL,5892,1.028249667723488,,,8.223354181316502,9.25160384903999,,,,
rewrite,C,chck_100M,token_nonoverlap,2732,0.683624739440957,,,8.665310016433718,9.348934755874675,,,,
rewrite,C,chck_100M,token_overlap,3160,1.3261975487576256,,,7.841258187158198,9.167455735915825,,,,
rewrite,C,chck_60M,ALL,5892,0.6206980619152144,,,9.278045553053955,9.898743614969169,,,,
rewrite,C,chck_60M,token_nonoverlap,2732,0.41004841777974654,,,9.534656015444291,9.944704433224038,,,,
rewrite,C,chck_60M,token_overlap,3160,0.8028166783006886,,,9.056191191265855,9.859007869566543,,,,
rewrite,C,chck_70M,ALL,5892,0.7835391384966099,,,8.785812805480724,9.569351943977335,,,,
rewrite,C,chck_70M,token_nonoverlap,2732,0.5488779863798077,,,9.135934271103816,9.684812257483623,,,,
rewrite,C,chck_70M,token_overlap,3160,0.9864170712760733,,,8.483112854821773,9.469529926097845,,,,
rewrite,C,chck_80M,ALL,5892,0.9734338125857623,,,8.35073340424695,9.324167216832713,,,,
rewrite,C,chck_80M,token_nonoverlap,2732,0.6633870084476855,,,8.760910523692651,9.424297532140336,,,,
rewrite,C,chck_80M,token_overlap,3160,1.2414869356570364,,,7.99611191996668,9.237598855623716,,,,
rewrite,C,chck_90M,ALL,5892,1.02334441295689,,,8.255589062093838,9.278933475050728,,,,
rewrite,C,chck_90M,token_nonoverlap,2732,0.6792295674301171,,,8.703494532554688,9.382724099984804,,,,
rewrite,C,chck_90M,token_overlap,3160,1.320851298393328,,,7.8683492692776875,9.189200567671016,,,,
rewrite,R,chck_100M,ALL,5892,0.5589348452882709,,,8.99348386614321,9.552418711431482,,,,
rewrite,R,chck_100M,token_nonoverlap,2732,0.21102166743090003,,,9.456511891691088,9.667533559121988,,,,
rewrite,R,chck_100M,token_overlap,3160,0.8597256053852129,,,8.593169763042956,9.45289536842817,,,,
rewrite,R,chck_60M,ALL,5892,0.5794302340032936,,,9.012387589662154,9.591817823665448,,,,
rewrite,R,chck_60M,token_nonoverlap,2732,0.22381211697269848,,,9.479921268160137,9.703733385132836,,,,
rewrite,R,chck_60M,token_overlap,3160,0.8868823529044284,,,8.608178092935418,9.495060445839846,,,,
rewrite,R,chck_70M,ALL,5892,0.6071627602153138,,,8.807213463996918,9.414376224212232,,,,
rewrite,R,chck_70M,token_nonoverlap,2732,0.20936082013354992,,,9.364971143260359,9.574331963393908,,,,
rewrite,R,chck_70M,token_overlap,3160,0.9510851970201806,,,8.325000179266627,9.276085376286808,,,,
