subset,seed,contrast,n_rows,mean_delta_loss,median_delta_loss,se_delta_loss
heldout2647_full,43022,dose21-base0,2647,0.00474927611961002,0.004631678263345762,0.0028019275176633636
heldout2647_full,43022,dose25-base0,2647,0.023903829999082277,0.02069013317426044,0.0028178105227953955
heldout2647_full,43022,dose25-dose21,2647,0.019154553879472257,0.019602855046589873,0.0028001362262347978
heldout2647_inherited_aln_text_hit,43022,dose21-base0,904,0.005965142068521814,0.00462885697682669,0.00538937090280472
heldout2647_inherited_aln_text_hit,43022,dose25-base0,904,0.025388383265353937,0.019529541333516254,0.005372861575181673
heldout2647_inherited_aln_text_hit,43022,dose25-dose21,904,0.019423241196832117,0.02272756894429495,0.005249570232997489
heldout2647_no_inherited_aln_text,43022,dose21-base0,1743,0.004118672093324154,0.0046700239181518555,0.0032093954800085163
heldout2647_no_inherited_aln_text,43022,dose25-base0,1743,0.023133872367005644,0.022426128387451172,0.003248623621740525
heldout2647_no_inherited_aln_text,43022,dose25-dose21,1743,0.01901520027368149,0.018440643946329827,0.003267656147337152
strict_complement_ngram_3000,43022,dose21-base0,3000,0.03883210914664798,0.03369605541229248,0.0036532787812358423
strict_complement_ngram_3000,43022,dose25-base0,3000,0.03145820758077832,0.030309538046518814,0.003641377858655943
strict_complement_ngram_3000,43022,dose25-dose21,3000,-0.007373901565869654,-0.0017695228258769458,0.0037659425010376567
