role,checkpoint,token_class,n,T,U,N,A_T,A_U,G
BASE0,chck_100M,nonoverlap,2732,6.24342406590266,7.907366248420378,8.189971612182774,1.9465475462801143,0.28260536376239614,1.6639421825177183
BASE0,chck_100M,overlap,3160,1.1762725462094819,7.905389206175828,8.07879345983258,6.902520913623098,0.17340425365675194,6.729116659966346
BASE0,chck_80M,nonoverlap,2732,6.317151821962944,7.910807322897562,8.19929188617681,1.8821400642138668,0.28848456327924793,1.5936555009346187
BASE0,chck_80M,overlap,3160,1.21565899366647,7.922843639107858,8.089731589142865,6.8740725954763935,0.16688795003500662,6.707184645441387
BASE0,chck_90M,nonoverlap,2732,6.2357799824096105,7.894262380780731,8.162587457929641,1.9268074755200306,0.2683250771489098,1.6584823983711208
BASE0,chck_90M,overlap,3160,1.2027042185574184,7.8853236172068275,8.046052606907951,6.843348388350532,0.16072898970112276,6.682619398649409
DOSE21,chck_100M,nonoverlap,2732,6.193561292619214,7.853052537741704,8.159732503646039,1.9661712110268244,0.30667996590433433,1.6594912451224901
DOSE21,chck_100M,overlap,3160,1.2163751650305983,7.8823896116515195,8.05858234962525,6.842207184594653,0.17619273797373133,6.666014446620921
DOSE21,chck_80M,nonoverlap,2732,6.251810571319413,7.863661267817168,8.148351891950798,1.8965413206313855,0.28469062413363055,1.611850696497755
DOSE21,chck_80M,overlap,3160,1.283097275720686,7.878222588772879,8.044880724329017,6.761783448608332,0.16665813555613843,6.595125313052193
DOSE21,chck_90M,nonoverlap,2732,6.203307836694918,7.855308342474823,8.154629466447728,1.95132162975281,0.299321123972906,1.6520005057799039
DOSE21,chck_90M,overlap,3160,1.2336607996516757,7.8685122011037825,8.044474426482266,6.810813626830589,0.17596222537848213,6.634851401452107
DOSE25,chck_100M,nonoverlap,2732,6.160633296006268,7.910096176861107,8.202689631340963,2.0420563353346948,0.29259345447985485,1.7494628808548398
DOSE25,chck_100M,overlap,3160,1.1329876862973258,8.002091535550095,8.098885267004857,6.965897580707531,0.09679373145476278,6.8691038492527685
DOSE25,chck_80M,nonoverlap,2732,6.234091322908606,7.937826268538549,8.221886779514373,1.9877954566057656,0.2840605109758228,1.7037349456299429
DOSE25,chck_80M,overlap,3160,1.2290887725105895,8.019425382529963,8.115314828394396,6.886226055883807,0.09588944586443338,6.790336610019374
DOSE25,chck_90M,nonoverlap,2732,6.174851658061354,7.926343296812697,8.213025148442537,2.038173490381182,0.28668185162983867,1.7514916387513433
DOSE25,chck_90M,overlap,3160,1.1426973764997204,8.012732958818397,8.101146946211427,6.958449569711708,0.0884139873930312,6.8700355823186765
