arm,group,n_checkpoints,n,late_mean_accuracy_pct,late_mean_stale_pct
R,ALL,3,6780,25.058997050147493,50.50403442789369
R,rel_ge1,3,5239,20.792772157536426,50.50403442789369
R,rel_ge2,3,3916,22.497446373850867,50.667226841185204
R,rel_ge3,3,2650,23.72327044025157,49.27138855810677
R,rel_updates_0,3,1541,39.56305429374865,nan
R,rel_updates_1,3,1323,15.747039556563365,33.333333333333336
R,rel_updates_2,3,1266,19.931542917324908,52.56770651939566
R,rel_updates_3,3,1230,21.761517615176153,49.15846464991731
R,rel_updates_4,3,1112,25.569544364508392,52.4131417391891
R,rel_updates_5,3,308,24.891774891774894,38.30690575642287
V,ALL,3,6780,25.904621435594887,39.81062982050539
V,rel_ge1,3,5239,22.67608322198893,39.81062982050539
V,rel_ge2,3,3916,24.73612529792305,39.5443172665793
V,rel_ge3,3,2650,25.849056603773587,38.90279915419438
V,rel_updates_0,3,1541,36.88081332468094,nan
V,rel_updates_1,3,1323,16.57848324514991,73.21428571428571
V,rel_updates_2,3,1266,22.406529752501317,40.44835967127226
V,rel_updates_3,3,1230,23.902439024390244,41.08396391774614
V,rel_updates_4,3,1112,27.607913669064747,37.79222676797195
V,rel_updates_5,3,308,27.272727272727273,35.37707390648567
C,ALL,3,6780,26.48967551622419,34.595922875130526
C,rel_ge1,3,5239,23.560475917796015,34.595922875130526
C,rel_ge2,3,3916,25.859720803541027,34.6600990493006
C,rel_ge3,3,2650,28.22641509433962,32.34735386659122
C,rel_updates_0,3,1541,36.44819381354099,nan
C,rel_updates_1,3,1323,16.75485008818342,28.484848484848484
C,rel_updates_2,3,1266,20.905739863085834,37.67746367525454
C,rel_updates_3,3,1230,25.094850948509485,32.386165658224485
C,rel_updates_4,3,1112,31.205035971223023,34.66666666666667
C,rel_updates_5,3,308,29.97835497835498,23.465160075329567
