family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,D,D_R_43222,D_V_43222,chck_100M,43222,ALL,RminusV,2000,0.24147906999041613,4.187040071393741,3.945561001403325
copy,D,D_V_43222,D_R_43222,chck_100M,43222,ALL,VminusR,2000,-0.24147906999041613,3.945561001403325,4.187040071393741
copy,D,D_R_43222,D_V_43222,chck_100M,43222,domain_bnc_spoken,RminusV,180,0.09535897400395132,4.3949567094961015,4.29959773549215
copy,D,D_V_43222,D_R_43222,chck_100M,43222,domain_bnc_spoken,VminusR,180,-0.09535897400395132,4.29959773549215,4.3949567094961015
copy,D,D_R_43222,D_V_43222,chck_100M,43222,domain_childes,RminusV,642,0.18912668101910945,2.8564088125585747,2.6672821315394653
copy,D,D_V_43222,D_R_43222,chck_100M,43222,domain_childes,VminusR,642,-0.18912668101910945,2.6672821315394653,2.8564088125585747
copy,D,D_R_43222,D_V_43222,chck_100M,43222,domain_gutenberg,RminusV,468,0.18512311203086718,4.953775043846193,4.7686519318153255
copy,D,D_V_43222,D_R_43222,chck_100M,43222,domain_gutenberg,VminusR,468,-0.18512311203086718,4.7686519318153255,4.953775043846193
copy,D,D_R_43222,D_V_43222,chck_100M,43222,domain_open_subtitles,RminusV,434,0.3309605199452559,4.95463316576642,4.6236726458211646
copy,D,D_V_43222,D_R_43222,chck_100M,43222,domain_open_subtitles,VminusR,434,-0.3309605199452559,4.6236726458211646,4.95463316576642
copy,D,D_R_43222,D_V_43222,chck_100M,43222,domain_simple_wiki,RminusV,272,0.4302564858119924,4.6861921105907784,4.255935624778786
copy,D,D_V_43222,D_R_43222,chck_100M,43222,domain_simple_wiki,VminusR,272,-0.4302564858119924,4.255935624778786,4.6861921105907784
copy,D,D_R_43222,D_V_43222,chck_100M,43222,domain_switchboard,RminusV,4,-0.732512695423793,1.4629272180609405,2.1954399134847336
copy,D,D_V_43222,D_R_43222,chck_100M,43222,domain_switchboard,VminusR,4,0.732512695423793,2.1954399134847336,1.4629272180609405
copy,D,D_R_43222,D_V_43222,chck_100M,43222,span_1,RminusV,1000,0.3217963134859785,4.286957234443788,3.9651609209578096
copy,D,D_V_43222,D_R_43222,chck_100M,43222,span_1,VminusR,1000,-0.3217963134859785,3.9651609209578096,4.286957234443788
copy,D,D_R_43222,D_V_43222,chck_100M,43222,span_4,RminusV,1000,0.16116182649485333,4.087122908343694,3.925961081848841
copy,D,D_V_43222,D_R_43222,chck_100M,43222,span_4,VminusR,1000,-0.16116182649485333,3.925961081848841,4.087122908343694
copy,D,D_R_43222,D_V_43222,chck_80M,43222,ALL,RminusV,2000,0.2497546200087588,4.1548929216611175,3.9051383016523586
copy,D,D_V_43222,D_R_43222,chck_80M,43222,ALL,VminusR,2000,-0.2497546200087588,3.9051383016523586,4.1548929216611175
copy,D,D_R_43222,D_V_43222,chck_80M,43222,domain_bnc_spoken,RminusV,180,0.029084586848006744,4.258313246969354,4.229228660121347
copy,D,D_V_43222,D_R_43222,chck_80M,43222,domain_bnc_spoken,VminusR,180,-0.029084586848006744,4.229228660121347,4.258313246969354
copy,D,D_R_43222,D_V_43222,chck_80M,43222,domain_childes,RminusV,642,0.20069542150141562,2.843960136087869,2.6432647145864534
copy,D,D_V_43222,D_R_43222,chck_80M,43222,domain_childes,VminusR,642,-0.20069542150141562,2.6432647145864534,2.843960136087869
copy,D,D_R_43222,D_V_43222,chck_80M,43222,domain_gutenberg,RminusV,468,0.16920302730839332,4.893606328169935,4.724403300861542
copy,D,D_V_43222,D_R_43222,chck_80M,43222,domain_gutenberg,VminusR,468,-0.16920302730839332,4.724403300861542,4.893606328169935
copy,D,D_R_43222,D_V_43222,chck_80M,43222,domain_open_subtitles,RminusV,434,0.3591837686348267,4.929720024957428,4.570536256322601
copy,D,D_V_43222,D_R_43222,chck_80M,43222,domain_open_subtitles,VminusR,434,-0.3591837686348267,4.570536256322601,4.929720024957428
copy,D,D_R_43222,D_V_43222,chck_80M,43222,domain_simple_wiki,RminusV,272,0.4907912889223285,4.713204989423628,4.222413700501299
copy,D,D_V_43222,D_R_43222,chck_80M,43222,domain_simple_wiki,VminusR,272,-0.4907912889223285,4.222413700501299,4.713204989423628
copy,D,D_R_43222,D_V_43222,chck_80M,43222,domain_switchboard,RminusV,4,-0.7851122934371233,1.4422604902647436,2.227372783701867
copy,D,D_V_43222,D_R_43222,chck_80M,43222,domain_switchboard,VminusR,4,0.7851122934371233,2.227372783701867,1.4422604902647436
copy,D,D_R_43222,D_V_43222,chck_80M,43222,span_1,RminusV,1000,0.3319597315755347,4.257136112984391,3.925176381408856
copy,D,D_V_43222,D_R_43222,chck_80M,43222,span_1,VminusR,1000,-0.3319597315755347,3.925176381408856,4.257136112984391
copy,D,D_R_43222,D_V_43222,chck_80M,43222,span_4,RminusV,1000,0.16754950844198335,4.052649730337844,3.885100221895861
copy,D,D_V_43222,D_R_43222,chck_80M,43222,span_4,VminusR,1000,-0.16754950844198335,3.885100221895861,4.052649730337844
copy,D,D_R_43222,D_V_43222,chck_90M,43222,ALL,RminusV,2000,0.24277155623769975,4.155117308770289,3.9123457525325893
copy,D,D_V_43222,D_R_43222,chck_90M,43222,ALL,VminusR,2000,-0.24277155623769975,3.9123457525325893,4.155117308770289
copy,D,D_R_43222,D_V_43222,chck_90M,43222,domain_bnc_spoken,RminusV,180,0.08680924651529853,4.372697334287093,4.285888087771794
copy,D,D_V_43222,D_R_43222,chck_90M,43222,domain_bnc_spoken,VminusR,180,-0.08680924651529853,4.285888087771794,4.372697334287093
copy,D,D_R_43222,D_V_43222,chck_90M,43222,domain_childes,RminusV,642,0.1986905349999204,2.840291920694917,2.6416013856949965
copy,D,D_V_43222,D_R_43222,chck_90M,43222,domain_childes,VminusR,642,-0.1986905349999204,2.6416013856949965,2.840291920694917
copy,D,D_R_43222,D_V_43222,chck_90M,43222,domain_gutenberg,RminusV,468,0.19169435682990432,4.918876877885166,4.727182521055262
copy,D,D_V_43222,D_R_43222,chck_90M,43222,domain_gutenberg,VminusR,468,-0.19169435682990432,4.727182521055262,4.918876877885166
copy,D,D_R_43222,D_V_43222,chck_90M,43222,domain_open_subtitles,RminusV,434,0.32056884093879123,4.921155974191057,4.600587133252266
copy,D,D_V_43222,D_R_43222,chck_90M,43222,domain_open_subtitles,VminusR,434,-0.32056884093879123,4.600587133252266,4.921155974191057
copy,D,D_R_43222,D_V_43222,chck_90M,43222,domain_simple_wiki,RminusV,272,0.4252156886348004,4.617326943313598,4.192111254678798
copy,D,D_V_43222,D_R_43222,chck_90M,43222,domain_simple_wiki,VminusR,272,-0.4252156886348004,4.192111254678798,4.617326943313598
copy,D,D_R_43222,D_V_43222,chck_90M,43222,domain_switchboard,RminusV,4,-0.5350946599501185,1.488171013072133,2.0232656730222516
copy,D,D_V_43222,D_R_43222,chck_90M,43222,domain_switchboard,VminusR,4,0.5350946599501185,2.0232656730222516,1.488171013072133
copy,D,D_R_43222,D_V_43222,chck_90M,43222,span_1,RminusV,1000,0.3121776249594461,4.244628440600533,3.9324508156410865
copy,D,D_V_43222,D_R_43222,chck_90M,43222,span_1,VminusR,1000,-0.3121776249594461,3.9324508156410865,4.244628440600533
copy,D,D_R_43222,D_V_43222,chck_90M,43222,span_4,RminusV,1000,0.1733654875159525,4.065606176940045,3.892240689424092
copy,D,D_V_43222,D_R_43222,chck_90M,43222,span_4,VminusR,1000,-0.1733654875159525,3.892240689424092,4.065606176940045
