arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,2.928786162286997,11,0.031955596059560776,gutenberg,34715,18,2.9607417583465576
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.012850627303123474,8,0.033271435648202896,open_subtitles,46093,11,0.04612206295132637
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,2.5087104849517345,8,0.01680268719792366,childes,9638,11,2.525513172149658
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,2.4650934264063835,8,0.10105914622545242,open_subtitles,38847,12,2.566152572631836
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,5.010295729152858,28,0.01462759543210268,gutenberg,25389,52,5.024923324584961
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,1.7979872915893793,8,0.015603950247168541,gutenberg,23610,11,1.8135912418365479
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,2.2648440790362656e-05,19,4.7205765440594405e-05,childes,9850,31,6.985420623095706e-05
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,-0.0016674119979143143,28,0.02035432495176792,gutenberg,33545,48,0.018686912953853607
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,3.393648400902748,8,0.07831142842769623,gutenberg,27677,11,3.4719598293304443
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.0034482553601264954,11,0.07382139563560486,gutenberg,31140,18,0.07726965099573135
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.4526293948292732,8,0.03614412993192673,open_subtitles,39267,11,0.48877352476119995
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,2.9006002750247717,8,0.025802770629525185,bnc_spoken,4664,10,2.926403045654297
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,11.952388420701027,8,0.15934501588344574,open_subtitles,42641,11,12.111733436584473
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,1.0556251369416714,9,0.06060868874192238,childes,16252,14,1.1162338256835938
D,D_V_43222,chck_100M,43222,V,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,8.362327516078949,9,0.6012755036354065,childes,21179,14,8.963603019714355
