arch,arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,-1.6973247528076172,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,6.863358497619629,5.166033744812012
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,1.139324426651001,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,2.5840508937835693,3.7233753204345703
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,overlap,0.261307954788208,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,3.021749973297119,3.283057928085327
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,overlap,7.645963492803276,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,0.010539230890572071,7.656502723693848
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1000:10:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,2.7345733642578125,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,4.152151107788086,6.886724472045898
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1000:1:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,14.753992879763246,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,0.028219377622008324,14.782212257385254
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1000:4:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,1.9582653045654297,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,7.738309860229492,9.696575164794922
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1000:8:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,-0.13870787620544434,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,2.0114262104034424,1.872718334197998
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1001:11:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,-0.44866085052490234,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,10.256407737731934,9.807746887207031
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1001:12:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,-0.17141008377075195,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,5.001673221588135,4.830263137817383
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1001:1:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,5.15490144956857,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,0.002740914933383465,5.157642364501953
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1001:8:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,3.1747822761535645,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,5.94691801071167,9.121700286865234
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1002:0:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,-13.204448095522821,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,13.2157621383667,0.01131404284387827
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1002:18:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,5.374922425486147,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,0.008016436360776424,5.382938861846924
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1003:0:compact:frontier_consolidation_fwcompact_expansion_020376,nonoverlap,-3.314361095428467,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,7.975931167602539,4.661570072174072
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1003:2:compact:frontier_consolidation_fwcompact_expansion_020376,overlap,8.928740162402391,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,0.04186282679438591,8.970602989196777
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1003:4:compact:frontier_consolidation_fwcompact_expansion_020376,overlap,5.116037681698799,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,0.10715453326702118,5.22319221496582
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1003:7:compact:frontier_consolidation_fwcompact_expansion_020376,nonoverlap,0.5356473922729492,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,8.003580093383789,8.539227485656738
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1004:0:compact:frontier_consolidation_fwcompact_expansion_020429,nonoverlap,6.367865562438965,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,7.035470008850098,13.403335571289062
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1004:2:compact:frontier_consolidation_fwcompact_expansion_020429,overlap,7.298164833337069,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,0.01821376010775566,7.316378593444824
D,D_R_43222,chck_100M,43222,R,heldout_rewrite_content_conditioning,rewritecond:1004:3:compact:frontier_consolidation_fwcompact_expansion_020429,nonoverlap,-5.054033279418945,compact:frontier_consolidation_fwcompact_expansion_020429,9,6,12,10,10.10062026977539,5.046586990356445
