arch,arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,-1.6955008506774902,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,5.999309539794922,4.303808689117432
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,1.603047251701355,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,1.3259180784225464,2.9289653301239014
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,overlap,-0.16185832023620605,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,3.3704164028167725,3.2085580825805664
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,overlap,8.260173906572163,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,0.00884235929697752,8.26901626586914
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1000:10:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,3.284735679626465,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,5.84500789642334,9.129743576049805
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1000:1:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,13.170480322092772,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,0.024269510060548782,13.19474983215332
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1000:4:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,4.903468132019043,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,3.1180477142333984,8.021515846252441
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1000:8:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,-1.7942216396331787,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,4.513888359069824,2.7196667194366455
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1001:11:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,-3.4539365768432617,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,12.048290252685547,8.594353675842285
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1001:12:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,2.591219425201416,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,3.6032543182373047,6.194473743438721
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1001:1:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,6.5657258639112115,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,0.012370525859296322,6.578096389770508
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1001:8:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,0.3468906879425049,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,3.0016841888427734,3.3485748767852783
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1002:0:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,-6.358616471290588,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,6.821849346160889,0.4632328748703003
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1002:18:compact:frontier_consolidation_fwcompact_expansion_020303,overlap,4.076334124431014,compact:frontier_consolidation_fwcompact_expansion_020303,20,12,20,11,0.014653557911515236,4.090987682342529
D,D_V_43222,chck_90M,43222,V,heldout_rewrite_content_conditioning,rewritecond:1003:0:compact:frontier_consolidation_fwcompact_expansion_020376,nonoverlap,3.8380457162857056,compact:frontier_consolidation_fwcompact_expansion_020376,9,7,16,12,0.8429616689682007,4.681007385253906
