role,checkpoint,group,n,mean_gain,mean_true_source_nll,mean_unrelated_source_nll
C,chck_100M,ALL,5892,4.004542975029313,4.199760804571106,8.20430377960042
C,chck_100M,token_nonoverlap,2732,1.1537226915971743,7.049120349113422,8.202843040710595
C,chck_100M,token_overlap,3160,6.469239498553555,1.7363271730237633,8.205566671577317
C,chck_80M,ALL,5892,3.9994283714983903,4.255190483282473,8.254618854780864
C,chck_80M,token_nonoverlap,2732,1.1173962305175853,7.125057042588645,8.24245327310623
C,chck_80M,token_overlap,3160,6.491109323764074,1.7740273693506827,8.265136693114757
C,chck_90M,ALL,5892,4.005039275797611,4.1995175402639235,8.204556816061535
C,chck_90M,token_nonoverlap,2732,1.152760822933418,7.0491550429587795,8.201915865892198
C,chck_90M,token_overlap,3160,6.470996469856148,1.7358435980606488,8.206840067916797
R,chck_100M,ALL,5892,3.246773106752426,4.49245456685632,7.739227673608746
R,chck_100M,token_nonoverlap,2732,0.31488251833831155,7.455204904373373,7.7700874227116845
R,chck_100M,token_overlap,3160,5.781559526862351,1.9309881358130951,7.712547662675446
R,chck_80M,ALL,5892,3.1841302075767013,4.594176934268513,7.778307141845215
R,chck_80M,token_nonoverlap,2732,0.2254264049851922,7.572374497030232,7.797800902015425
R,chck_80M,token_overlap,3160,5.742098178677968,2.0193554970960403,7.761453675774009
R,chck_90M,ALL,5892,3.249795798160879,4.492076419762506,7.741872217923384
R,chck_90M,token_nonoverlap,2732,0.33262484864985276,7.442530744469,7.7751555931188525
R,chck_90M,token_overlap,3160,5.771856251978639,1.9412405921998022,7.713096844178442
V,chck_100M,ALL,5892,4.622689301465798,3.108254762533578,7.7309440639993765
V,chck_100M,token_nonoverlap,2732,1.9901627362548955,5.689389243634693,7.679551979889589
V,chck_100M,token_overlap,3160,6.8986584711354775,0.876716976974007,7.775375448109485
V,chck_80M,ALL,5892,4.590249084051721,3.166453279816087,7.756702363867808
V,chck_80M,token_nonoverlap,2732,1.9646701875345927,5.746711586232503,7.711381773767096
V,chck_80M,token_overlap,3160,6.860211598382352,0.935672997180122,7.795884595562474
V,chck_90M,ALL,5892,4.613550391786972,3.104961418820921,7.718511810607892
V,chck_90M,token_nonoverlap,2732,1.9867932750716653,5.683207983228802,7.670001258300467
V,chck_90M,token_overlap,3160,6.884531544592737,0.8759204017442336,7.76045194633697
