overlap_bin,token_class,contrast,estimand,n_pairs,mean_difference,se_pair_difference,fraction_positive
ALL,ALL,SHUFminusOFF,gain_T_vs_U,1200,-0.32586873985620013,0.030588899815432467,0.4008333333333333
ALL,ALL,SHUFminusOFF,gain_T_vs_N,1200,-0.2972149162470467,0.032053856447638314,0.42916666666666664
ALL,ALL,SHUFminusOFF,gain_U_vs_N,1200,0.02865382360915343,0.02027052768231473,0.5216666666666666
ALL,nonoverlap,SHUFminusOFF,gain_T_vs_U,1200,0.07667267787787649,0.02331810887945025,0.5458333333333333
ALL,nonoverlap,SHUFminusOFF,gain_T_vs_N,1200,0.11326667179663975,0.02604166346129067,0.5475
ALL,nonoverlap,SHUFminusOFF,gain_U_vs_N,1200,0.03659399391876327,0.023445085131540883,0.5125
ALL,overlap,SHUFminusOFF,gain_T_vs_U,1200,-0.7284101575902766,0.056700843437300044,0.3883333333333333
ALL,overlap,SHUFminusOFF,gain_T_vs_N,1200,-0.7076965042907332,0.058948454636284675,0.3925
ALL,overlap,SHUFminusOFF,gain_U_vs_N,1200,0.02071365329954359,0.03368626328655324,0.5166666666666667
high,ALL,SHUFminusOFF,gain_T_vs_U,400,-0.40527063154305026,0.053122710816169226,0.3875
high,ALL,SHUFminusOFF,gain_T_vs_N,400,-0.38746922078852847,0.0558025424572585,0.405
high,ALL,SHUFminusOFF,gain_U_vs_N,400,0.01780141075452169,0.033047284977946415,0.4925
high,nonoverlap,SHUFminusOFF,gain_T_vs_U,400,0.09807435552279153,0.03985832147178382,0.5475
high,nonoverlap,SHUFminusOFF,gain_T_vs_N,400,0.1168111228942871,0.04465483417986415,0.565
high,nonoverlap,SHUFminusOFF,gain_U_vs_N,400,0.01873676737149558,0.03786463667119198,0.5125
high,overlap,SHUFminusOFF,gain_T_vs_U,400,-0.908615618608892,0.09938083533843386,0.365
high,overlap,SHUFminusOFF,gain_T_vs_N,400,-0.8917495644713442,0.10210118973794105,0.38
high,overlap,SHUFminusOFF,gain_U_vs_N,400,0.01686605413754781,0.05418749544090808,0.52
low,ALL,SHUFminusOFF,gain_T_vs_U,400,-0.2697751398632924,0.051627760147610655,0.42
low,ALL,SHUFminusOFF,gain_T_vs_N,400,-0.23620393447577953,0.05337930511784274,0.455
low,ALL,SHUFminusOFF,gain_U_vs_N,400,0.03357120538751285,0.036016875907580036,0.5475
low,nonoverlap,SHUFminusOFF,gain_T_vs_U,400,0.04614561438560487,0.04102059093976956,0.545
low,nonoverlap,SHUFminusOFF,gain_T_vs_N,400,0.11569878230492274,0.04651915241347739,0.5325
low,nonoverlap,SHUFminusOFF,gain_U_vs_N,400,0.06955316791931787,0.043060351823864376,0.5225
low,overlap,SHUFminusOFF,gain_T_vs_U,400,-0.5856958941121896,0.09437018332233885,0.415
low,overlap,SHUFminusOFF,gain_T_vs_N,400,-0.5881066512564818,0.09914765639955253,0.4125
low,overlap,SHUFminusOFF,gain_U_vs_N,400,-0.0024107571442922105,0.06224660182902127,0.495
medium,ALL,SHUFminusOFF,gain_T_vs_U,400,-0.3025604481622577,0.05393230045980111,0.395
medium,ALL,SHUFminusOFF,gain_T_vs_N,400,-0.2679715934768319,0.05702600354798979,0.4275
medium,ALL,SHUFminusOFF,gain_U_vs_N,400,0.03458885468542576,0.03616997771445642,0.525
medium,nonoverlap,SHUFminusOFF,gain_T_vs_U,400,0.08579806372523308,0.04023120839141237,0.545
medium,nonoverlap,SHUFminusOFF,gain_T_vs_N,400,0.10729011019070944,0.04410547439515016,0.545
medium,nonoverlap,SHUFminusOFF,gain_U_vs_N,400,0.02149204646547636,0.040682187757313845,0.5025
medium,overlap,SHUFminusOFF,gain_T_vs_U,400,-0.6909189600497484,0.10008482146643935,0.385
medium,overlap,SHUFminusOFF,gain_T_vs_N,400,-0.6432332971443734,0.10434816770390731,0.385
medium,overlap,SHUFminusOFF,gain_U_vs_N,400,0.04768566290537517,0.058298905026424465,0.535
