arch,seed,role,condition,n_checkpoints,n,mean_true_src_content_mass,mean_unrel_src_content_mass,mean_target_prob
D,43022,C,T,3,2539,0.20183527280783492,0.004402618469412405,0.03754531868501428
D,43022,C,U,3,2539,0.02398869861253855,0.014799893323560489,0.022869296260240923
D,43022,R,T,3,2539,0.2745004100330789,0.00379144552499599,0.030695644983339383
D,43022,R,U,3,2539,0.029369069205451202,0.015508109702212326,0.022884741100972824
D,43022,V,T,3,2539,0.27276234989063264,0.004840608294483425,0.09496719035085444
D,43022,V,U,3,2539,0.030433891751680597,0.01782311451496777,0.03345848204731628
D,43122,C,T,3,2539,0.19076924793817393,0.004672122906725463,0.03590867224983263
D,43122,C,U,3,2539,0.022640503207882818,0.015080590957488068,0.02278430650529044
D,43122,R,T,3,2539,0.287998649169357,0.003905814546356553,0.029100183063840955
D,43122,R,U,3,2539,0.030969258669965097,0.017870466187811823,0.022678056887741053
D,43122,V,T,3,2539,0.25779445924846955,0.0051791487722556255,0.09875247719754776
D,43122,V,U,3,2539,0.030322108079352757,0.01701301779944732,0.035166806919694454
D,43222,C,T,3,2539,0.2027985129420122,0.0044264479998190175,0.03851665834675015
D,43222,C,U,3,2539,0.02559042229415703,0.019351730624849465,0.024336489565681477
D,43222,R,T,3,2539,0.2578364301779151,0.004044028436044702,0.02793112447008828
D,43222,R,U,3,2539,0.03061055141140189,0.01548426699605157,0.023669224341369484
D,43222,V,T,3,2539,0.26298804657109826,0.004823889758822851,0.09225167075264873
D,43222,V,U,3,2539,0.03344769348545227,0.018988930669874803,0.034627164538883363
