endpoint,form,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
coherent86_alpha075,coherent_add_special,128-255,5930,0.0008321124482653548,0.003080224756986848,0.07684140652418137
coherent86_alpha075,coherent_add_special,>=256,1280,0.0007900720874862071,0.0027077109868250742,0.028947051614522934
coherent86_alpha075,coherent_no_special,128-255,6131,0.0007620055093013976,0.00294032018353594,0.06842977553606033
coherent86_alpha075,coherent_no_special,>=256,1024,0.0008731273464954101,0.0030466786418352617,0.03429234027862549
coherent86_alpha075,short_add_special,0-15,108,0.0027011614823314396,0.004583009040322657,0.021148882806301117
coherent86_alpha075,short_add_special,16-31,197,0.0024609029960840053,0.00603809484891346,0.04047117009758949
coherent86_alpha075,short_add_special,32-63,408,0.0013708785884779943,0.004158968630334795,0.04864668473601341
coherent86_alpha075,short_add_special,64-127,156,0.001665901637934279,0.0041719924426439235,0.03096991591155529
coherent_special_98097_alpha075,coherent_add_special,128-255,5930,0.0021330000217690535,0.03302954792514399,1.9089008569717407
coherent_special_98097_alpha075,coherent_add_special,>=256,1280,0.0010203207497656353,0.004151979918188135,0.07926364243030548
coherent_special_98097_alpha075,coherent_no_special,128-255,6131,0.0009967651259696847,0.003991262115008218,0.11116190254688263
coherent_special_98097_alpha075,coherent_no_special,>=256,1024,0.0009674143806146212,0.0032745060061635765,0.03511872515082359
coherent_special_98097_alpha075,short_add_special,0-15,108,0.01613674026683148,0.037888511786601034,0.248953714966774
coherent_special_98097_alpha075,short_add_special,16-31,197,0.018127255043564185,0.10381334914179548,1.1634554862976074
coherent_special_98097_alpha075,short_add_special,32-63,408,0.005732208134000946,0.03467409418572265,0.4641028046607971
coherent_special_98097_alpha075,short_add_special,64-127,156,0.0052402908160819935,0.022882375648850897,0.25090327858924866
coherent_special_98098_alpha075,coherent_add_special,128-255,5930,0.0026662935965536616,0.04731856503853276,2.8761634826660156
coherent_special_98098_alpha075,coherent_add_special,>=256,1280,0.0011967268228046447,0.008592022448599511,0.2473621815443039
coherent_special_98098_alpha075,coherent_no_special,128-255,6131,0.0011007387389263225,0.004603095693079179,0.1390782594680786
coherent_special_98098_alpha075,coherent_no_special,>=256,1024,0.0009902928327591761,0.0036697530247136916,0.05453278869390488
coherent_special_98098_alpha075,short_add_special,0-15,108,0.020742411891304796,0.047435073392341286,0.22003382444381714
coherent_special_98098_alpha075,short_add_special,16-31,197,0.0242923398723386,0.13077029956747946,1.131119728088379
coherent_special_98098_alpha075,short_add_special,32-63,408,0.00604743410101823,0.03177383320668483,0.4109135866165161
coherent_special_98098_alpha075,short_add_special,64-127,156,0.0059498343506870464,0.025049703438229442,0.27817249298095703
