family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,ALL,RminusC,2000,-0.1706223172946637,3.5237411776888665,3.6943634949835302
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,ALL,CminusR,2000,0.1706223172946637,3.6943634949835302,3.5237411776888665
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,domain_bnc_spoken,RminusC,180,-0.3977747066024069,3.8095200601305503,4.207294766732957
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,domain_bnc_spoken,CminusR,180,0.3977747066024069,4.207294766732957,3.8095200601305503
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,domain_childes,RminusC,642,-0.05460157538647881,2.405573372176175,2.460174947562654
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,domain_childes,CminusR,642,0.05460157538647881,2.460174947562654,2.405573372176175
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,domain_gutenberg,RminusC,468,-0.19611477746080208,4.156446315456977,4.352561092917779
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,domain_gutenberg,CminusR,468,0.19611477746080208,4.352561092917779,4.156446315456977
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,domain_open_subtitles,RminusC,434,-0.3488754645428003,4.156230502656617,4.505105967199417
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,domain_open_subtitles,CminusR,434,0.3488754645428003,4.505105967199417,4.156230502656617
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,domain_simple_wiki,RminusC,272,0.03163796259446272,3.9042984909829905,3.872660528388528
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,domain_simple_wiki,CminusR,272,-0.03163796259446272,3.872660528388528,3.9042984909829905
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,domain_switchboard,RminusC,4,-0.000708591309376061,1.6001340707298368,1.6008426620392129
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,domain_switchboard,CminusR,4,0.000708591309376061,1.6008426620392129,1.6001340707298368
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,span_1,RminusC,1000,-0.21221911742287514,3.548566228654246,3.760785346077121
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,span_1,CminusR,1000,0.21221911742287514,3.760785346077121,3.548566228654246
copy,D,D_RS_43022,D_C_43022,chck_100M,43022,span_4,RminusC,1000,-0.12902551716645183,3.498916126723487,3.627941643889939
copy,D,D_C_43022,D_RS_43022,chck_100M,43022,span_4,CminusR,1000,0.12902551716645183,3.627941643889939,3.498916126723487
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,ALL,RminusC,2000,-0.2296842231977556,3.425217417797592,3.6549016409953476
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,ALL,CminusR,2000,0.2296842231977556,3.6549016409953476,3.425217417797592
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,domain_bnc_spoken,RminusC,180,-0.38596450703626006,3.715825507656296,4.101790014692556
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,domain_bnc_spoken,CminusR,180,0.38596450703626006,4.101790014692556,3.715825507656296
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,domain_childes,RminusC,642,-0.1320724331464711,2.3536175997482123,2.4856900328946834
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,domain_childes,CminusR,642,0.1320724331464711,2.4856900328946834,2.3536175997482123
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,domain_gutenberg,RminusC,468,-0.26475933852894284,3.9955330970432805,4.260292435572223
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,domain_gutenberg,CminusR,468,0.26475933852894284,4.260292435572223,3.9955330970432805
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,domain_open_subtitles,RminusC,434,-0.4306079861126584,4.026424072750185,4.457032058862843
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,domain_open_subtitles,CminusR,434,0.4306079861126584,4.457032058862843,4.026424072750185
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,domain_simple_wiki,RminusC,272,0.026318610446671276,3.8530576855439116,3.8267390750972403
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,domain_simple_wiki,CminusR,272,-0.026318610446671276,3.8267390750972403,3.8530576855439116
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,domain_switchboard,RminusC,4,-0.3679396715015173,1.2886294302297756,1.656569101731293
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,domain_switchboard,CminusR,4,0.3679396715015173,1.656569101731293,1.2886294302297756
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,span_1,RminusC,1000,-0.3102375825469097,3.4256822214754776,3.7359198040223873
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,span_1,CminusR,1000,0.3102375825469097,3.7359198040223873,3.4256822214754776
copy,D,D_RS_43022,D_C_43022,chck_80M,43022,span_4,RminusC,1000,-0.14913086384860197,3.4247526141197064,3.5738834779683084
copy,D,D_C_43022,D_RS_43022,chck_80M,43022,span_4,CminusR,1000,0.14913086384860197,3.5738834779683084,3.4247526141197064
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,ALL,RminusC,2000,-0.20120597777720128,3.51009117645272,3.7112971542299213
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,ALL,CminusR,2000,0.20120597777720128,3.7112971542299213,3.51009117645272
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,domain_bnc_spoken,RminusC,180,-0.4348303328756531,3.778540960050951,4.213371292926604
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,domain_bnc_spoken,CminusR,180,0.4348303328756531,4.213371292926604,3.778540960050951
copy,D,D_RS_43022,D_C_43022,chck_90M,43022,domain_childes,RminusC,642,-0.068997886665362,2.400644106555355,2.469641993220717
copy,D,D_C_43022,D_RS_43022,chck_90M,43022,domain_childes,CminusR,642,0.068997886665362,2.469641993220717,2.400644106555355
