arch,arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:0:34715,1,0.5086503401398659,11,0.054798685014247894,gutenberg,34715,18,0.5634490251541138
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:100:46093,1,0.009967997670173645,8,0.19182702898979187,open_subtitles,46093,11,0.20179502665996552
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:101:9638,1,0.869577169418335,8,0.08829009532928467,childes,9638,11,0.9578672647476196
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:102:38847,1,0.8989672167226672,8,0.009609867818653584,open_subtitles,38847,12,0.9085770845413208
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:103:25389,1,7.454944420605898,28,0.04052848741412163,gutenberg,25389,52,7.4954729080200195
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:104:23610,1,1.5452132355421782,8,0.018363581970334053,gutenberg,23610,11,1.5635768175125122
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:105:9850,1,0.0003095681022386998,19,0.00028975578607060015,childes,9850,31,0.0005993238883093
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:106:33545,1,-0.007475621998310089,28,0.03350536897778511,gutenberg,33545,48,0.02602974697947502
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:107:27677,1,2.8289311081171036,8,0.2066645473241806,gutenberg,27677,11,3.035595655441284
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:108:31140,1,0.12494146823883057,11,0.6732710599899292,gutenberg,31140,18,0.7982125282287598
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:109:39267,1,0.053901851177215576,8,0.011446870863437653,open_subtitles,39267,11,0.06534872204065323
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:10:4664,1,2.56582554243505,8,0.02844325639307499,bnc_spoken,4664,10,2.594268798828125
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:110:42641,1,10.988184824585915,8,0.11901579797267914,open_subtitles,42641,11,11.107200622558594
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:111:16252,1,2.1679511070251465,9,2.164694309234619,childes,16252,14,4.332645416259766
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:112:21179,1,6.500133037567139,9,1.4599671363830566,childes,21179,14,7.960100173950195
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:113:36547,1,3.874803304672241,13,0.9909546375274658,gutenberg,36547,21,4.865757942199707
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:114:31372,1,5.761689571663737,28,0.028589816763997078,gutenberg,31372,53,5.790279388427734
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:115:48479,1,4.435843467712402,8,3.2170400619506836,open_subtitles,48479,12,7.652883529663086
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:116:8771,1,3.0530279353260994,8,0.11432688683271408,childes,8771,10,3.1673548221588135
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:117:35397,1,2.3779780566692352,8,0.10891321301460266,gutenberg,35397,12,2.486891269683838
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:118:21260,1,1.463884100317955,8,0.025953784584999084,childes,21260,10,1.489837884902954
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:119:13377,1,7.786472752690315,8,0.12737230956554413,childes,13377,13,7.913845062255859
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:11:10575,1,-0.354017972946167,11,2.6198971271514893,childes,10575,17,2.2658791542053223
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:120:16330,1,0.983540091663599,8,0.052519287914037704,childes,16330,10,1.0360593795776367
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:121:47969,1,3.6574249267578125,19,8.361062049865723,open_subtitles,47969,30,12.018486976623535
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:122:37483,1,11.984016612172127,8,0.21228675544261932,gutenberg,37483,10,12.196303367614746
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:123:14826,1,0.07810071483254433,13,0.03814147785305977,childes,14826,21,0.1162421926856041
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:124:40156,1,1.4353510700166225,8,0.01746911182999611,open_subtitles,40156,10,1.4528201818466187
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:125:19420,1,2.439426898956299,9,1.2086992263793945,childes,19420,14,3.6481261253356934
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:126:27140,1,2.8018850721418858,11,0.03742152079939842,gutenberg,27140,17,2.839306592941284
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:127:7181,1,3.784854795783758,8,0.031845901161432266,childes,7181,12,3.8167006969451904
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:128:27695,1,3.875010520219803,8,0.14787670969963074,gutenberg,27695,12,4.022887229919434
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:129:1384,1,0.2843590974807739,12,1.3821691274642944,bnc_spoken,1384,19,1.6665282249450684
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:12:16004,1,0.35438576340675354,15,0.28623077273368835,childes,16004,24,0.6406165361404419
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:130:20591,1,2.628085087519139,8,0.006941844243556261,childes,20591,13,2.6350269317626953
D,D_C_43122,chck_80M,43122,C,heldout_natural_source_repeat,heldoutcopy:1:131:21970,1,0.26816266030073166,9,0.03403932601213455,childes,21970,14,0.3022019863128662
