family,arch,arm_a,arm_b,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,ALL,VminusC,2000,0.1958120197322657,3.819244657886247,3.6234326381539814
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,domain_bnc_spoken,VminusC,180,0.3149720510490521,4.2103254162363655,3.8953533651873133
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,domain_childes,VminusC,642,0.135156756032353,2.5965735304128734,2.4614167743805204
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,domain_gutenberg,VminusC,468,0.23611373718667306,4.574033336691585,4.337919599504912
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,domain_open_subtitles,VminusC,434,0.15798772590045473,4.507456798177649,4.349469072277194
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,domain_simple_wiki,VminusC,272,0.25664512833780995,4.079404816162002,3.8227596878241923
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,domain_switchboard,VminusC,4,-0.1792360122781247,1.787143087014556,1.9663790992926806
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,span_1,VminusC,1000,0.26350441951441805,3.9219510640927004,3.6584466445782824
copy,D,D_VS_43122,D_C_43122,chck_100M,43122,span_4,VminusC,1000,0.12811961995011378,3.7165382516797942,3.5884186317296805
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,ALL,VminusC,2000,0.24868585355556316,3.855211271764505,3.6065254182089417
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,domain_bnc_spoken,VminusC,180,0.33123615177852717,4.198447965654001,3.867211813875474
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,domain_childes,VminusC,642,0.21791450403906643,2.6627063171698464,2.44479181313078
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,domain_gutenberg,VminusC,468,0.2954145943707793,4.601518677178926,4.3061040828081465
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,domain_open_subtitles,VminusC,434,0.18506616705434187,4.510874259605369,4.325808092551027
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,domain_simple_wiki,VminusC,272,0.2942629841101718,4.1442264292404545,3.8499634451302827
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,domain_switchboard,VminusC,4,-0.19104753679130226,1.6961739365942776,1.8872214733855799
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,span_1,VminusC,1000,0.3123410428243898,3.9569638054700564,3.6446227626456666
copy,D,D_VS_43122,D_C_43122,chck_80M,43122,span_4,VminusC,1000,0.1850306642867361,3.7534587380589532,3.568428073772217
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,ALL,VminusC,2000,0.16683157458981812,3.799201091930371,3.632369517340553
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,domain_bnc_spoken,VminusC,180,0.2708705942272598,4.163030061425848,3.8921594671985886
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,domain_childes,VminusC,642,0.11563093241188582,2.5883985341522773,2.4727676017403915
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,domain_gutenberg,VminusC,468,0.18753460515142795,4.557021195373442,4.369486590222014
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,domain_open_subtitles,VminusC,434,0.15018621598376303,4.487420368528832,4.337234152545069
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,domain_simple_wiki,VminusC,272,0.2144157357376284,4.043129883334409,3.8287141475967803
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,domain_switchboard,VminusC,4,-0.14917736453935504,1.836806558771059,1.985983923310414
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,span_1,VminusC,1000,0.2341721062285851,3.899679970724973,3.665507864496388
copy,D,D_VS_43122,D_C_43122,chck_90M,43122,span_4,VminusC,1000,0.0994910429510516,3.6987222131357687,3.599231170184717
