arch,arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:0:0:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,-0.5558528900146484,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,5.352840423583984,4.796987533569336
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:0:26:compact:frontier_consolidation_fwcompact_medium_006297,nonoverlap,0.8551812171936035,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,2.2989253997802734,3.154106616973877
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:0:28:compact:frontier_consolidation_fwcompact_medium_006297,overlap,-1.291179895401001,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,4.039499282836914,2.748319387435913
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:0:3:compact:frontier_consolidation_fwcompact_medium_006297,overlap,5.986010117456317,compact:frontier_consolidation_fwcompact_medium_006297,31,20,60,43,0.015910105779767036,6.001920223236084
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1000:10:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,3.9014110565185547,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,4.86728572845459,8.768696784973145
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1000:1:compact:frontier_consolidation_fwcompact_expansion_020154,overlap,11.813142776489258,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,0.4355335235595703,12.248676300048828
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1000:4:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,0.9422903060913086,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,6.986154556274414,7.928444862365723
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1000:8:compact:frontier_consolidation_fwcompact_expansion_020154,nonoverlap,-1.0664925575256348,compact:frontier_consolidation_fwcompact_expansion_020154,12,9,17,12,3.8610916137695312,2.7945990562438965
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1001:11:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,-1.3292102813720703,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,9.91620922088623,8.58699893951416
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1001:12:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,3.9297821521759033,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,3.3665592670440674,7.296341419219971
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1001:1:compact:frontier_consolidation_fwcompact_expansion_020244,overlap,4.3089721743017435,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,0.03006858192384243,4.339040756225586
D,D_VS_43122,chck_90M,43122,V,heldout_rewrite_content_conditioning,rewritecond:1001:8:compact:frontier_consolidation_fwcompact_expansion_020244,nonoverlap,1.3995018005371094,compact:frontier_consolidation_fwcompact_expansion_020244,14,10,17,10,3.544626235961914,4.944128036499023
