contrast,token_class,mean_gain_delta,mean_gain_delta_sd,true_source_nll_delta,true_source_nll_delta_sd,unrelated_source_nll_delta,unrelated_source_nll_delta_sd
RminusC,nonoverlap,-0.7517085695681751,0.1479350768404741,0.4479982410859827,0.16574271051788494,-0.30371032848219254,0.02262792050390944
VminusC,nonoverlap,0.6836890261987879,0.050294115981586354,-1.1787566183766252,0.0594769420343922,-0.4950675921778374,0.015025067061920696
RSminusC,nonoverlap,-0.03127240654897667,0.007935322171362664,-0.5469299703585886,0.023799102029542957,-0.5782023769075657,0.017887635232959234
VSminusC,nonoverlap,0.029807842178306565,0.0034112227781066097,-0.8517705906915906,0.048936166108543046,-0.8219627485132843,0.052224718437307936
RSminusR,nonoverlap,0.7204361630191984,0.14288091476280618,-0.9949282114445713,0.14229540900700843,-0.27449204842537317,0.014936718254312331
VSminusV,nonoverlap,-0.6538811840204815,0.053684207738735966,0.3269860276850345,0.010947948387922162,-0.3268951563354469,0.044218431826726086
VSminusR,nonoverlap,0.7815164117464817,0.15131839930103855,-1.2997688317775733,0.11692922269775774,-0.5182524200310917,0.03553225812961385
VSminusRS,nonoverlap,0.06108024872728324,0.010215726761163984,-0.304840620333002,0.0253671036257018,-0.24376037160571862,0.03460009098143439
VminusR,nonoverlap,1.435397595766963,0.09764883613407445,-1.6267548594626078,0.10686939284944005,-0.19135726369564487,0.00940745707553025
RminusC,overlap,-0.2678836147755878,0.011922476974207421,-0.09194928021200899,0.028981624269617597,-0.35983289498759685,0.021109718472632676
VminusC,overlap,0.551229310591153,0.029501705295308434,-0.9362133596122856,0.014284320721186513,-0.38498404902113315,0.01774894833577408
RSminusC,overlap,-0.7768858387869321,0.043685641592668176,0.044904677587205656,0.04159207964982719,-0.7319811611997263,0.0025204414527254192
VSminusC,overlap,-0.6484145454588258,0.004311607607592708,-0.10349422687511622,0.030366517871579422,-0.7519087723339419,0.03203063735799441
RSminusR,overlap,-0.5090022240113443,0.033769206152639,0.13685395779921464,0.013529537241786333,-0.37214826621212954,0.022339390385679548
VSminusV,overlap,-1.1996438560499787,0.029174417820937885,0.8327191327371694,0.04430709275176356,-0.3669247233128088,0.021154172934228888
VSminusR,overlap,-0.380530930683238,0.015625634356269152,-0.011544946663107236,0.0024226366679957058,-0.3920758773463451,0.018024020492514833
VSminusRS,overlap,0.12847129332810633,0.04568445037233184,-0.14839890446232187,0.011531611448761187,-0.019927611134215557,0.03419996278580744
VminusR,overlap,0.8191129253667407,0.03877963433281604,-0.8442640794002766,0.04273608614483512,-0.025151154033536294,0.0039586066578398745
