domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5076923076923077,775,0.3506787330316742,0.7123161764705882,1088,0.00835895910859108
social-relations,1548,0.5200258397932817,484,0.31266149870801035,0.6514131897711979,743,0.25427679531276226
physical-relations,818,0.511002444987775,279,0.3410757946210269,0.6975,400,0.12754038721323013
material-dynamics,770,0.4753246753246753,245,0.3181818181818182,0.6064356435643564,404,-0.12684965133666992
spatial-relations,490,0.4448979591836735,217,0.44285714285714284,0.7977941176470589,272,-0.20868824515491724
physical-interactions,556,0.48741007194244607,210,0.3776978417266187,0.7368421052631579,285,-0.109342438634485
social-properties,328,0.47865853658536583,110,0.3353658536585366,0.6432748538011696,171,-0.2923002764582634
social-interactions,294,0.5102040816326531,101,0.3435374149659864,0.7013888888888888,144,-0.08172553032636642
quantitative-properties,314,0.5668789808917197,78,0.2484076433121019,0.5735294117647058,136,0.5295670097693801
material-properties,170,0.5588235294117647,45,0.2647058823529412,0.6,75,0.27276504784822464
physical-dynamics,120,0.5416666666666666,23,0.19166666666666668,0.41818181818181815,55,0.4580795057117939
