domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.5242914979757085,116,0.23481781376518218,0.49361702127659574,235,0.005262903869152069
social-relations,303,0.48514851485148514,67,0.22112211221122113,0.42948717948717946,156,0.03602457046508789
spatial-relations,147,0.46258503401360546,56,0.38095238095238093,0.7088607594936709,79,-0.06892530620098114
physical-relations,223,0.5381165919282511,49,0.21973094170403587,0.47572815533980584,103,0.016717076301574707
physical-interactions,93,0.5161290322580645,23,0.24731182795698925,0.5111111111111111,45,0.00845259428024292
material-dynamics,65,0.5692307692307692,17,0.26153846153846155,0.6071428571428571,28,-0.22307586669921875
social-properties,40,0.45,17,0.425,0.7727272727272727,22,-0.1272420883178711
quantitative-properties,46,0.5217391304347826,13,0.2826086956521739,0.5909090909090909,22,-0.004279494285583496
social-interactions,38,0.47368421052631576,12,0.3157894736842105,0.6,20,-0.03621554374694824
physical-dynamics,13,0.07692307692307693,6,0.46153846153846156,0.5,12,-0.5724389106035233
material-properties,9,0.5555555555555556,2,0.2222222222222222,0.5,4,0.15674901008605957
