domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.48582995951417,146,0.29554655870445345,0.5748031496062992,254,-0.003582864999771118
social-relations,303,0.48184818481848185,97,0.3201320132013201,0.6178343949044586,157,-0.00662994384765625
physical-relations,223,0.484304932735426,67,0.3004484304932735,0.5826086956521739,115,0.030230820178985596
spatial-relations,147,0.4421768707482993,59,0.4013605442176871,0.7195121951219512,82,-0.03700309991836548
material-dynamics,65,0.4153846153846154,18,0.27692307692307694,0.47368421052631576,38,0.11992692947387695
physical-interactions,93,0.5913978494623656,18,0.1935483870967742,0.47368421052631576,38,0.03047996759414673
quantitative-properties,46,0.5217391304347826,18,0.391304347826087,0.8181818181818182,22,-0.041073381900787354
social-interactions,38,0.39473684210526316,11,0.2894736842105263,0.4782608695652174,23,0.04752528667449951
physical-dynamics,13,0.46153846153846156,7,0.5384615384615384,1.0,7,-2.3329869508743286
social-properties,40,0.425,7,0.175,0.30434782608695654,23,0.11890888214111328
material-properties,9,0.3333333333333333,4,0.4444444444444444,0.6666666666666666,6,-0.06903713941574097
