target,decoder_mode,layer_index,layer,pair_id,family,template_id,alt_type,alt_0,alt_1,correct_AB,correct_BA,margin_AB,margin_BA,four_cell_M,both_correct,swap_both_correct,erased_bias,s_AB_alt0,s_AB_alt1,s_BA_alt0,s_BA_alt1,s_erased_alt0,s_erased_alt1
scale1p75_live_80M,raw,0,emb,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,13.046233177185059,-13.046233177185059,0.0,False,False,12.002008438110352,-25.051368713378906,-12.005135536193848,-25.051368713378906,-12.005135536193848,-23.280223846435547,-11.278215408325195
scale1p75_live_80M,raw,0,emb,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-11.23874282836914,11.23874282836914,0.0,False,False,-10.677986145019531,-14.49976921081543,-25.73851203918457,-14.49976921081543,-25.73851203918457,-13.653522491455078,-24.33150863647461
scale1p75_live_80M,raw,0,emb,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,3.0451812744140625,-3.0451812744140625,0.0,False,False,2.6004505157470703,-13.706092834472656,-10.660911560058594,-13.706092834472656,-10.660911560058594,-13.878665924072266,-11.278215408325195
scale1p75_live_80M,raw,0,emb,151003,natural_transfer,nt01,people,Mina,Ava,Ava,Mina,-2.0907955169677734,2.0907955169677734,0.0,False,False,-2.391996383666992,-20.86033821105957,-22.951133728027344,-20.86033821105957,-22.951133728027344,-19.640764236450195,-22.032760620117188
scale1p75_live_80M,raw,0,emb,151004,natural_transfer,nt01,people,Pia,Leo,Leo,Pia,7.759736061096191,-7.759736061096191,0.0,False,False,8.681495666503906,-21.545543670654297,-13.785807609558105,-21.545543670654297,-13.785807609558105,-21.513843536376953,-12.832347869873047
scale1p75_live_80M,raw,0,emb,151005,natural_transfer,nt01,people,Rosa,Nina,Nina,Rosa,10.958881378173828,-10.958881378173828,0.0,False,False,10.188238143920898,-22.335063934326172,-11.376182556152344,-22.335063934326172,-11.376182556152344,-21.466453552246094,-11.278215408325195
scale1p75_live_80M,raw,0,emb,151006,natural_transfer,nt01,people,Jules,Ava,Ava,Jules,1.6114730834960938,-1.6114730834960938,0.0,False,False,2.3300323486328125,-24.736351013183594,-23.1248779296875,-24.736351013183594,-23.1248779296875,-24.36279296875,-22.032760620117188
scale1p75_live_80M,raw,0,emb,151007,natural_transfer,nt01,people,Owen,Zoe,Zoe,Owen,-10.778382301330566,10.778382301330566,0.0,False,False,-11.05119514465332,-13.021265983581543,-23.79964828491211,-13.021265983581543,-23.79964828491211,-11.915870666503906,-22.967065811157227
scale1p75_live_80M,raw,1,L1,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,12.684209823608398,-12.714378356933594,-0.030168533325195312,False,False,12.214982986450195,-24.139362335205078,-11.45515251159668,-24.135574340820312,-11.421195983886719,-23.52838134765625,-11.313398361206055
scale1p75_live_80M,raw,1,L1,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-11.681307792663574,11.6509428024292,-0.030364990234375,False,False,-11.579504013061523,-13.662549018859863,-25.343856811523438,-13.660433769226074,-25.311376571655273,-13.286508560180664,-24.866012573242188
scale1p75_live_80M,raw,1,L1,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,2.3146934509277344,-2.3029909133911133,0.011702537536621094,False,False,2.3825130462646484,-13.418046951293945,-11.103353500366211,-13.414348602294922,-11.111357688903809,-13.646291732788086,-11.263778686523438
scale1p75_live_80M,raw,1,L1,151003,natural_transfer,nt01,people,Mina,Ava,Ava,Mina,0.00244903564453125,0.002330780029296875,0.004779815673828125,True,False,-0.5554733276367188,-21.86764907836914,-21.86520004272461,-21.849437713623047,-21.851768493652344,-21.192691802978516,-21.748165130615234
scale1p75_live_80M,raw,1,L1,151004,natural_transfer,nt01,people,Pia,Leo,Leo,Pia,9.01822280883789,-9.021932601928711,-0.0037097930908203125,False,False,9.573543548583984,-21.799232482910156,-12.781009674072266,-21.802736282348633,-12.780803680419922,-21.85906219482422,-12.285518646240234
scale1p75_live_80M,raw,1,L1,151005,natural_transfer,nt01,people,Rosa,Nina,Nina,Rosa,10.434591293334961,-10.375848770141602,0.058742523193359375,False,False,10.328696250915527,-21.570480346679688,-11.135889053344727,-21.529094696044922,-11.15324592590332,-21.608924865722656,-11.280228614807129
scale1p75_live_80M,raw,1,L1,151006,natural_transfer,nt01,people,Jules,Ava,Ava,Jules,1.5195236206054688,-1.5384674072265625,-0.01894378662109375,False,False,1.7081527709960938,-23.13343048095703,-21.613906860351562,-23.128456115722656,-21.589988708496094,-23.156370162963867,-21.448217391967773
scale1p75_live_80M,raw,1,L1,151007,natural_transfer,nt01,people,Owen,Zoe,Zoe,Owen,-9.921688079833984,9.909420013427734,-0.01226806640625,False,False,-10.587989807128906,-13.986581802368164,-23.90826988220215,-13.989114761352539,-23.898534774780273,-13.49371337890625,-24.081703186035156
scale1p75_live_80M,raw,2,L2,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,12.203580856323242,-12.476569175720215,-0.27298831939697266,False,False,11.138138771057129,-21.09202766418457,-8.888446807861328,-21.068424224853516,-8.5918550491333,-20.983301162719727,-9.845162391662598
scale1p75_live_80M,raw,2,L2,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-9.456117630004883,9.376392364501953,-0.07972526550292969,False,False,-8.647363662719727,-12.606414794921875,-22.062532424926758,-12.647815704345703,-22.024208068847656,-13.046497344970703,-21.69386100769043
scale1p75_live_80M,raw,2,L2,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,2.7275075912475586,-2.732290267944336,-0.004782676696777344,False,False,3.4459686279296875,-11.292435646057129,-8.56492805480957,-11.231866836547852,-8.499576568603516,-13.471992492675781,-10.026023864746094
scale1p75_live_80M,raw,2,L2,151003,natural_transfer,nt01,people,Mina,Ava,Ava,Mina,-0.295501708984375,0.29611778259277344,0.0006160736083984375,False,False,-0.5818939208984375,-19.96261215209961,-20.258113861083984,-19.966102600097656,-20.26222038269043,-19.303768157958984,-19.885662078857422
scale1p75_live_80M,raw,2,L2,151004,natural_transfer,nt01,people,Pia,Leo,Leo,Pia,6.801333427429199,-6.936317443847656,-0.13498401641845703,False,False,6.780854225158691,-18.574214935302734,-11.772881507873535,-18.663230895996094,-11.726913452148438,-18.39306640625,-11.612212181091309
scale1p75_live_80M,raw,2,L2,151005,natural_transfer,nt01,people,Rosa,Nina,Nina,Rosa,10.210994720458984,-10.335416793823242,-0.12442207336425781,False,False,9.308594703674316,-18.99019432067871,-8.779199600219727,-18.92902374267578,-8.593606948852539,-19.32851791381836,-10.019923210144043
scale1p75_live_80M,raw,2,L2,151006,natural_transfer,nt01,people,Jules,Ava,Ava,Jules,0.2672138214111328,-0.249114990234375,0.018098831176757812,False,False,0.08087158203125,-19.49017906188965,-19.222965240478516,-19.45425796508789,-19.205142974853516,-19.57332420349121,-19.49245262145996
scale1p75_live_80M,raw,2,L2,151007,natural_transfer,nt01,people,Owen,Zoe,Zoe,Owen,-7.637598037719727,7.659024238586426,0.02142620086669922,False,False,-8.082428932189941,-13.808904647827148,-21.446502685546875,-13.778220176696777,-21.437244415283203,-13.615321159362793,-21.697750091552734
scale1p75_live_80M,raw,3,L3,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,11.848773956298828,-12.063401222229004,-0.21462726593017578,False,False,10.684408187866211,-20.67481231689453,-8.826038360595703,-20.717559814453125,-8.654158592224121,-19.809650421142578,-9.125242233276367
scale1p75_live_80M,raw,3,L3,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-10.169011116027832,10.118295669555664,-0.05071544647216797,False,False,-9.246899604797363,-11.84565258026123,-22.014663696289062,-11.880126953125,-21.998422622680664,-11.491545677185059,-20.738445281982422
scale1p75_live_80M,raw,3,L3,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,3.6815481185913086,-3.6691808700561523,0.01236724853515625,False,False,4.495728492736816,-12.405508041381836,-8.723959922790527,-12.366881370544434,-8.697700500488281,-13.562705993652344,-9.066977500915527
scale1p75_live_80M,raw,3,L3,151003,natural_transfer,nt01,people,Mina,Ava,Ava,Mina,-0.2704010009765625,0.27094078063964844,0.0005397796630859375,False,False,-0.5832901000976562,-19.071292877197266,-19.341693878173828,-19.192066192626953,-19.4630069732666,-18.489253997802734,-19.07254409790039
scale1p75_live_80M,raw,3,L3,151004,natural_transfer,nt01,people,Pia,Leo,Leo,Pia,7.638088226318359,-7.757598876953125,-0.11951065063476562,False,False,6.798967361450195,-17.81146240234375,-10.17337417602539,-17.92926025390625,-10.171661376953125,-16.556655883789062,-9.757688522338867
scale1p75_live_80M,raw,3,L3,151005,natural_transfer,nt01,people,Rosa,Nina,Nina,Rosa,10.524567604064941,-10.531508445739746,-0.0069408416748046875,False,False,9.01352596282959,-19.14856719970703,-8.62399959564209,-19.06737518310547,-8.535866737365723,-18.046268463134766,-9.032742500305176
scale1p75_live_80M,raw,3,L3,151006,natural_transfer,nt01,people,Jules,Ava,Ava,Jules,0.6837520599365234,-0.5814361572265625,0.10231590270996094,False,False,-0.15508460998535156,-19.572175979614258,-18.888423919677734,-19.577198028564453,-18.99576187133789,-18.27675437927246,-18.431838989257812
scale1p75_live_80M,raw,3,L3,151007,natural_transfer,nt01,people,Owen,Zoe,Zoe,Owen,-7.933563232421875,7.900311470031738,-0.03325176239013672,False,False,-7.645483016967773,-12.868797302246094,-20.80236053466797,-12.8179349899292,-20.718246459960938,-12.347768783569336,-19.99325180053711
scale1p75_live_80M,raw,4,L4,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,13.226402282714844,-13.345707893371582,-0.11930561065673828,False,False,11.833407402038574,-22.25674819946289,-9.030345916748047,-22.296283721923828,-8.950575828552246,-21.522266387939453,-9.688858985900879
scale1p75_live_80M,raw,4,L4,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-10.300756454467773,10.328874588012695,0.028118133544921875,False,False,-9.729059219360352,-12.419347763061523,-22.720104217529297,-12.443796157836914,-22.77267074584961,-12.399198532104492,-22.128257751464844
scale1p75_live_80M,raw,4,L4,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,3.722736358642578,-3.7192907333374023,0.0034456253051757812,False,False,4.177145004272461,-12.637843132019043,-8.915106773376465,-12.609851837158203,-8.8905611038208,-13.870695114135742,-9.693550109863281
scale1p75_live_80M,raw,4,L4,151003,natural_transfer,nt01,people,Mina,Ava,Ava,Mina,-0.28281211853027344,0.2948284149169922,0.01201629638671875,False,False,-0.26413726806640625,-19.74294662475586,-20.025758743286133,-19.76817512512207,-20.063003540039062,-20.035869598388672,-20.300006866455078
scale1p75_live_80M,raw,4,L4,151004,natural_transfer,nt01,people,Pia,Leo,Leo,Pia,9.24481201171875,-9.293230056762695,-0.04841804504394531,False,False,8.749173164367676,-18.309688568115234,-9.064876556396484,-18.352577209472656,-9.059347152709961,-17.83327865600586,-9.084105491638184
scale1p75_live_80M,raw,4,L4,151005,natural_transfer,nt01,people,Rosa,Nina,Nina,Rosa,11.45486068725586,-11.45981216430664,-0.00495147705078125,False,False,9.710125923156738,-20.351364135742188,-8.896503448486328,-20.303462982177734,-8.843650817871094,-19.462997436523438,-9.7528715133667
scale1p75_live_80M,raw,4,L4,151006,natural_transfer,nt01,people,Jules,Ava,Ava,Jules,0.4072685241699219,-0.34117889404296875,0.06608963012695312,False,False,0.5397682189941406,-20.142337799072266,-19.735069274902344,-20.097553253173828,-19.75637435913086,-20.23794937133789,-19.69818115234375
scale1p75_live_80M,raw,4,L4,151007,natural_transfer,nt01,people,Owen,Zoe,Zoe,Owen,-8.978904724121094,9.028430938720703,0.049526214599609375,False,False,-8.791269302368164,-12.693557739257812,-21.672462463378906,-12.664274215698242,-21.692705154418945,-12.49600601196289,-21.287275314331055
scale1p75_live_80M,raw,5,L5,151000,natural_transfer,nt01,people,Arun,Nina,Nina,Arun,9.449774742126465,-9.672396659851074,-0.22262191772460938,False,False,9.194087982177734,-18.577346801757812,-9.127572059631348,-18.588817596435547,-8.916420936584473,-18.87932014465332,-9.685232162475586
scale1p75_live_80M,raw,5,L5,151001,natural_transfer,nt01,people,Leah,Omar,Omar,Leah,-8.09464168548584,8.075387954711914,-0.01925373077392578,False,False,-8.949705123901367,-13.080460548400879,-21.17510223388672,-13.139938354492188,-21.2153263092041,-12.615251541137695,-21.564956665039062
scale1p75_live_80M,raw,5,L5,151002,natural_transfer,nt01,people,Clara,Nina,Nina,Clara,2.5858688354492188,-2.822591781616211,-0.2367229461669922,False,False,3.2907400131225586,-11.75477409362793,-9.168905258178711,-11.92033576965332,-9.09774398803711,-13.109874725341797,-9.819134712219238
