pattern,n,frac,inherited16_non_submission_43022,inherited16_non_submission_43122,legal16_8x480_43022,legal16_8x480_43122,legal40_8x480_43022,legal40_8x480_43122,legal40_12x384_depth_43022,domains_top,ContextDiff_top,coverage
1111111,1094,0.1436072459963245,1,1,1,1,1,1,1,"{""agent-properties"": 454, ""physical-interactions"": 88, ""physical-relations"": 168, ""social-relations"": 154, ""spatial-relations"": 68}","{""antonym"": 348, ""material"": 43, ""negation"": 27, ""other"": 46, ""variable swap"": 600}","{""all_content_mean_count_mean"": 2184.2735231328697, ""all_content_mean_count_median"": 1717.0, ""concept_min_count_mean"": 628.9862879529873, ""concept_min_count_median"": 405.0, ""context_diff_min_count_mean"": 973.754756871036, ""context_diff_min_count_median"": 694.0, ""contrast_term_anywhere_frac"": 0.5923217550274223, ""contrast_term_in_context_diff_frac"": 0.17093235831809872, ""legal16_context_frac_lt50_mean"": 0.00012854204753199268, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.0707650578711599, ""legal40_context_frac_lt50_median"": 0.0625, ""n"": 1094, ""target_diff_min_count_mean"": 757.7828371278459, ""target_diff_min_count_median"": 146.0}"
0000000,1075,0.14111315305854555,0,0,0,0,0,0,0,"{""agent-properties"": 440, ""physical-interactions"": 79, ""physical-relations"": 169, ""social-relations"": 161, ""spatial-relations"": 98}","{""antonym"": 350, ""material"": 54, ""negation"": 7, ""other"": 41, ""variable swap"": 613}","{""all_content_mean_count_mean"": 2092.5422882647067, ""all_content_mean_count_median"": 1489.2, ""concept_min_count_mean"": 602.2274549098196, ""concept_min_count_median"": 405.0, ""context_diff_min_count_mean"": 967.60348583878, ""context_diff_min_count_median"": 642.0, ""contrast_term_anywhere_frac"": 0.5637209302325581, ""contrast_term_in_context_diff_frac"": 0.1655813953488372, ""legal16_context_frac_lt50_mean"": 1.4534883720930233e-05, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.06806136901158318, ""legal40_context_frac_lt50_median"": 0.058823529411764705, ""n"": 1075, ""target_diff_min_count_mean"": 655.0928196147111, ""target_diff_min_count_median"": 151.0}"
1000000,170,0.022315568390653715,1,0,0,0,0,0,0,"{""agent-properties"": 41, ""material-dynamics"": 29, ""physical-relations"": 24, ""social-relations"": 28, ""spatial-relations"": 17}","{""antonym"": 46, ""material"": 30, ""other"": 10, ""variable swap"": 78, ""variable_swap"": 4}","{""all_content_mean_count_mean"": 1748.4505731686613, ""all_content_mean_count_median"": 1466.75, ""concept_min_count_mean"": 633.1024096385543, ""concept_min_count_median"": 261.0, ""context_diff_min_count_mean"": 743.625, ""context_diff_min_count_median"": 154.0, ""contrast_term_anywhere_frac"": 0.5235294117647059, ""contrast_term_in_context_diff_frac"": 0.21176470588235294, ""legal16_context_frac_lt50_mean"": 0.0001838235294117647, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.05310056006773165, ""legal40_context_frac_lt50_median"": 0.0, ""n"": 170, ""target_diff_min_count_mean"": 343.19827586206895, ""target_diff_min_count_median"": 51.0}"
1011111,144,0.018902599107377266,1,0,1,1,1,1,1,"{""agent-properties"": 38, ""material-dynamics"": 16, ""physical-interactions"": 10, ""physical-relations"": 14, ""social-relations"": 45}","{""antonym"": 70, ""material"": 16, ""number"": 1, ""other"": 5, ""variable swap"": 52}","{""all_content_mean_count_mean"": 1562.7433832371332, ""all_content_mean_count_median"": 1137.1666666666667, ""concept_min_count_mean"": 664.6830985915493, ""concept_min_count_median"": 210.0, ""context_diff_min_count_mean"": 833.9651162790698, ""context_diff_min_count_median"": 138.0, ""contrast_term_anywhere_frac"": 0.4930555555555556, ""contrast_term_in_context_diff_frac"": 0.2152777777777778, ""legal16_context_frac_lt50_mean"": 0.00010850694444444444, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.08686734654409663, ""legal40_context_frac_lt50_median"": 0.041666666666666664, ""n"": 144, ""target_diff_min_count_mean"": 443.2616822429907, ""target_diff_min_count_median"": 34.0}"
1101111,132,0.017327382515095826,1,1,0,1,1,1,1,"{""agent-properties"": 47, ""physical-interactions"": 8, ""physical-relations"": 12, ""social-properties"": 10, ""social-relations"": 36}","{""antonym"": 60, ""material"": 7, ""negation"": 5, ""other"": 20, ""variable swap"": 39}","{""all_content_mean_count_mean"": 2054.806676887927, ""all_content_mean_count_median"": 1734.125, ""concept_min_count_mean"": 542.1060606060606, ""concept_min_count_median"": 405.0, ""context_diff_min_count_mean"": 951.8777777777777, ""context_diff_min_count_median"": 642.0, ""contrast_term_anywhere_frac"": 0.42424242424242425, ""contrast_term_in_context_diff_frac"": 0.20454545454545456, ""legal16_context_frac_lt50_mean"": 0.00014796401515151516, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.09791896963078084, ""legal40_context_frac_lt50_median"": 0.09090909090909091, ""n"": 132, ""target_diff_min_count_mean"": 341.14444444444445, ""target_diff_min_count_median"": 73.0}"
0001000,125,0.01640850616959832,0,0,0,1,0,0,0,"{""agent-properties"": 32, ""material-dynamics"": 14, ""physical-dynamics"": 8, ""physical-relations"": 15, ""social-relations"": 36}","{""antonym"": 45, ""material"": 17, ""negation"": 5, ""other"": 6, ""variable swap"": 50}","{""all_content_mean_count_mean"": 1706.1406883116883, ""all_content_mean_count_median"": 1243.3333333333333, ""concept_min_count_mean"": 343.352, ""concept_min_count_median"": 210.0, ""context_diff_min_count_mean"": 552.5217391304348, ""context_diff_min_count_median"": 151.0, ""contrast_term_anywhere_frac"": 0.408, ""contrast_term_in_context_diff_frac"": 0.192, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.0824610846268741, ""legal40_context_frac_lt50_median"": 0.07142857142857142, ""n"": 125, ""target_diff_min_count_mean"": 247.66666666666666, ""target_diff_min_count_median"": 31.0}"
0111111,123,0.016145970070884745,0,1,1,1,1,1,1,"{""agent-properties"": 42, ""material-dynamics"": 6, ""physical-relations"": 17, ""social-relations"": 30, ""spatial-relations"": 8}","{""antonym"": 28, ""material"": 7, ""number"": 3, ""other"": 14, ""variable swap"": 66}","{""all_content_mean_count_mean"": 1973.0941218221708, ""all_content_mean_count_median"": 1418.2857142857142, ""concept_min_count_mean"": 961.55, ""concept_min_count_median"": 405.0, ""context_diff_min_count_mean"": 978.1176470588235, ""context_diff_min_count_median"": 561.0, ""contrast_term_anywhere_frac"": 0.4878048780487805, ""contrast_term_in_context_diff_frac"": 0.11382113821138211, ""legal16_context_frac_lt50_mean"": 9.527439024390244e-05, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.07439994708740462, ""legal40_context_frac_lt50_median"": 0.047619047619047616, ""n"": 123, ""target_diff_min_count_mean"": 663.421052631579, ""target_diff_min_count_median"": 136.0}"
1110111,120,0.015752165922814386,1,1,1,0,1,1,1,"{""agent-properties"": 34, ""material-dynamics"": 10, ""physical-relations"": 13, ""social-properties"": 11, ""social-relations"": 28}","{""antonym"": 48, ""material"": 11, ""other"": 11, ""variable swap"": 45, ""variable_swap"": 2}","{""all_content_mean_count_mean"": 2006.2177414021164, ""all_content_mean_count_median"": 1469.142857142857, ""concept_min_count_mean"": 536.6271186440678, ""concept_min_count_median"": 210.0, ""context_diff_min_count_mean"": 763.5492957746479, ""context_diff_min_count_median"": 277.0, ""contrast_term_anywhere_frac"": 0.4583333333333333, ""contrast_term_in_context_diff_frac"": 0.18333333333333332, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.0760148210325584, ""legal40_context_frac_lt50_median"": 0.07142857142857142, ""n"": 120, ""target_diff_min_count_mean"": 309.1951219512195, ""target_diff_min_count_median"": 40.0}"
1100111,117,0.015358361774744027,1,1,0,0,1,1,1,"{""agent-properties"": 38, ""physical-dynamics"": 10, ""quantitative-properties"": 8, ""social-properties"": 8, ""social-relations"": 36}","{""antonym"": 62, ""material"": 4, ""negation"": 1, ""other"": 18, ""variable swap"": 32}","{""all_content_mean_count_mean"": 2263.836745353412, ""all_content_mean_count_median"": 2185.1111111111113, ""concept_min_count_mean"": 406.4786324786325, ""concept_min_count_median"": 261.0, ""context_diff_min_count_mean"": 652.364705882353, ""context_diff_min_count_median"": 277.0, ""contrast_term_anywhere_frac"": 0.452991452991453, ""contrast_term_in_context_diff_frac"": 0.3247863247863248, ""legal16_context_frac_lt50_mean"": 0.0, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.09125684113355867, ""legal40_context_frac_lt50_median"": 0.07692307692307693, ""n"": 117, ""target_diff_min_count_mean"": 487.9325842696629, ""target_diff_min_count_median"": 53.0}"
0010000,113,0.014833289577316881,0,0,1,0,0,0,0,"{""agent-properties"": 33, ""physical-interactions"": 6, ""social-interactions"": 11, ""social-relations"": 32, ""spatial-relations"": 10}","{""antonym"": 48, ""material"": 2, ""negation"": 3, ""other"": 15, ""variable swap"": 44}","{""all_content_mean_count_mean"": 2232.264666258029, ""all_content_mean_count_median"": 1579.3333333333333, ""concept_min_count_mean"": 740.5840707964602, ""concept_min_count_median"": 405.0, ""context_diff_min_count_mean"": 1828.8181818181818, ""context_diff_min_count_median"": 416.0, ""contrast_term_anywhere_frac"": 0.49557522123893805, ""contrast_term_in_context_diff_frac"": 0.23893805309734514, ""legal16_context_frac_lt50_mean"": 0.00010370575221238938, ""legal16_context_frac_lt50_median"": 0.0, ""legal40_context_frac_lt50_mean"": 0.08835133028249546, ""legal40_context_frac_lt50_median"": 0.08333333333333333, ""n"": 113, ""target_diff_min_count_mean"": 640.5, ""target_diff_min_count_median"": 42.0}"
