domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5149321266968325,758,0.3429864253393665,0.707089552238806,1072,0.02262457855977118
social-relations,1548,0.5122739018087855,498,0.32170542635658916,0.6596026490066225,755,0.1920134201645851
physical-relations,818,0.5122249388753056,298,0.3643031784841076,0.7468671679197995,399,0.05469484254717827
material-dynamics,770,0.5077922077922078,215,0.2792207792207792,0.5672823218997362,379,0.0068628787994384766
physical-interactions,556,0.49460431654676257,212,0.381294964028777,0.7544483985765125,281,-0.165011802688241
spatial-relations,490,0.4816326530612245,199,0.4061224489795918,0.7834645669291339,254,-0.01548417005687952
social-properties,328,0.49085365853658536,112,0.34146341463414637,0.6706586826347305,167,-0.16001270711421967
social-interactions,294,0.4931972789115646,105,0.35714285714285715,0.7046979865771812,149,-0.43304978031665087
quantitative-properties,314,0.5605095541401274,86,0.27388535031847133,0.6231884057971014,138,0.3966069594025612
physical-dynamics,120,0.5,34,0.2833333333333333,0.5666666666666667,60,0.2720967158675194
material-properties,170,0.5941176470588235,33,0.19411764705882353,0.4782608695652174,69,0.3939395546913147
