domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5217194570135747,745,0.33710407239819007,0.7048249763481551,1057,0.05840688198804855
social-relations,1548,0.5142118863049095,488,0.3152454780361757,0.648936170212766,752,0.16595044825226068
physical-relations,818,0.4779951100244499,337,0.4119804400977995,0.7892271662763466,427,-0.19338462268933654
spatial-relations,490,0.463265306122449,212,0.4326530612244898,0.8060836501901141,263,-0.32695500552654266
material-dynamics,770,0.5298701298701298,184,0.23896103896103896,0.5082872928176796,362,0.31957101821899414
physical-interactions,556,0.539568345323741,173,0.31115107913669066,0.67578125,256,0.17812563618645072
social-properties,328,0.5274390243902439,96,0.2926829268292683,0.6193548387096774,155,0.2545134052634239
quantitative-properties,314,0.5159235668789809,91,0.2898089171974522,0.5986842105263158,152,0.20083308219909668
social-interactions,294,0.54421768707483,80,0.272108843537415,0.5970149253731343,134,0.35585132241249084
physical-dynamics,120,0.4083333333333333,47,0.39166666666666666,0.6619718309859155,71,-0.15009568282403052
material-properties,170,0.5176470588235295,41,0.2411764705882353,0.5,82,0.314719432964921
