pattern,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
0000000,1075,0.0,830,0.772093023255814,0.772093023255814,1075,-3.934559018118307
1000000,170,0.0,132,0.7764705882352941,0.7764705882352941,170,-2.5110336681827903
0001000,125,0.0,90,0.72,0.72,125,-1.0560626592487097
0000010,103,0.0,79,0.7669902912621359,0.7669902912621359,103,-1.0686638951301575
0010000,113,0.0,79,0.6991150442477876,0.6991150442477876,113,-0.8981163229327649
1111110,113,0.0,75,0.6637168141592921,0.6637168141592921,113,-0.38159795105457306
0100000,111,0.0,70,0.6306306306306306,0.6306306306306306,111,-0.5952671244740486
0000100,71,0.0,45,0.6338028169014085,0.6338028169014085,71,-0.38208974670851603
0011000,81,0.0,45,0.5555555555555556,0.5555555555555556,81,-0.23109557456336915
0110000,57,0.0,40,0.7017543859649122,0.7017543859649122,57,-0.7564508318901062
1001000,60,0.0,35,0.5833333333333334,0.5833333333333334,60,-0.5798469126457348
1100000,51,0.0,32,0.6274509803921569,0.6274509803921569,51,-0.32695500552654266
0000110,42,0.0,30,0.7142857142857143,0.7142857142857143,42,-0.8078872673213482
0010100,45,0.0,30,0.6666666666666666,0.6666666666666666,45,-0.6474466123618186
1101000,40,0.0,29,0.725,0.725,40,-0.4137212373316288
1010000,43,0.0,28,0.6511627906976745,0.6511627906976745,43,-0.6561641953885555
1111000,38,0.0,28,0.7368421052631579,0.7368421052631579,38,-0.8283157271362143
0001010,39,0.0,27,0.6923076923076923,0.6923076923076923,39,-0.9285677671432495
0011010,42,0.0,27,0.6428571428571429,0.6428571428571429,42,-0.4124745198787423
0111000,46,0.0,27,0.5869565217391305,0.5869565217391305,46,-0.2357441782951355
0100110,33,0.0,26,0.7878787878787878,0.7878787878787878,33,-0.584897942841053
1101110,42,0.0,26,0.6190476190476191,0.6190476190476191,42,-0.404082965105772
1000100,48,0.0,25,0.5208333333333334,0.5208333333333334,48,-0.1278193643083796
1111010,50,0.0,25,0.5,0.5,50,-0.04373314930126071
0001100,37,0.0,24,0.6486486486486487,0.6486486486486487,37,-0.38218093710020185
1000110,38,0.0,24,0.631578947368421,0.631578947368421,38,-0.3226855415850878
1111100,35,0.0,24,0.6857142857142857,0.6857142857142857,35,-0.7963056564331055
0100100,32,0.0,22,0.6875,0.6875,32,-1.0833046690095216
0101010,36,0.0,22,0.6111111111111112,0.6111111111111112,36,-0.2634739838540554
1110100,33,0.0,21,0.6363636363636364,0.6363636363636364,33,-0.09001758694648743
0100010,31,0.0,20,0.6451612903225806,0.6451612903225806,31,-0.41087739542126656
1101010,32,0.0,20,0.625,0.625,32,-1.310575497802347
0101000,33,0.0,19,0.5757575757575758,0.5757575757575758,33,-0.33158430384355597
0111110,44,0.0,19,0.4318181818181818,0.4318181818181818,44,0.045864006504416466
1010100,27,0.0,19,0.7037037037037037,0.7037037037037037,27,-0.6300021186470985
1110000,35,0.0,18,0.5142857142857142,0.5142857142857142,35,-0.02612757682800293
0001110,23,0.0,17,0.7391304347826086,0.7391304347826086,23,-1.080343710258603
1100110,30,0.0,17,0.5666666666666667,0.5666666666666667,30,-0.15483094565570354
1110110,28,0.0,17,0.6071428571428571,0.6071428571428571,28,-0.41932317335158587
0010110,27,0.0,16,0.5925925925925926,0.5925925925925926,27,-0.2573280893266201
