uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,pattern,te430,te431,accuracy_interaction,margin_interaction,A_all_occ,B_all_occ,min_all_occ,A_changed_occ,B_changed_occ,min_changed_occ
social-relations_1167,social-relations,1167,parent,child,indirect,variable swap,variable swap,0110,1,-1,-2,-27.833162307739258,127,2274,127,22,227,22
social-relations_816,social-relations,816,landlord,tenant,indirect,variable swap,concept swap,0110,1,-1,-2,-20.254457473754883,44,22,22,1,1,1
social-relations_842,social-relations,842,landlord,tenant,indirect,variable swap,variable swap,0110,1,-1,-2,-20.254457473754883,44,22,22,1,1,1
social-relations_672,social-relations,672,landlord,tenant,direct,variable swap,concept swap,1110,0,-1,-1,-19.105560302734375,44,22,22,1,1,1
social-relations_724,social-relations,724,landlord,tenant,direct,variable swap,variable swap,1110,0,-1,-1,-19.105560302734375,44,22,22,1,1,1
social-relations_1367,social-relations,1367,teacher,student,direct,variable swap,concept swap,0110,1,-1,-2,-18.447832107543945,887,409,409,59,113,59
social-relations_1447,social-relations,1447,teacher,student,direct,variable swap,variable swap,0110,1,-1,-2,-18.447832107543945,887,409,409,59,113,59
social-relations_1445,social-relations,1445,teacher,student,direct,variable swap,variable swap,0110,1,-1,-2,-18.186180114746094,887,409,409,59,113,59
physical-interactions_153,physical-interactions,153,heat,cool,direct,variable_swap,concept swap,0100,1,0,-1,-18.086368560791016,474,1025,474,147,33,33
physical-interactions_169,physical-interactions,169,heat,cool,direct,variable_swap,variable swap,0100,1,0,-1,-18.086368560791016,474,1025,474,147,33,33
social-relations_1340,social-relations,1340,teacher,student,direct,variable swap,concept swap,1110,0,-1,-1,-17.892940521240234,887,409,409,59,113,59
social-relations_1392,social-relations,1392,teacher,student,direct,variable swap,variable swap,1110,0,-1,-1,-17.892940521240234,887,409,409,59,113,59
spatial-relations_108,spatial-relations,108,above,below,indirect,variable swap,concept swap,0100,1,0,-1,-16.799541473388672,1322,692,692,119,100,100
spatial-relations_168,spatial-relations,168,above,below,indirect,variable swap,variable swap,0100,1,0,-1,-16.799541473388672,1322,692,692,119,100,100
spatial-relations_123,spatial-relations,123,above,below,indirect,variable swap,concept swap,0100,1,0,-1,-15.318307876586914,1322,692,692,119,100,100
spatial-relations_195,spatial-relations,195,above,below,indirect,variable swap,variable swap,0100,1,0,-1,-15.318307876586914,1322,692,692,119,100,100
social-relations_1120,social-relations,1120,parent,child,indirect,variable swap,variable swap,0010,0,-1,-1,-15.162162780761719,127,2274,127,22,227,22
social-relations_1484,social-relations,1484,teacher,student,indirect,variable swap,concept swap,1110,0,-1,-1,-14.998037338256836,887,409,409,59,113,59
social-relations_1510,social-relations,1510,teacher,student,indirect,variable swap,variable swap,1110,0,-1,-1,-14.998037338256836,887,409,409,59,113,59
physical-interactions_147,physical-interactions,147,heat,cool,direct,variable_swap,concept swap,0100,1,0,-1,-14.798368453979492,474,1025,474,147,33,33
physical-interactions_157,physical-interactions,157,heat,cool,direct,variable_swap,variable swap,0100,1,0,-1,-14.798368453979492,474,1025,474,147,33,33
social-relations_1441,social-relations,1441,teacher,student,direct,variable swap,variable swap,0110,1,-1,-2,-14.56102180480957,887,409,409,59,113,59
physical-interactions_168,physical-interactions,168,heat,cool,direct,variable_swap,variable swap,0100,1,0,-1,-14.293436050415039,474,1025,474,147,33,33
social-relations_1394,social-relations,1394,teacher,student,direct,variable swap,variable swap,0111,1,0,-1,-14.176578521728516,887,409,409,59,113,59
social-relations_697,social-relations,697,landlord,tenant,direct,variable swap,concept swap,0110,1,-1,-2,-14.071533203125,44,22,22,1,1,1
social-relations_775,social-relations,775,landlord,tenant,direct,variable swap,variable swap,0110,1,-1,-2,-14.071533203125,44,22,22,1,1,1
social-relations_1285,social-relations,1285,teacher,student,direct,antonym,concept swap,1110,0,-1,-1,-13.11043930053711,887,409,409,59,113,59
social-relations_1321,social-relations,1321,teacher,student,direct,antonym,variable swap,1110,0,-1,-1,-13.11043930053711,887,409,409,59,113,59
social-interactions_208,social-interactions,208,teach,learn,direct,variable swap,variable swap,1110,0,-1,-1,-12.88148307800293,484,1010,484,33,147,33
social-relations_1116,social-relations,1116,parent,child,indirect,variable swap,variable swap,0100,1,0,-1,-12.791532516479492,127,2274,127,22,227,22
spatial-relations_25,spatial-relations,25,above,below,indirect,antonym,concept swap,0110,1,-1,-2,-12.771161079406738,1322,692,692,119,100,100
social-interactions_163,social-interactions,163,respect,insult,direct,antonym,concept swap,0110,1,-1,-2,-12.294914245605469,419,93,93,33,0,0
spatial-relations_2,spatial-relations,2,above,below,direct,antonym,concept swap,0100,1,0,-1,-11.649713039398193,1322,692,692,119,100,100
physical-interactions_156,physical-interactions,156,heat,cool,direct,variable_swap,variable swap,0100,1,0,-1,-11.57440185546875,474,1025,474,147,33,33
social-interactions_60,social-interactions,60,evade,chase,direct,antonym,concept swap,1110,0,-1,-1,-11.339405059814453,15,323,15,0,2,0
social-relations_882,social-relations,882,parent,child,direct,active-passive,variable swap,0010,0,-1,-1,-11.333610534667969,127,2274,127,22,227,22
social-relations_960,social-relations,960,parent,child,indirect,antonym,concept swap,0110,1,-1,-2,-11.283985137939453,127,2274,127,22,227,22
social-relations_990,social-relations,990,parent,child,indirect,antonym,variable swap,0110,1,-1,-2,-11.283985137939453,127,2274,127,22,227,22
social-interactions_198,social-interactions,198,teach,learn,direct,variable swap,variable swap,0110,1,-1,-2,-11.144577026367188,484,1010,484,33,147,33
material-dynamics_31,material-dynamics,31,break,flap,indirect,material,concept swap,0110,1,-1,-2,-11.105679512023926,1374,75,75,41,0,0
social-interactions_155,social-interactions,155,respect,insult,direct,antonym,concept swap,1110,0,-1,-1,-11.075942993164062,419,93,93,33,0,0
social-relations_392,social-relations,392,colleague,boss,direct,other,concept swap,0111,1,0,-1,-11.058403015136719,42,356,42,2,2,2
social-relations_934,social-relations,934,parent,child,direct,variable swap,variable swap,0100,1,0,-1,-10.859720230102539,127,2274,127,22,227,22
physical-relations_298,physical-relations,298,contain,inside,indirect,variable swap,concept swap,0110,1,-1,-2,-10.791378021240234,160,1910,160,56,84,56
physical-relations_338,physical-relations,338,contain,inside,indirect,variable swap,variable swap,0110,1,-1,-2,-10.791378021240234,160,1910,160,56,84,56
