domain,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
social-relations,1548,133,135,2,149,111,38,0.08591731266149871,0.0872093023255814
physical-interactions,556,43,27,-16,50,29,21,0.07733812949640288,0.048561151079136694
physical-relations,818,38,44,6,32,53,-21,0.04645476772616137,0.05378973105134474
social-interactions,294,33,20,-13,33,18,15,0.11224489795918367,0.06802721088435375
agent-properties,2210,164,149,-15,157,144,13,0.07420814479638009,0.067420814479638
social-properties,328,20,27,7,30,19,11,0.06097560975609756,0.08231707317073171
spatial-relations,490,40,39,-1,33,27,6,0.08163265306122448,0.07959183673469387
material-dynamics,770,51,77,26,82,85,-3,0.06623376623376623,0.1
physical-dynamics,120,14,8,-6,6,4,2,0.11666666666666667,0.06666666666666667
quantitative-properties,314,25,25,0,23,25,-2,0.07961783439490445,0.07961783439490445
material-properties,170,14,11,-3,18,18,0,0.08235294117647059,0.06470588235294118
