domain,n,lost_correct,gained_correct,net_correct_gain_b_minus_a,added_stable_failure,removed_stable_failure,net_stable_failure_b_minus_a,lost_frac,gain_frac
social-relations,1548,99,104,5,81,113,-32,0.06395348837209303,0.06718346253229975
physical-interactions,556,23,33,10,25,37,-12,0.04136690647482014,0.05935251798561151
social-interactions,294,13,19,6,14,23,-9,0.04421768707482993,0.06462585034013606
material-dynamics,770,45,45,0,51,60,-9,0.05844155844155844,0.05844155844155844
spatial-relations,490,30,33,3,22,29,-7,0.061224489795918366,0.0673469387755102
material-properties,170,6,11,5,11,17,-6,0.03529411764705882,0.06470588235294118
social-properties,328,19,14,-5,14,20,-6,0.057926829268292686,0.042682926829268296
physical-relations,818,33,33,0,34,28,6,0.040342298288508556,0.040342298288508556
physical-dynamics,120,6,13,7,1,6,-5,0.05,0.10833333333333334
agent-properties,2210,101,113,12,100,102,-2,0.045701357466063346,0.05113122171945701
quantitative-properties,314,17,21,4,17,16,1,0.054140127388535034,0.06687898089171974
