tokenizer,arm,length,epochs,chunks_per_epoch,target_steps_per_epoch,base_chunks_per_step,steps_with_base_plus_one,steps_with_base,max_chunks_per_step,max_accumulation_microbatches,mean_active_tokens_per_update,max_nominal_token_slots_per_update,microbatch_nominal_slots
legal40k,U256_chunked_visibility_mask015,256,10,76164,253,301,11,242,302,5,55109.264822134384,77312,16384
legal40k,U256_chunked_visibility_targetmatched,256,10,76164,253,301,11,242,302,5,55109.264822134384,77312,16384
legal40k,U64_128_256_chunked_order_mask015,64,3,252269,253,997,28,225,998,16,55109.264822134384,63872,4096
legal40k,U64_128_256_chunked_order_mask015,128,4,140303,253,554,141,112,555,9,55109.264822134384,71040,8192
legal40k,U64_128_256_chunked_order_mask015,256,3,76164,253,301,11,242,302,5,55109.264822134384,77312,16384
legal40k,U64_128_256_chunked_order_targetmatched,64,3,252269,253,997,28,225,998,16,55109.264822134384,63872,4096
legal40k,U64_128_256_chunked_order_targetmatched,128,4,140303,253,554,141,112,555,9,55109.264822134384,71040,8192
legal40k,U64_128_256_chunked_order_targetmatched,256,3,76164,253,301,11,242,302,5,55109.264822134384,77312,16384
legal40k,U64x7_256x3_chunked_order_mask015,64,7,252269,253,997,28,225,998,16,55109.264822134384,63872,4096
legal40k,U64x7_256x3_chunked_order_mask015,256,3,76164,253,301,11,242,302,5,55109.264822134384,77312,16384
minfreq25,U256_chunked_visibility_mask015,256,10,77092,253,304,180,73,305,5,55883.44664031621,78080,16384
minfreq25,U256_chunked_visibility_targetmatched,256,10,77092,253,304,180,73,305,5,55883.44664031621,78080,16384
minfreq25,U64_128_256_chunked_order_mask015,64,3,255774,253,1010,244,9,1011,16,55883.44664031621,64704,4096
minfreq25,U64_128_256_chunked_order_mask015,128,4,141373,253,558,199,54,559,9,55883.44664031621,71552,8192
minfreq25,U64_128_256_chunked_order_mask015,256,3,77092,253,304,180,73,305,5,55883.44664031621,78080,16384
minfreq25,U64_128_256_chunked_order_targetmatched,64,3,255774,253,1010,244,9,1011,16,55883.44664031621,64704,4096
minfreq25,U64_128_256_chunked_order_targetmatched,128,4,141373,253,558,199,54,559,9,55883.44664031621,71552,8192
minfreq25,U64_128_256_chunked_order_targetmatched,256,3,77092,253,304,180,73,305,5,55883.44664031621,78080,16384
minfreq25,U64x7_256x3_chunked_order_mask015,64,7,255774,253,1010,244,9,1011,16,55883.44664031621,64704,4096
minfreq25,U64x7_256x3_chunked_order_mask015,256,3,77092,253,304,180,73,305,5,55883.44664031621,78080,16384
