domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5113122171945701,796,0.3601809954751131,0.737037037037037,1080,0.0020373426377773285
social-relations,1548,0.49483204134366926,493,0.3184754521963824,0.6304347826086957,782,0.00605088472366333
physical-relations,818,0.508557457212714,316,0.3863080684596577,0.7860696517412935,402,-0.031137049198150635
material-dynamics,770,0.4636363636363636,273,0.35454545454545455,0.6610169491525424,413,-0.031104087829589844
physical-interactions,556,0.5053956834532374,195,0.35071942446043164,0.7090909090909091,275,-0.04108011722564697
spatial-relations,490,0.46530612244897956,187,0.3816326530612245,0.7137404580152672,262,-0.10362197458744049
social-properties,328,0.5060975609756098,100,0.3048780487804878,0.6172839506172839,162,-0.03698299825191498
social-interactions,294,0.5170068027210885,86,0.2925170068027211,0.6056338028169014,142,0.03245830535888672
quantitative-properties,314,0.5031847133757962,77,0.24522292993630573,0.4935897435897436,156,0.08463776111602783
material-properties,170,0.49411764705882355,57,0.3352941176470588,0.6627906976744186,86,-0.11767417192459106
physical-dynamics,120,0.5416666666666666,34,0.2833333333333333,0.6181818181818182,55,0.0170932337641716
