domain,n,clean430,reinv430,clean431,reinv431,te430_pp,te431_pp,interaction_te431_minus_te430_pp,margin_interaction_mean,pattern_0110,pattern_1001
material-dynamics,770,48.311688311688314,58.18181818181818,54.285714285714285,46.62337662337662,9.870129870129865,-7.662337662337663,-17.53246753246753,-0.5643847725608132,70,31
physical-dynamics,120,52.5,60.0,62.5,59.166666666666664,7.5,-3.3333333333333357,-10.833333333333336,-0.4228144884109497,2,2
spatial-relations,490,44.89795918367347,47.55102040816326,48.97959183673469,43.26530612244898,2.6530612244897895,-5.714285714285708,-8.367346938775498,-0.2551792999311369,16,8
physical-interactions,556,46.94244604316547,51.2589928057554,49.64028776978417,48.02158273381295,4.31654676258993,-1.6187050359712245,-5.935251798561154,-0.10239793499596685,19,4
social-relations,1548,49.67700258397933,49.74160206718346,51.93798449612403,49.87080103359173,0.06459948320412678,-2.0671834625322987,-2.1317829457364255,0.046502823669473024,61,55
quantitative-properties,314,54.77707006369427,55.4140127388535,57.64331210191082,57.324840764331206,0.6369426751592329,-0.31847133757961643,-0.9554140127388493,0.015506050389283781,7,12
physical-relations,818,48.77750611246944,51.1002444987775,47.92176039119804,49.75550122249388,2.3227383863080604,1.8337408312958416,-0.48899755501221875,-0.22153277268911048,26,34
agent-properties,2210,50.95022624434389,49.95475113122172,50.99547511312217,51.71945701357467,-0.9954751131221684,0.7239819004525003,1.7194570135746687,0.009211305255803588,43,64
social-properties,328,51.52439024390244,55.487804878048784,47.86585365853659,54.57317073170732,3.9634146341463463,6.707317073170735,2.7439024390243887,0.2704162670344841,13,7
social-interactions,294,59.523809523809526,53.74149659863946,55.10204081632652,55.78231292517006,-5.782312925170068,0.6802721088435391,6.462585034013607,0.3976157198146898,9,18
material-properties,170,49.411764705882355,56.470588235294116,39.411764705882355,54.70588235294118,7.058823529411761,15.294117647058826,8.235294117647065,0.3632992828593535,2,2
