domain,idx,uid,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,pattern,accuracy_interaction_te431_minus_te430,margin_interaction_te431_minus_te430
social-relations,153,social-relations_153,boss,subordinate,direct,variable swap,variable swap,0000,0,-1.1628108024597168
social-relations,145,social-relations_145,boss,subordinate,direct,variable swap,variable swap,1111,0,-5.671003341674805
social-relations,86,social-relations_86,boss,subordinate,direct,variable swap,concept swap,0000,0,-3.4507131576538086
social-relations,152,social-relations_152,boss,subordinate,direct,variable swap,variable swap,0000,0,-3.4507131576538086
social-relations,154,social-relations_154,boss,subordinate,direct,variable swap,variable swap,1111,0,2.8086090087890625
social-relations,87,social-relations_87,boss,subordinate,direct,variable swap,concept swap,1111,0,1.3690071105957031
social-relations,155,social-relations_155,boss,subordinate,direct,variable swap,variable swap,1111,0,1.3690071105957031
agent-properties,1859,agent-properties_1859,prefer,-,direct,variable swap,variable swap,1111,0,6.319244384765625
social-relations,146,social-relations_146,boss,subordinate,direct,variable swap,variable swap,0000,0,0.2422943115234375
agent-properties,1869,agent-properties_1869,prefer,-,direct,variable swap,variable swap,0000,0,-7.057216644287109
agent-properties,1811,agent-properties_1811,prefer,-,direct,variable swap,variable swap,1111,0,5.23846435546875
agent-properties,1821,agent-properties_1821,prefer,-,direct,variable swap,variable swap,0000,0,-3.9363346099853516
social-relations,83,social-relations_83,boss,subordinate,direct,variable swap,concept swap,0000,0,-2.1197566986083984
social-relations,147,social-relations_147,boss,subordinate,direct,variable swap,variable swap,0000,0,-2.1197566986083984
physical-relations,762,physical-relations_762,under,on,direct,variable swap,variable swap,1111,0,9.232441902160645
agent-properties,1810,agent-properties_1810,prefer,-,direct,variable swap,variable swap,1111,0,-1.6534595489501953
agent-properties,1858,agent-properties_1858,prefer,-,direct,variable swap,variable swap,1111,0,1.0290145874023438
physical-relations,710,physical-relations_710,under,on,direct,variable swap,concept swap,0000,0,-11.371454238891602
physical-relations,764,physical-relations_764,under,on,direct,variable swap,variable swap,0000,0,-11.371454238891602
physical-interactions,525,physical-interactions_525,throw,drop,indirect,other,concept swap,0000,0,-0.6372032165527344
agent-properties,1868,agent-properties_1868,prefer,-,direct,variable swap,variable swap,0000,0,-0.9342842102050781
physical-relations,69,physical-relations_69,bigger,smaller,direct,variable swap,concept swap,0000,0,-6.234422206878662
physical-relations,107,physical-relations_107,bigger,smaller,direct,variable swap,variable swap,0000,0,-6.234422206878662
agent-properties,1820,agent-properties_1820,prefer,-,direct,variable swap,variable swap,0000,0,1.5172004699707031
agent-properties,1823,agent-properties_1823,prefer,-,direct,variable swap,variable swap,1111,0,-0.47657012939453125
agent-properties,1833,agent-properties_1833,prefer,-,direct,variable swap,variable swap,0000,0,0.612030029296875
physical-relations,53,physical-relations_53,bigger,smaller,direct,variable swap,concept swap,1111,0,8.45472240447998
physical-relations,75,physical-relations_75,bigger,smaller,direct,variable swap,variable swap,1111,0,8.45472240447998
physical-relations,96,physical-relations_96,bigger,smaller,direct,variable swap,variable swap,1111,0,0.06183052062988281
physical-interactions,524,physical-interactions_524,throw,drop,indirect,other,concept swap,1111,0,1.9600582122802734
physical-relations,711,physical-relations_711,under,on,direct,variable swap,concept swap,1111,0,7.075004577636719
physical-relations,763,physical-relations_763,under,on,direct,variable swap,variable swap,1111,0,7.075004577636719
physical-relations,72,physical-relations_72,bigger,smaller,direct,variable swap,variable swap,0000,0,1.2768516540527344
agent-properties,336,agent-properties_336,choose,-,indirect,variable swap,variable swap,1111,0,9.190801620483398
