domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5149321266968325,774,0.3502262443438914,0.7220149253731343,1072,0.03095279587432742
social-relations,1548,0.5006459948320413,523,0.33785529715762275,0.6765847347994826,773,-0.005164846312254667
physical-relations,818,0.4963325183374083,303,0.3704156479217604,0.7354368932038835,412,-0.03945038979873061
material-dynamics,770,0.474025974025974,261,0.33896103896103896,0.6444444444444445,405,-0.11356708407402039
spatial-relations,490,0.4673469387755102,206,0.4204081632653061,0.789272030651341,261,-0.11557006603106856
physical-interactions,556,0.5161870503597122,178,0.32014388489208634,0.6617100371747212,269,0.1385939149186015
social-properties,328,0.5030487804878049,106,0.3231707317073171,0.6503067484662577,163,-0.11079154908657074
quantitative-properties,314,0.5191082802547771,86,0.27388535031847133,0.5695364238410596,151,0.30067799985408783
social-interactions,294,0.5884353741496599,69,0.23469387755102042,0.5702479338842975,121,0.570970606058836
physical-dynamics,120,0.4,66,0.55,0.9166666666666666,72,-1.6715654931031168
material-properties,170,0.5470588235294118,30,0.17647058823529413,0.38961038961038963,77,0.6434111362323165
