domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5158371040723982,786,0.3556561085972851,0.7345794392523365,1070,0.027790549502242357
social-relations,1548,0.5083979328165374,491,0.31718346253229973,0.6452036793692509,761,0.3381146094761789
physical-relations,818,0.5036674816625917,297,0.363080684596577,0.7315270935960592,406,-0.002198619768023491
material-dynamics,770,0.4974025974025974,258,0.33506493506493507,0.6666666666666666,387,0.007440321147441864
spatial-relations,490,0.4673469387755102,204,0.4163265306122449,0.7816091954022989,261,-0.10612673684954643
physical-interactions,556,0.48201438848920863,198,0.35611510791366907,0.6875,288,0.0015344470739364624
social-properties,328,0.5365853658536586,88,0.2682926829268293,0.5789473684210527,152,0.43197234510444105
quantitative-properties,314,0.5605095541401274,71,0.22611464968152867,0.5144927536231884,138,0.501851822831668
social-interactions,294,0.5952380952380952,57,0.19387755102040816,0.4789915966386555,119,0.7681054323911667
physical-dynamics,120,0.43333333333333335,49,0.4083333333333333,0.7205882352941176,68,-0.5531975850462914
material-properties,170,0.47058823529411764,41,0.2411764705882353,0.45555555555555555,90,0.4434246625751257
