domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5194570135746607,746,0.3375565610859729,0.7024482109227872,1062,0.05595591850578785
social-relations,1548,0.501937984496124,523,0.33785529715762275,0.6783398184176395,771,0.11992539884522557
physical-relations,818,0.5268948655256723,293,0.3581907090464548,0.7571059431524548,387,0.05385315790772438
material-dynamics,770,0.5272727272727272,209,0.2714285714285714,0.5741758241758241,364,0.25211695581674576
spatial-relations,490,0.4530612244897959,208,0.42448979591836733,0.7761194029850746,268,-0.03688687976682559
physical-interactions,556,0.539568345323741,180,0.3237410071942446,0.703125,256,0.011974643915891647
social-properties,328,0.49390243902439024,106,0.3231707317073171,0.6385542168674698,166,0.19487129896879196
social-interactions,294,0.5476190476190477,79,0.2687074829931973,0.5939849624060151,133,0.476749480701983
quantitative-properties,314,0.5796178343949044,62,0.19745222929936307,0.4696969696969697,132,0.5832369066774845
material-properties,170,0.49411764705882355,52,0.3058823529411765,0.6046511627906976,86,-0.2557339919731021
physical-dynamics,120,0.575,26,0.21666666666666667,0.5098039215686274,51,0.5175114553421736
