domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5036199095022624,802,0.36289592760180994,0.731084776663628,1097,0.022241778438910842
social-relations,1548,0.5180878552971576,512,0.330749354005168,0.6863270777479893,746,0.22413117438554764
physical-relations,818,0.49877750611246946,279,0.3410757946210269,0.6804878048780488,410,0.15256337821483612
material-dynamics,770,0.45714285714285713,273,0.35454545454545455,0.65311004784689,418,-0.3735363483428955
physical-interactions,556,0.4658273381294964,228,0.41007194244604317,0.7676767676767676,297,-0.21738000493496656
spatial-relations,490,0.47346938775510206,193,0.39387755102040817,0.748062015503876,258,-0.024522647261619568
social-properties,328,0.43902439024390244,132,0.4024390243902439,0.717391304347826,184,-0.40803985903039575
quantitative-properties,314,0.5700636942675159,72,0.22929936305732485,0.5333333333333333,135,0.5875849686563015
social-interactions,294,0.5748299319727891,64,0.21768707482993196,0.512,125,0.8761863317340612
material-properties,170,0.5529411764705883,51,0.3,0.6710526315789473,76,0.1979726478457451
physical-dynamics,120,0.4583333333333333,42,0.35,0.6461538461538462,65,0.26416794769465923
