model_key,uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,selection_pattern,selection_DiD_item,score_candidate0_context1_target1,score_candidate1_context2_target1,margin_c0_minus_c1,pred_candidate_index,correct,official_prediction_match,num_cand0_completion_tokens,num_cand1_completion_tokens
clean430,agent-properties_0,agent-properties,0,believe,doubt,direct,antonym,concept swap,,,-7.650710582733154,-7.895627975463867,0.2449173927307129,0,1,1,12,12
clean430,agent-properties_1,agent-properties,1,believe,doubt,direct,antonym,concept swap,,,-26.95246696472168,-26.551633834838867,-0.4008331298828125,1,0,1,13,13
clean430,agent-properties_2,agent-properties,2,believe,doubt,direct,antonym,concept swap,,,-12.575017929077148,-12.693812370300293,0.11879444122314453,0,1,1,11,11
clean430,agent-properties_3,agent-properties,3,believe,doubt,direct,antonym,concept swap,,,-26.78706932067871,-26.65739631652832,-0.12967300415039062,1,0,1,12,12
clean430,agent-properties_4,agent-properties,4,believe,doubt,direct,antonym,concept swap,,,-10.69937515258789,-11.247586250305176,0.5482110977172852,0,1,1,10,10
clean430,agent-properties_5,agent-properties,5,believe,doubt,direct,antonym,concept swap,,,-28.760169982910156,-28.289676666259766,-0.4704933166503906,1,0,1,11,11
clean430,agent-properties_6,agent-properties,6,believe,doubt,direct,antonym,concept swap,,,-10.395936965942383,-9.971044540405273,-0.4248924255371094,1,0,1,11,11
clean430,agent-properties_7,agent-properties,7,believe,doubt,direct,antonym,concept swap,,,-25.791423797607422,-26.50952911376953,0.7181053161621094,0,1,1,12,12
clean430,agent-properties_8,agent-properties,8,believe,doubt,direct,antonym,concept swap,,,-10.081443786621094,-9.976333618164062,-0.10511016845703125,1,0,1,10,10
clean430,agent-properties_9,agent-properties,9,believe,doubt,direct,antonym,concept swap,,,-28.530488967895508,-28.159385681152344,-0.37110328674316406,1,0,1,11,11
clean430,agent-properties_10,agent-properties,10,believe,doubt,indirect,antonym,concept swap,,,-17.372575759887695,-19.874107360839844,2.5015316009521484,0,1,1,10,10
clean430,agent-properties_11,agent-properties,11,believe,doubt,indirect,antonym,concept swap,,,-34.550418853759766,-32.333152770996094,-2.217266082763672,1,0,1,11,11
clean430,agent-properties_12,agent-properties,12,believe,doubt,indirect,antonym,concept swap,,,-16.32883071899414,-18.742877960205078,2.4140472412109375,0,1,1,12,12
clean430,agent-properties_13,agent-properties,13,believe,doubt,indirect,antonym,concept swap,,,-39.27814865112305,-35.7872314453125,-3.490917205810547,1,0,1,13,13
clean430,agent-properties_14,agent-properties,14,believe,doubt,indirect,antonym,concept swap,,,-24.785144805908203,-23.791688919067383,-0.9934558868408203,1,0,1,12,12
clean430,agent-properties_15,agent-properties,15,believe,doubt,indirect,antonym,concept swap,,,-34.844295501708984,-35.38330078125,0.5390052795410156,0,1,1,13,13
clean430,agent-properties_16,agent-properties,16,believe,doubt,indirect,antonym,concept swap,,,-18.93294906616211,-18.887161254882812,-0.045787811279296875,1,0,1,12,12
clean430,agent-properties_17,agent-properties,17,believe,doubt,indirect,antonym,concept swap,,,-28.311243057250977,-28.39195442199707,0.08071136474609375,0,1,1,13,13
clean430,agent-properties_18,agent-properties,18,believe,doubt,indirect,antonym,concept swap,,,-18.60435676574707,-21.694616317749023,3.090259552001953,0,1,1,12,12
clean430,agent-properties_19,agent-properties,19,believe,doubt,indirect,antonym,concept swap,,,-34.717185974121094,-31.841100692749023,-2.8760852813720703,1,0,1,13,13
clean430,agent-properties_20,agent-properties,20,believe,doubt,indirect,antonym,concept swap,,,-18.656770706176758,-15.69290828704834,-2.963862419128418,1,0,1,12,12
clean430,agent-properties_21,agent-properties,21,believe,doubt,indirect,antonym,concept swap,,,-29.752660751342773,-32.26356506347656,2.510904312133789,0,1,1,13,13
clean430,agent-properties_22,agent-properties,22,believe,doubt,indirect,antonym,concept swap,,,-17.09779930114746,-19.16123390197754,2.063434600830078,0,1,1,10,10
clean430,agent-properties_23,agent-properties,23,believe,doubt,indirect,antonym,concept swap,,,-33.74366760253906,-31.722654342651367,-2.0210132598876953,1,0,1,11,11
clean430,agent-properties_24,agent-properties,24,believe,doubt,indirect,antonym,concept swap,,,-14.637409210205078,-16.204147338867188,1.5667381286621094,0,1,1,11,11
clean430,agent-properties_25,agent-properties,25,believe,doubt,indirect,antonym,concept swap,,,-31.59925651550293,-29.60331916809082,-1.9959373474121094,1,0,1,12,12
clean430,agent-properties_26,agent-properties,26,believe,doubt,indirect,antonym,concept swap,,,-16.280244827270508,-15.766819953918457,-0.5134248733520508,1,0,1,11,11
clean430,agent-properties_27,agent-properties,27,believe,doubt,indirect,antonym,concept swap,,,-26.657108306884766,-26.731496810913086,0.07438850402832031,0,1,1,12,12
clean430,agent-properties_28,agent-properties,28,believe,doubt,indirect,antonym,concept swap,,,-26.616003036499023,-21.653057098388672,-4.962945938110352,1,0,1,11,11
