model_key,uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,selection_pattern,selection_DiD_item,score_candidate0_context1_target1,score_candidate1_context2_target1,margin_c0_minus_c1,pred_candidate_index,correct,official_prediction_match,num_cand0_completion_tokens,num_cand1_completion_tokens
clean430,material-dynamics_0,material-dynamics,0,break,drip,direct,material,concept swap,0110,-2,-13.359655380249023,-13.23056697845459,-0.1290884017944336,1,0,1,3,3
clean430,material-dynamics_4,material-dynamics,4,break,drip,direct,material,concept swap,0110,-2,-14.635991096496582,-13.940058708190918,-0.6959323883056641,1,0,1,3,3
clean430,material-dynamics_20,material-dynamics,20,break,flap,direct,material,concept swap,0110,-2,-13.359655380249023,-10.216959953308105,-3.142695426940918,1,0,1,3,3
clean430,material-dynamics_22,material-dynamics,22,break,flap,direct,material,concept swap,0110,-2,-12.998628616333008,-11.462453842163086,-1.5361747741699219,1,0,1,3,3
clean430,material-dynamics_24,material-dynamics,24,break,flap,direct,material,concept swap,0110,-2,-14.635991096496582,-10.820417404174805,-3.8155736923217773,1,0,1,3,3
clean430,material-dynamics_26,material-dynamics,26,break,flap,direct,material,concept swap,0110,-2,-13.332558631896973,-10.174230575561523,-3.158328056335449,1,0,1,3,3
clean430,material-dynamics_28,material-dynamics,28,break,flap,direct,material,concept swap,0110,-2,-14.210673332214355,-11.20606803894043,-3.004605293273926,1,0,1,3,3
clean430,material-dynamics_40,material-dynamics,40,break,rip ,direct,material,concept swap,0110,-2,-13.359655380249023,-10.216959953308105,-3.142695426940918,1,0,1,3,3
clean430,material-dynamics_42,material-dynamics,42,break,rip ,direct,material,concept swap,0110,-2,-12.998628616333008,-11.462453842163086,-1.5361747741699219,1,0,1,3,3
clean430,material-dynamics_44,material-dynamics,44,break,rip ,direct,material,concept swap,0110,-2,-14.635991096496582,-10.820417404174805,-3.8155736923217773,1,0,1,3,3
clean430,material-dynamics_46,material-dynamics,46,break,rip ,direct,material,concept swap,0110,-2,-13.332558631896973,-10.174230575561523,-3.158328056335449,1,0,1,3,3
clean430,material-dynamics_48,material-dynamics,48,break,rip ,direct,material,concept swap,0110,-2,-14.210673332214355,-11.20606803894043,-3.004605293273926,1,0,1,3,3
clean430,material-dynamics_50,material-dynamics,50,break,ripple,direct,material,concept swap,0110,-2,-13.359655380249023,-10.216959953308105,-3.142695426940918,1,0,1,3,3
clean430,material-dynamics_52,material-dynamics,52,break,ripple,direct,material,concept swap,0110,-2,-13.359655380249023,-13.23056697845459,-0.1290884017944336,1,0,1,3,3
clean430,material-dynamics_54,material-dynamics,54,break,ripple,direct,material,concept swap,0110,-2,-12.998628616333008,-11.462453842163086,-1.5361747741699219,1,0,1,3,3
clean430,material-dynamics_58,material-dynamics,58,break,ripple,direct,material,concept swap,0110,-2,-14.635991096496582,-10.820417404174805,-3.8155736923217773,1,0,1,3,3
clean430,material-dynamics_60,material-dynamics,60,break,ripple,direct,material,concept swap,0110,-2,-14.635991096496582,-13.940058708190918,-0.6959323883056641,1,0,1,3,3
