base_id,family,object,label,none_c1,none_c2,prior_c1,prior_c2,action_c1,action_c2,combined_c1,combined_c2,pred_c1,pred_c2,residual_c1,residual_c2,residual_mean,action_effect_mean,prior_effect_mean,combined_effect_mean,combined_crossed,action_crossed
BASE_0001,empty_full,glass,direct_adjacent,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.9478492736816406,1.8114070892333984,-1.8638811111450195,1.787832260131836,-1.813584327697754,1.6075668334960938,-0.050296783447265625,0.1802654266357422,0.06498432159423828,-0.0682210922241211,-0.034787654876708984,-0.0380244255065918,False,False
BASE_0001,empty_full,glass,direct_then,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.9478492736816406,1.8114070892333984,-1.8518648147583008,1.8347492218017578,-1.813584327697754,1.6075668334960938,-0.038280487060546875,0.22718238830566406,0.0944509506225586,-0.0682210922241211,-0.034787654876708984,-0.008557796478271484,False,False
BASE_0001,empty_full,glass,direct_distance,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.8975625038146973,1.699739933013916,-1.8272876739501953,1.8825411796569824,-1.7632975578308105,1.4958996772766113,-0.06399011611938477,0.3866415023803711,0.16132569313049316,-0.09891128540039062,-0.034787654876708984,0.027626752853393555,False,False
BASE_0001,empty_full,glass,targetfree_adjacent,-1.8483448028564453,1.8483448028564453,-1.9645848274230957,1.9256858825683594,-1.6834301948547363,1.7311663627624512,-1.7588520050048828,1.7139053344726562,-1.7996702194213867,1.8085074424743652,0.040818214416503906,-0.09460210800170898,-0.02689194679260254,0.023868083953857422,-0.019449472427368164,-0.02247333526611328,False,False
BASE_0001,empty_full,glass,targetfree_distance,-1.8483448028564453,1.8483448028564453,-1.9645848274230957,1.9256858825683594,-1.6834301948547363,1.7311663627624512,-1.7798991203308105,1.6659736633300781,-1.7996702194213867,1.8085074424743652,0.019771099090576172,-0.1425337791442871,-0.06138134002685547,0.023868083953857422,-0.019449472427368164,-0.05696272850036621,False,False
BASE_0002,empty_full,glass,direct_adjacent,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.9038209915161133,1.763188362121582,-1.817197322845459,1.7358789443969727,-1.7695560455322266,1.5593481063842773,-0.04764127731323242,0.1765308380126953,0.06444478034973145,-0.07031631469726562,-0.034787654876708984,-0.040659189224243164,False,False
BASE_0002,empty_full,glass,direct_then,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.9038209915161133,1.763188362121582,-1.8183660507202148,1.7990107536315918,-1.7695560455322266,1.5593481063842773,-0.04881000518798828,0.23966264724731445,0.09542632102966309,-0.07031631469726562,-0.034787654876708984,-0.009677648544311523,False,False
BASE_0002,empty_full,glass,direct_distance,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.86250638961792,1.658747673034668,-1.7900266647338867,1.8459043502807617,-1.7282414436340332,1.4549074172973633,-0.061785221099853516,0.39099693298339844,0.16460585594177246,-0.10187935829162598,-0.034787654876708984,0.0279388427734375,False,False
BASE_0002,empty_full,glass,targetfree_adjacent,-1.8483448028564453,1.8483448028564453,-1.9645848274230957,1.9256858825683594,-1.6718101501464844,1.7331295013427734,-1.7431926727294922,1.7168712615966797,-1.7880501747131348,1.8104705810546875,0.04485750198364258,-0.09359931945800781,-0.024370908737182617,0.03065967559814453,-0.019449472427368164,-0.01316070556640625,False,False
BASE_0002,empty_full,glass,targetfree_distance,-1.8483448028564453,1.8483448028564453,-1.9645848274230957,1.9256858825683594,-1.6718101501464844,1.7331295013427734,-1.7632532119750977,1.668569564819336,-1.7880501747131348,1.8104705810546875,0.02479696273803711,-0.14190101623535156,-0.05855202674865723,0.03065967559814453,-0.019449472427368164,-0.04734182357788086,False,False
BASE_0003,empty_full,glass,direct_adjacent,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.9063096046447754,1.7494010925292969,-1.8273820877075195,1.7431507110595703,-1.7720446586608887,1.5455608367919922,-0.05533742904663086,0.19758987426757812,0.07112622261047363,-0.07845425605773926,-0.034787654876708984,-0.04211568832397461,False,False
BASE_0003,empty_full,glass,direct_then,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.9063096046447754,1.7494010925292969,-1.825765609741211,1.7988128662109375,-1.7720446586608887,1.5455608367919922,-0.053720951080322266,0.2532520294189453,0.09976553916931152,-0.07845425605773926,-0.034787654876708984,-0.013476371765136719,False,False
BASE_0003,empty_full,glass,direct_distance,-1.8483448028564453,1.8483448028564453,-1.7140798568725586,1.6445045471191406,-1.8699274063110352,1.6828784942626953,-1.8023734092712402,1.8567304611206055,-1.7356624603271484,1.4790382385253906,-0.0667109489440918,0.37769222259521484,0.15549063682556152,-0.09352445602416992,-0.034787654876708984,0.027178525924682617,False,False
