pair_id,match_level,pair_cost,category,opposition_axis,pivot_norm_a,pivot_norm_b,target_norm_a,target_norm_b,target_class,target_token_len,target_freq_bin_a,target_freq_bin_b,distance_bin_a,distance_bin_b,target_side_a,target_side_b,slot_content_jaccard,slot_surface_jaccard,shared_content_count,row_a,row_b
p0000000,2,12.618545454545455,physical_change,build_destroy,broke,built,roar,variety,content,1,51-100,101-250,3-4,2,after,after,0.0,0.09090909090909091,0,901,16910
p0000001,2,12.95,physical_change,build_destroy,broke,built,records,great,content,1,501-1000,1001+,1,2,after,after,0.0,0.2,0,3820,11517
p0000002,2,10.531818181818181,physical_change,build_destroy,building,broke,tower,fight,content,1,501-1000,1001+,2,3-4,after,after,0.1111111111111111,0.13636363636363635,1,19802,10858
p0000003,0,-3.658823529411765,physical_change,build_destroy,break,built,million,small,content,1,1001+,1001+,2,2,after,after,0.1,0.17647058823529413,1,11204,14958
p0000004,1,1.4642857142857146,physical_change,build_destroy,built,broken,small,eyes,content,1,1001+,1001+,2,1,after,after,0.07142857142857142,0.1,1,5440,7906
p0000005,1,3.3,physical_change,build_destroy,breaking,fix,ice,eyes,content,1,1001+,1001+,3-4,2,after,after,0.0,0.16666666666666666,0,4452,19858
p0000006,0,-5.167428571428571,physical_change,build_destroy,broke,built,anyway,small,content,1,1001+,1001+,2,2,after,after,0.16666666666666666,0.09523809523809523,2,19484,4010
p0000007,2,7.2,physical_change,build_destroy,built,break,clues,ranks,content,2,51-100,101-250,1,1,after,after,0.08333333333333333,0.08333333333333333,1,7936,3420
p0000008,2,13.290521739130437,causal_connector,cause_concession,because,although,fundamental,delightful,adjectival,1,51-100,101-250,2,3-4,after,after,0.0,0.17391304347826086,0,19772,5659
p0000009,2,8.805000000000001,causal_connector,cause_concession,because,although,faithful,official,adjectival,1,101-250,251-500,3-4,3-4,after,after,0.0,0.2,0,13939,18042
p0000010,2,13.134521739130436,causal_connector,cause_concession,although,thus,official,necessary,adjectival,1,251-500,501-1000,3-4,5-8,after,after,0.0,0.17391304347826086,0,17984,18082
p0000011,1,1.6062857142857148,causal_connector,cause_concession,although,because,specific,numerous,adjectival,1,251-500,251-500,2,3-4,after,after,0.07142857142857142,0.08333333333333333,1,3671,370
p0000012,2,8.628260869565217,causal_connector,cause_concession,though,because,necessary,able,adjectival,1,501-1000,1001+,3-4,3-4,after,after,0.0,0.08695652173913043,0,3146,16327
p0000013,1,1.6030000000000002,causal_connector,cause_concession,because,though,deal,give,adjectival,1,1001+,1001+,2,3-4,after,after,0.08333333333333333,0.041666666666666664,1,6280,7779
p0000014,2,7.458747252747254,causal_connector,cause_concession,although,because,rarely,totally,adverbish,1,101-250,251-500,2,2,after,after,0.07142857142857142,0.07692307692307693,1,14725,17540
p0000015,1,1.5166363636363633,causal_connector,cause_concession,because,though,recently,fully,adverbish,1,251-500,251-500,2,3-4,after,after,0.09090909090909091,0.04,1,5017,5935
p0000016,2,11.650260869565217,causal_connector,cause_concession,because,though,lovely,exactly,adverbish,1,501-1000,1001+,3-4,2,after,after,0.06666666666666667,0.08695652173913043,1,11358,19936
p0000017,1,1.8282857142857147,causal_connector,cause_concession,although,thus,finally,easily,adverbish,1,501-1000,501-1000,2,1,after,after,0.07142857142857142,0.041666666666666664,1,9624,14954
