domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5307692307692308,757,0.3425339366515837,0.7299903567984571,1037,0.11954711796715856
social-relations,1548,0.5038759689922481,512,0.330749354005168,0.6666666666666666,768,0.15853022038936615
physical-relations,818,0.48655256723716384,318,0.38875305623471884,0.7571428571428571,420,-0.11178513709455729
material-dynamics,770,0.5194805194805194,222,0.2883116883116883,0.6,370,-0.05736696720123291
spatial-relations,490,0.4489795918367347,209,0.42653061224489797,0.774074074074074,270,-0.2478207778185606
physical-interactions,556,0.5161870503597122,179,0.32194244604316546,0.6654275092936803,269,0.054632735438644886
social-interactions,294,0.4523809523809524,113,0.3843537414965986,0.7018633540372671,161,-0.11756874807178974
social-properties,328,0.5609756097560976,77,0.2347560975609756,0.5347222222222222,144,0.6538652591407299
quantitative-properties,314,0.5732484076433121,72,0.22929936305732485,0.5373134328358209,134,0.40828779712319374
material-properties,170,0.4823529411764706,58,0.3411764705882353,0.6590909090909091,88,-0.25047438964247704
physical-dynamics,120,0.38333333333333336,57,0.475,0.7702702702702703,74,-1.0060576759278774
