domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5009049773755656,791,0.3579185520361991,0.7171350861287398,1103,-0.03900671470910311
social-relations,1548,0.5051679586563308,488,0.3152454780361757,0.6370757180156658,766,0.1432340294122696
physical-relations,818,0.46454767726161367,328,0.40097799511002447,0.7488584474885844,438,-0.1919221431016922
material-dynamics,770,0.4675324675324675,253,0.32857142857142857,0.6170731707317073,410,-0.005503535270690918
spatial-relations,490,0.47346938775510206,200,0.40816326530612246,0.7751937984496124,258,-0.09600578714162111
physical-interactions,556,0.49640287769784175,172,0.30935251798561153,0.6142857142857143,280,0.044554732739925385
social-properties,328,0.4603658536585366,115,0.35060975609756095,0.6497175141242938,177,-0.16877262853085995
quantitative-properties,314,0.5,86,0.27388535031847133,0.5477707006369427,157,0.1615834627300501
social-interactions,294,0.5816326530612245,73,0.24829931972789115,0.5934959349593496,123,0.6581207755953074
material-properties,170,0.49411764705882355,57,0.3352941176470588,0.6627906976744186,86,-0.0834130235016346
physical-dynamics,120,0.5583333333333333,34,0.2833333333333333,0.6415094339622641,53,0.21080131828784943
