domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5126696832579185,771,0.34886877828054297,0.7158774373259053,1077,0.0028967494290554896
social-relations,1548,0.5148578811369509,497,0.3210594315245478,0.6617842876165113,751,0.12199459969997406
physical-relations,818,0.511002444987775,285,0.3484107579462103,0.7125,400,0.19792981049977243
material-dynamics,770,0.5025974025974026,220,0.2857142857142857,0.5744125326370757,383,0.0647309860214591
physical-interactions,556,0.48201438848920863,212,0.381294964028777,0.7361111111111112,288,-0.1611663019284606
spatial-relations,490,0.47959183673469385,195,0.3979591836734694,0.7647058823529411,255,0.049852728843688965
social-interactions,294,0.48639455782312924,103,0.35034013605442177,0.6821192052980133,151,-0.5613020565360785
social-properties,328,0.5060975609756098,101,0.3079268292682927,0.6234567901234568,162,-0.13172228634357452
quantitative-properties,314,0.5605095541401274,91,0.2898089171974522,0.6594202898550725,138,0.3030509427189827
physical-dynamics,120,0.48333333333333334,36,0.3,0.5806451612903226,62,0.13309280201792717
material-properties,170,0.5882352941176471,34,0.2,0.4857142857142857,70,0.31728431582450867
